# Real time calculation: 
# Eall: Total energy
# Eall0: Initial energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.850763852755470E+003  0.000000000000000E+000 
      0.02000000 -0.850763852755518E+003 -0.473703873442588E-010 
      0.04000000 -0.850763852755564E+003 -0.939673806094277E-010 
      0.06000000 -0.850763852755611E+003 -0.140371025354824E-009 
      0.08000000 -0.850763852755657E+003 -0.186968018619993E-009 
      0.10000000 -0.850763852755703E+003 -0.232888292065958E-009 
      0.12000000 -0.850763852755750E+003 -0.279195262551468E-009 
      0.14000000 -0.850763852755796E+003 -0.325405558777092E-009 
      0.16000000 -0.850763852755841E+003 -0.370649112403854E-009 
      0.18000000 -0.850763852755885E+003 -0.414539226392208E-009 
      0.20000000 -0.850763852755928E+003 -0.457849294821244E-009 
      0.22000000 -0.850763852755970E+003 -0.499612575092101E-009 
      0.24000000 -0.850763852756009E+003 -0.538282279046598E-009 
      0.26000000 -0.850763852756044E+003 -0.573858406684735E-009 
      0.28000000 -0.850763852756076E+003 -0.605954260966968E-009 
      0.30000000 -0.850763852756104E+003 -0.633216402254888E-009 
      0.32000000 -0.850763852756125E+003 -0.654581413689748E-009 
      0.34000000 -0.850763852756140E+003 -0.669372575452343E-009 
      0.36000000 -0.850763852756147E+003 -0.676719819203697E-009 
      0.38000000 -0.850763852756146E+003 -0.675946425124607E-009 
      0.40000000 -0.850763852756137E+003 -0.666278999135983E-009 
      0.42000000 -0.850763852756117E+003 -0.646557450119189E-009 
      0.44000000 -0.850763852756088E+003 -0.617941869192862E-009 
      0.46000000 -0.850763852756049E+003 -0.578885468198820E-009 
      0.48000000 -0.850763852756001E+003 -0.530354989735926E-009 
      0.50000000 -0.850763852755943E+003 -0.472737130843726E-009 
      0.52000000 -0.850763852755878E+003 -0.407772028200171E-009 
      0.54000000 -0.850763852755806E+003 -0.335266333285489E-009 
      0.56000000 -0.850763852755728E+003 -0.257540228336950E-009 
      0.58000000 -0.850763852755647E+003 -0.176333850032506E-009 
      0.60000000 -0.850763852755565E+003 -0.940640548693139E-010 
      0.62000000 -0.850763852755482E+003 -0.114075626665766E-010 
      0.64000000 -0.850763852755404E+003  0.667052393215073E-010 
      0.66000000 -0.850763852755331E+003  0.139984328315279E-009 
      0.68000000 -0.850763852755266E+003  0.204949430958834E-009 
      0.70000000 -0.850763852755211E+003  0.259860410574220E-009 
      0.72000000 -0.850763852755169E+003  0.301817039364849E-009 
      0.74000000 -0.850763852755141E+003  0.329272529172542E-009 
      0.76000000 -0.850763852755129E+003  0.341066788878663E-009 
      0.78000000 -0.850763852755134E+003  0.336813121443669E-009 
      0.80000000 -0.850763852755155E+003  0.315158087229150E-009 
      0.82000000 -0.850763852755192E+003  0.278325194212492E-009 
      0.84000000 -0.850763852755245E+003  0.225057677015172E-009 
      0.86000000 -0.850763852755310E+003  0.160092574371617E-009 
      0.88000000 -0.850763852755385E+003  0.856533942592108E-010 
      0.90000000 -0.850763852755465E+003  0.522041003385709E-011 
      0.92000000 -0.850763852755546E+003 -0.752125741914966E-010 
      0.94000000 -0.850763852755621E+003 -0.150811845422538E-009 
      0.96000000 -0.850763852755684E+003 -0.213650114348596E-009 
      0.98000000 -0.850763852755728E+003 -0.257443554077064E-009 
      1.00000000 -0.850763852755743E+003 -0.272814761398976E-009 
      1.02000000 -0.850763852755721E+003 -0.250579681625140E-009 
      1.04000000 -0.850763852755653E+003 -0.182134305625681E-009 
      1.06000000 -0.850763852755528E+003 -0.574245103724280E-010 
      1.08000000 -0.850763852755337E+003  0.133990524202332E-009 
      1.10000000 -0.850763852755069E+003  0.401391527047679E-009 
      1.12000000 -0.850763852754716E+003  0.754735946931895E-009 
