# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,fid_signal,fid_exp_fit
8.902,0.0015134496214156217,0.0032546748120382205
8.912,0.0012187314046527443,0.0032345386715812974
8.922,0.0009371151049119963,0.003214528408212912
8.932,0.0006684358173174691,0.0031946432350374136
8.942,0.00041250355100063123,0.003174882370078266
8.952,0.00016910460820577199,0.003155245036247309
8.962,-6.199701645768531e-05,0.003135730461314194
8.972,-0.0002810582830322936,0.0031163378778760182
8.982,-0.000488355745843762,0.003097066523327144
8.992,-0.0006841841420854086,0.003077915639829211
9.002,-0.0008688550290628662,0.0030588844742813416
9.012,-0.0009927887790254207,0.003039972278290512
9.022,-0.001106233248750265,0.0030211783081421305
9.032,-0.0012095424944298999,0.003002501824770791
9.042,-0.0013030821054102236,0.002983942093731205
9.052,-0.0013872279693851273,0.0029654983851693305
9.062,-0.0014623650082194015,0.002947169973793656
9.072,-0.0015288858937238157,0.002928956138846688
9.082,-0.0015871897916385595,0.0029108561640766037
9.092,-0.0016376812451710937,0.002892869337709094
9.102,-0.0016807689765303384,0.002874994952419358
9.112,-0.0016822878467644417,0.002857232305304298
9.122,-0.001677228223192545,0.002839580697854876
9.132,-0.0016660043779453486,0.002822039435928643
9.142,-0.0016490303580955026,0.0028046078297224468
9.152,-0.001626718868692556,0.002787285193745298
9.162,-0.0015994802402701227,0.0027700708467914242
9.172,-0.0015677215161245066,0.002752964111913475
9.182,-0.0015318454816896205,0.0027359643163958978
9.192,-0.001492249815015844,0.00271907079172849
9.202,-0.0014493262932797574,0.0027022828735801083
9.212,-0.0013795041341210477,0.0026855999017725437
9.222,-0.001307116841225709,0.00266902122025456
9.232,-0.0012325338341129194,0.0026525461770760955
9.242,-0.0011561156752543397,0.00263617412436262
9.252,-0.0010782135079212502,0.002619904418289677
9.262,-0.0009991685106496007,0.0026037364190575362
9.272,-0.0009193114161955211,0.002587669490866054
9.282,-0.0008389620329551418,0.0025717030018896645
9.292,-0.0007584287867574923,0.0025558363242525342
9.302,-0.0006780084258350527,0.002540068834003871
9.312,-0.0005813883468250528,0.002524399911093388
9.322,-0.00048543838543640256,0.002508828939346918
9.332,-0.00039041860021624933,0.0024933553064421833
9.342,-0.0002965763964343493,0.002477978403884723
9.352,-0.00020414640756921947,0.0024626976269839567
9.362,-0.00011335044873195949,0.0024475123748294034
9.372,-2.4397553056234602e-05,0.002432422050267058
9.382,6.251604875037048e-05,0.0024174260598759044
9.392,0.00014720693498593534,0.0024025238139445794
9.402,0.00022950439735885324,0.0023877147264481854
9.412,0.00032074943298137103,0.0023729982150252392
9.422,0.0004092970984183243,0.002358373700954783
9.432,0.0004950137912897057,0.002343840609133611
9.442,0.0005777779443571667,0.002329398368053663
9.452,0.0006574797475159122,0.002315046409779548
9.462,0.0007340208891410427,0.0023007841699262087
9.472,0.000807314336756533,0.0022866110876367364
9.482,0.0008772840021564775,0.0022725266055602994
9.492,0.0009438643809823071,0.0022585301698302366
9.502,0.0010070002573178203,0.0022446212300422795
9.512,0.0010746134090201685,0.0022307992392328964
9.522,0.0011387014298949534,0.002217063653857792
9.532,0.0011992382234157824,0.002203413933770531
9.542,0.0012562067542178828,0.0021898495422012954
9.552,0.0013095987148297465,0.0021763699457357775
9.562,0.0013594142327681955,0.0021629746142942034
9.572,0.0014056615548362589,0.002149663021110487
9.582,0.0014483567593940475,0.0021364346427115177
9.592,0.0014875234817756996,0.002123288958896574
9.602,0.0015231926521819417,0.0021102254527168634
9.612,0.0015609219749736047,0.002097243610455197
9.622,0.0015952364275076182,0.002084342921605787
9.632,0.0016261872025545012,0.0020715228788541714
9.642,0.0016538317453715743,0.002058782978057265
9.652,0.0016782335782537375,0.002046122718223531
9.662,0.0016994620075842983,0.0020335416014932804
9.672,0.001717591934961862,0.002021039133119104
9.682,0.001732703632267595,0.0020086148214463993
9.692,0.0017448824556113682,0.001996268177894048
9.702,0.0017542186544663512,0.001983998716935198
9.712,0.0017646313133534621,0.0019718059560781737
9.722,0.001772395432051483,0.001959689415847501
9.732,0.0017776144515834545,0.0019476486197650498
9.742,0.001780395700500414,0.0019356830943312987
9.752,0.0017808500822253947,0.0019237923690067185
9.762,0.0017790917757135056,0.0019119759761932584
9.772,0.0017752379683917466,0.0019002334512159703
9.782,0.0017694085800131077,0.0018885643323047249
9.792,0.0017617258409927084,0.0018769681605760584
9.802,0.0017523139922527497,0.0018654444800151266
9.812,0.0017439484990218882,0.0018539928374577712
9.822,0.0017341069614668666,0.0018426127825726996
9.832,0.001722917380602374,0.0018313038678437748
9.842,0.0017105081520040026,0.0018200656485524234
9.852,0.0016970076726501814,0.0018088976827601358
9.862,0.0016825439955977098,0.001797799531291096
9.872,0.0016672443094434585,0.0017867707577149065
9.882,0.001651234451020527,0.0017758109283294334
9.892,0.0016346384698480757,0.0017649196121437398
9.902,0.0016175781524869644,0.0017540963808611448
9.912,0.0016020082554197865,0.0017433408088623791
9.922,0.0015862089449038795,0.0017326524731888513
9.932,0.0015702923995264126,0.001722030953526007
9.942,0.0015543667032311556,0.001711475832186807
9.952,0.0015385353939135085,0.0017009866940952995
9.962,0.0015228969482238717,0.0016905631267702978
9.972,0.0015075443305503746,0.0016802047203091598
9.982,0.0014925645969384976,0.001669911067371668
9.992,0.00147803855692556,0.0016596817631640084
10.002,0.0014640404153182431,0.0016495164054228647
10.012,0.0014519092405667806,0.0016394145943995808
10.022,0.001440433107990568,0.0016293759328444531
10.032,0.0014296642604650054,0.001619400025991105
10.042,0.001419647002078853,0.0016094864815409651
10.052,0.0014104175544331706,0.0015996349096478377
10.062,0.0014020039089909482,0.0015898449229025727
