# Units: Wave vector during the probe pulse $\Delta k$ [$\pi/a$], Effective mass $m^{*}$ [$m_e$]
delta_k,effective_mass
0.0320611571237856,0.21715720446477474
0.033908639255702915,0.217157208679541
0.03575612138762023,0.2171572136425192
0.037603603519537544,0.21715721943742025
0.03945108565145486,0.21715722615239522
0.041298567783372174,0.21715723388003494
0.04314604991528949,0.21715724271737027
0.044993532047206804,0.21715725276587217
0.04684101417912412,0.2171572641314514
0.04868849631104143,0.21715727692445871
0.05053597844295875,0.2171572912596849
0.05238346057487606,0.21715730725636068
0.05423094270679338,0.21715732503815663
0.05607842483871069,0.21715734473318352
0.05792590697062801,0.21715736647399186
0.05977338910254532,0.21715739039757231
0.06162087123446264,0.21715741664535532
0.06346835336637996,0.2171574453632114
0.06531583549829727,0.21715747670145116
0.06716331763021458,0.21715751081482482
0.0690107997621319,0.21715754786252295
0.07085828189404922,0.2171575880081758
0.07270576402596653,0.21715763141985375
0.07455324615788383,0.21715767827006713
0.07640072828980116,0.21715772873576608
0.07824821042171848,0.217157782998341
0.08009569255363579,0.2171578412436219
0.0819431746855531,0.217157903661879
0.08379065681747042,0.21715797044782248
0.08563813894938774,0.21715804180060239
0.08748562108130505,0.2171581179238087
0.08933310321322235,0.2171581990254716
0.09118058534513968,0.2171582853180609
0.093028067477057,0.21715837701848664
0.0948755496089743,0.21715847434809868
0.09672303174089161,0.21715857753268694
0.09857051387280893,0.21715868680248124
0.10041799600472626,0.21715880239215138
0.10226547813664356,0.21715892454080715
0.10411296026856087,0.2171590534919983
0.1059604424004782,0.21715918949371446
0.10780792453239552,0.21715933279838537
0.10965540666431282,0.21715948366288065
0.11150288879623013,0.2171596423485099
0.11335037092814745,0.21715980912102262
0.11519785306006478,0.21715998425060845
0.11704533519198208,0.21716016801189683
0.11889281732389939,0.2171603606839572
0.12074029945581671,0.217160562550299
0.12258778158773403,0.21716077389887162
0.12443526371965134,0.21716099502206443
0.12628274585156865,0.21716122621670672
0.12813022798348597,0.21716146778406778
0.1299777101154033,0.2171617200298569
0.1318251922473206,0.21716198326422323
0.1336726743792379,0.21716225780175602
0.13552015651115523,0.21716254396148438
0.13736763864307255,0.21716284206687742
0.13921512077498988,0.21716315244584422
0.14106260290690717,0.2171634754307338
0.1429100850388245,0.21716381135833523
0.1447575671707418,0.21716416056987745
0.1466050493026591,0.2171645234110293
0.14845253143457643,0.21716490023189985
0.15030001356649375,0.2171652913870379
0.15214749569841107,0.21716569723543225
0.1539949778303284,0.21716611814051176
0.1558424599622457,0.2171665544701451
0.157689942094163,0.21716700659664112
0.15953742422608033,0.21716747489674837
0.16138490635799763,0.21716795975165562
0.16323238848991495,0.21716846154699151
0.16507987062183227,0.21716898067282453
0.1669273527537496,0.2171695175236633
0.1687748348856669,0.21717007249845632
0.1706223170175842,0.21717064600059213
0.17246979914950153,0.21717123843789907
0.17431728128141885,0.21717185022264562
0.17616476341333615,0.2171724817715402
0.17801224554525347,0.21717313350573111
0.1798597276771708,0.21717380585080667
0.1817072098090881,0.21717449923679513
0.18355469194100543,0.21717521409816476
0.18540217407292273,0.2171759508738238
0.18724965620484005,0.21717671000712038
0.18909713833675737,0.21717749194584263
0.19094462046867466,0.21717829714221865
0.19279210260059199,0.21717912605291656
0.1946395847325093,0.21717997913904435
0.19648706686442663,0.21718085686615002
0.19833454899634395,0.21718175970422154
0.20018203112826125,0.21718268812768682
0.20202951326017857,0.2171836426154138
0.2038769953920959,0.21718462365071034
0.20572447752401318,0.21718563172132416
0.2075719596559305,0.2171866673194432
0.20941944178784783,0.21718773094169508
