# Units: Wave vector during the probe pulse $\Delta k$ [$\pi/a$], Effective mass $m^{*}$ [$m_e$]
delta_k,effective_mass
0.0320611571237856,0.26961694099674804
0.033908639255702915,0.26961694425429544
0.03575612138762023,0.2696169480901278
0.037603603519537544,0.26961695256894447
0.03945108565145486,0.26961695775887634
0.041298567783372174,0.2696169637314858
0.04314604991528949,0.26961697056176714
0.044993532047206804,0.269616978328146
0.04684101417912412,0.2696169871124798
0.04868849631104143,0.26961699700005737
0.05053597844295875,0.26961700807959926
0.05238346057487606,0.26961702044325764
0.05423094270679338,0.26961703418661626
0.05607842483871069,0.2696170494086904
0.05792590697062801,0.269617066211927
0.05977338910254532,0.26961708470220463
0.06162087123446264,0.2696171049888334
0.06346835336637996,0.2696171271845551
0.06531583549829727,0.269617151405543
0.06716331763021458,0.26961717777140215
0.0690107997621319,0.26961720640516895
0.07085828189404922,0.2696172374333117
0.07270576402596653,0.26961727098572996
0.07455324615788383,0.2696173071957552
0.07640072828980116,0.26961734620015043
0.07824821042171848,0.26961738813911007
0.08009569255363579,0.2696174331562604
0.0819431746855531,0.2696174813986591
0.08379065681747042,0.2696175330167954
0.08563813894938774,0.26961758816459047
0.08748562108130505,0.2696176469993967
0.08933310321322235,0.26961770968199844
0.09118058534513968,0.26961777637661133
0.093028067477057,0.26961784725088267
0.0948755496089743,0.2696179224758915
0.09672303174089161,0.2696180022261484
0.09857051387280893,0.2696180866795955
0.10041799600472626,0.2696181760176065
0.10226547813664356,0.2696182704249869
0.10411296026856087,0.26961837008997364
0.1059604424004782,0.26961847520423526
0.10780792453239552,0.26961858596287197
0.10965540666431282,0.2696187025644154
0.11150288879623013,0.269618825210829
0.11335037092814745,0.2696189541075079
0.11519785306006478,0.2696190894632785
0.11704533519198208,0.26961923149039907
0.11889281732389939,0.26961938040455924
0.12074029945581671,0.2696195364248806
0.12258778158773403,0.26961969977391603
0.12443526371965134,0.26961987067765003
0.12628274585156865,0.26962004936549894
0.12813022798348597,0.26962023607031044
0.1299777101154033,0.26962043102836397
0.1318251922473206,0.2696206344793705
0.1336726743792379,0.26962084666647257
0.13552015651115523,0.26962106783624445
0.13736763864307255,0.2696212982386919
0.13921512077498988,0.26962153812725237
0.14106260290690717,0.2696217877587947
0.1429100850388245,0.26962204739361967
0.1447575671707418,0.2696223172954594
0.1466050493026591,0.2696225977314776
