# Units: Energy [eV], DOS [1/eV]
energy,dos
-8.0,0.0
-7.989995650282732,0.0
-7.979991300565463,0.0
-7.969986950848195,0.0
-7.9599826011309265,6.97e-322
-7.9499782514136585,1.45085e-318
-7.93997390169639,2.899420137e-315
-7.929969551979122,5.56711882559e-312
-7.919965202261853,1.027023096834169e-308
-7.909960852544585,1.820373047938302e-305
-7.899956502827316,3.1000674327690744e-302
-7.889952153110048,5.072388824693734e-299
-7.8799478033927794,7.974155205283822e-296
-7.8699434536755115,1.204446974337057e-292
-7.859939103958243,1.7479203782455304e-289
-7.849934754240975,2.437174790125373e-286
-7.839930404523706,3.2649978144984657e-283
-7.829926054806438,4.2025260945943584e-280
-7.819921705089169,5.197199326775942e-277
-7.809917355371901,6.175325994954555e-274
-7.799913005654632,7.049886090337717e-271
-7.7899086559373645,7.732788763569684e-268
-7.779904306220096,8.149335083150253e-265
-7.769899956502828,8.251641240268273e-262
-7.759895606785559,8.02769366282714e-259
-7.749891257068291,7.503669558815495e-256
-7.739886907351022,6.738903478220864e-253
-7.729882557633754,5.81483739711377e-250
-7.719878207916485,4.82079764009663e-247
-7.7098738581992174,3.840019310691283e-244
-7.699869508481949,2.9388762153577128e-241
-7.689865158764681,2.161039804112613e-238
-7.679860809047412,1.5267855470132871e-235
-7.669856459330144,1.0363998461187873e-232
-7.659852109612875,6.7594428117959325e-230
-7.649847759895607,4.235736708594145e-227
-7.639843410178338,2.5502441928815674e-224
-7.62983906046107,1.4752634781820976e-221
-7.619834710743802,8.199600620123627e-219
-7.609830361026534,4.378762348029666e-216
-7.599826011309265,2.246704268960057e-213
-7.589821661591997,1.1075838400530033e-210
-7.579817311874728,5.246187301391364e-208
-7.56981296215746,2.3875242034741883e-205
-7.559808612440191,1.0439721790437438e-202
-7.549804262722923,4.3859893569731855e-200
-7.5397999130056546,1.7704517520759456e-197
-7.529795563288387,6.866554559701681e-195
-7.519791213571118,2.55877623401639e-192
-7.50978686385385,9.161462489128847e-190
-7.499782514136581,3.1516414353219713e-187
-7.489778164419313,1.0417145599717483e-184
-7.479773814702044,3.308270917645258e-182
-7.469769464984776,1.0094720037086303e-179
-7.4597651152675075,2.959571703513148e-177
-7.44976076555024,8.336914452536403e-175
-7.439756415832971,2.25644239014847e-172
-7.429752066115703,5.86794636523748e-170
-7.419747716398434,1.4661944717486685e-167
-7.409743366681166,3.519987918773408e-165
-7.399739016963897,8.119616924357025e-163
-7.389734667246629,1.79959725047146e-160
-7.3797303175293605,3.832314836055745e-158
-7.3697259678120925,7.841403604161304e-156
-7.359721618094824,1.5416078666664823e-153
-7.349717268377556,2.9120729492674084e-151
-7.339712918660287,5.285420826022588e-149
-7.329708568943019,9.217362683057095e-147
-7.31970421922575,1.5444874605555895e-144
-7.309699869508482,2.4866436559329416e-142
-7.2996955197912134,3.8467597155146167e-140
-7.2896911700739455,5.717811250752809e-138
-7.279686820356677,8.166176534090153e-136
-7.269682470639409,1.120631647747471e-133
-7.25967812092214,1.4776214314595535e-131
-7.249673771204872,1.8720640467144342e-129
-7.239669421487603,2.2789590707729874e-127
-7.229665071770335,2.6657030248107055e-125
-7.219660722053066,2.99603975803276e-123
-7.2096563723357985,3.2355278124064124e-121
-7.19965202261853,3.357420116559818e-119
