# k-point distribution
# ik: k-point index
# kx,ky,kz: Reduced coordinate of k-points
# wk: Weight of k-point
# 1:ik[none] 2:kx[none] 3:ky[none] 4:kz[none] 5:wk[none]
     1 -0.250000000000000E+000 -0.250000000000000E+000 -0.250000000000000E+000  0.125000000000000E+000
     2  0.250000000000000E+000 -0.250000000000000E+000 -0.250000000000000E+000  0.125000000000000E+000
     3 -0.250000000000000E+000  0.250000000000000E+000 -0.250000000000000E+000  0.125000000000000E+000
     4  0.250000000000000E+000  0.250000000000000E+000 -0.250000000000000E+000  0.125000000000000E+000
     5 -0.250000000000000E+000 -0.250000000000000E+000  0.250000000000000E+000  0.125000000000000E+000
     6  0.250000000000000E+000 -0.250000000000000E+000  0.250000000000000E+000  0.125000000000000E+000
     7 -0.250000000000000E+000  0.250000000000000E+000  0.250000000000000E+000  0.125000000000000E+000
     8  0.250000000000000E+000  0.250000000000000E+000  0.250000000000000E+000  0.125000000000000E+000
# coefficients (2*pi/a [a.u.]) in kx, ky, kz
 0.306161922189321E+000 0.306161922189321E+000 0.306161922189321E+000
