# Units: Energy [eV], DOS [1/eV]
energy,dos
-8.0,1.7407270544554849e-289
-7.989995650282732,2.4267376449539524e-286
-7.979991300565463,3.250447861764368e-283
-7.969986950848195,4.183038009598242e-280
-7.9599826011309265,5.172120659605346e-277
-7.9499782514136585,6.144318447177362e-274
-7.93997390169639,7.013051312693312e-271
-7.929969551979122,7.690747445634476e-268
-7.919965202261853,8.103232824123502e-265
-7.909960852544585,8.203068155973602e-262
-7.899956502827316,7.978524057697392e-259
-7.889952153110048,7.455847827170753e-256
-7.8799478033927794,6.694216459080765e-253
-7.8699434536755115,5.77471702473337e-250
-7.859939103958243,4.786189681995235e-247
-7.849934754240975,3.811336981383142e-244
-7.839930404523706,2.9160370490395022e-241
-7.829926054806438,2.1435665645697422e-238
-7.819921705089169,1.5139417352049596e-235
-7.809917355371901,1.0273291270000181e-232
-7.799913005654632,6.69789441443339e-230
-7.7899086559373645,4.1956113446846295e-227
-7.779904306220096,2.525110958374037e-224
-7.769899956502828,1.4601381466017408e-221
-7.759895606785559,8.112144843316819e-219
-7.749891257068291,4.330177692273434e-216
-7.739886907351022,2.220772225499576e-213
-7.729882557633754,1.0942853821053894e-210
-7.719878207916485,5.180664462083787e-208
-7.7098738581992174,2.356506405764881e-205
-7.699869508481949,1.0298644866883184e-202
-7.689865158764681,4.3243401188734815e-200
-7.679860809047412,1.7445680675422184e-197
-7.669856459330144,6.762142402038265e-195
-7.659852109612875,2.5183090890412402e-192
-7.649847759895607,9.010773848841579e-190
-7.639843410178338,3.0977295094704437e-187
-7.62983906046107,1.0231828503167779e-184
-7.619834710743802,3.247067966890092e-182
-7.609830361026534,9.90051728152756e-180
-7.599826011309265,2.9003658720416863e-177
-7.589821661591997,8.16349429943559e-175
-7.579817311874728,2.2076378145620482e-172
-7.56981296215746,5.735984842906037e-170
-7.559808612440191,1.4319129731669553e-167
-7.549804262722923,3.434422578004719e-165
-7.5397999130056546,7.914424430256642e-163
-7.529795563288387,1.752320191911421e-160
-7.519791213571118,3.72765869784482e-158
-7.50978686385385,7.618814385574297e-156
-7.499782514136581,1.4961228262032031e-153
-7.489778164419313,2.822771612317907e-151
-7.479773814702044,5.116970397417897e-149
-7.469769464984776,8.912073843613242e-147
-7.4597651152675075,1.4913287739186633e-144
-7.44976076555024,2.3977108658429986e-142
-7.439756415832971,3.7038131249842016e-140
-7.429752066115703,5.497056664124437e-138
-7.419747716398434,7.838632602905442e-136
-7.409743366681166,1.0739385060734932e-133
-7.399739016963897,1.4136685413877013e-131
-7.389734667246629,1.787906975486363e-129
-7.3797303175293605,2.1725584358531036e-127
-7.3697259678120925,2.5364559275681895e-125
-7.359721618094824,2.8451985002909074e-123
-7.349717268377556,3.0663894782036902e-121
-7.339712918660287,3.1752042077965634e-119
-7.329708568943019,3.1589716046098948e-117
