# Units: Energy [eV], Spectral intensity [normalized] 
energies,F_fid,F_fid_normalized
0.0,0.11238774835684917,0.08166983703825395
0.002642599166773163,0.11233187731561213,0.08163719776789294
0.005285198333546326,0.11216433233558298,0.08153929864245468
0.007927797500319488,0.11188531836883382,0.08137619572911196
0.010570396667092651,0.11149517875154807,0.08114798250766193
0.013212995833865813,0.11099439787279901,0.0808547899236349
0.015855595000638975,0.1103836050017844,0.08049678646537811
0.01849819416741214,0.10966357936821801,0.0800741782679519
0.021140793334185302,0.10883525662317416,0.07958720924763435
0.023783392500958463,0.10789973684476652,0.07903616127192045
0.026425991667731626,0.10685829429597328,0.07842135437115025
0.02906859083450479,0.1057123891923296,0.07774314699936126
0.03171119000127795,0.1044636817970215,0.07700193635369097
0.03435378916805112,0.10311404923244528,0.07619815876372525
0.03699638833482428,0.10166560548332215,0.07533229016469226
0.03963898750159744,0.1001207251702847,0.07440484667145354
0.042281586668370605,0.09848207179838493,0.07341638527399165
0.04492418583514377,0.0967526313367531,0.07236750467973109
0.047566785001916925,0.09493575216876882,0.07125884633380368
0.05020938416869009,0.09303519267208638,0.07009109565560545
0.05285198333546325,0.09105517795010178,0.06886498353912539
0.05549458250223642,0.08900046754532707,0.06758128817611969
0.05813718166900958,0.08687643632225339,0.06624083727602809
0.06077978083578274,0.08468917110832012,0.06484451077561021
0.0634223800025559,0.08244558611101309,0.06339324415601302
0.06606497916932906,0.08015356055124123,0.0618880325172867
0.06870757833610223,0.07782210229789312,0.06032993560288389
0.0713501775028754,0.07546154142886934,0.058720084023098695
0.07399277666964856,0.07308375736217514,0.05705968700190459
0.07663537583642173,0.07070244214004077,0.05535004207360474
0.07927797500319488,0.06833340005059539,0.05359254729467958
0.08192057416996805,0.06599487920480308,0.051788716727524935
0.08456317333674121,0.06370792280238952,0.04994020021889005
0.08720577250351437,0.061496715200642094,0.04804880887005063
0.08984837167028754,0.05938887914474946,0.04611654812805641
0.09249097083706069,0.05741565502021476,0.044145661193594976
0.09513357000383385,0.05561186248764827,0.04213868655754116
0.09777616917060702,0.05401551591224621,0.040098535125891906
0.10041876833738018,0.05266695170229505,0.03802859485510354
0.10306136750415336,0.05160735031602513,0.03593287454539878
0.1057039666709265,0.050876622894617266,0.03381620414113
0.10834656583769967,0.050510792561219826,0.03168451769499157
0.11098916500447284,0.05053920539723182,0.029545258832878587
0.113631764171246,0.0509820767837744,0.02740796975843346
0.11627436333801916,0.05184891053480859,0.025285157146178353
0.11891696250479233,0.053138159635552545,0.023193575190793323
0.12155956167156548,0.054838174104540345,0.02115612604926316
0.12420216083833864,0.05692914611732043,0.019204626894115905
0.1268447600051118,0.05938556256579219,0.017383633077269964
0.12948735917188497,0.06217866846445543,0.015755046144432742
0.13212995833865812,0.06527858271447196,0.014401724854397878
0.1347725575054313,0.06865589406697087,0.013425072897311784
0.13741515667220447,0.0722827212870516,0.012928416266062327
0.14005775583897764,0.07613331515081946,0.0129835621013986
0.1427003550057508,0.08018431556434155,0.013598631912177672
0.14534295417252394,0.08441477491173395,0.01471632834164428
0.1479855533392971,0.0888060386817043,0.01624390435459201
0.15062815250607028,0.09334154998505449,0.018086609828288327
0.15327075167284346,0.09800662266468071,0.020165422591619107
0.1559133508396166,0.1027882107297627,0.022420559154641303
0.15855595000638975,0.10767468986103808,0.024808600802557583
0.16119854917316292,0.11265565883297367,0.027298311393047104
0.1638411483399361,0.11772176379498754,0.02986704739383459
0.16648374750670927,0.12286454549891139,0.03249811763529508
0.16912634667348242,0.12807630803207173,0.0351789528702454
0.17176894584025557,0.13335000690809384,0.03789986235903432
0.17441154500702874,0.13867915414372706,0.0406531910885595
0.1770541441738019,0.14405773799450103,0.04343274466718754
0.1796967433405751,0.14948015520237562,0.046233392482463366
0.18233934250734823,0.15494115384617513,0.04905079025468299
0.18498194167412138,0.16043578513591464,0.05188118338018308
0.18762454084089455,0.16595936273143272,0.05472126562326557
0.1902671400076677,0.17150742838275138,0.05756807623451497
0.1929097391744409,0.17707572288018242,0.06041892410863661
0.19555233834121405,0.18266016146618164,0.06327133122260113
0.1981949375079872,0.18825681300014138,0.06612298999819108
0.20083753667476037,0.1938618822843705,0.0689717308443307
0.20348013584153352,0.19947169505737788,0.07181549722826817
0.20612273500830672,0.2050826852420699,0.0746523263762572
0.20876533417507986,0.21069138410418628,0.07748033422715114
0.211407933341853,0.21629441103249278,0.0802977036302345
0.21405053250862618,0.2218884656988686,0.08310267504047494
0.21669313167539933,0.2274703213951257,0.08589353915278439
0.2193357308421725,0.23303681937553616,0.08866863105383475
0.22197833000894568,0.23858486406078394,0.0914263255705119
0.22462092917571885,0.2441114189813242,0.09416503356858977
0.227263528342492,0.24961350335672075,0.09688319901089953
0.22990612750926515,0.2550881892230707,0.09957929662625464
0.23254872667603832,0.26053259903364295,0.10225183007230217
0.2351913258428115,0.2659439036687904,0.10489933049990853
0.23783392500958467,0.27131932080039267,0.10752035544553455
0.24047652417635781,0.2766561135638426,0.11011348799269831
0.24311912334313096,0.2819515894971526,0.11267733615507122
0.24576172250990413,0.2872030997123062,0.11521053244275999
0.24840432167667728,0.29240803826870604,0.11771173358045876
0.2510469208434505,0.2975638417225806,0.12017962035183266
0.2536895200102236,0.3026679888296428,0.12261289754903949
0.2563321191769968,0.30771800038122227,0.12501029400995667
0.25897471834376995,0.3127114391566061,0.12737056272864036
0.2616173175105431,0.3176459099764796,0.12969248102695183
0.26425991667731624,0.3225190598442182,0.1319748507772547
0.26690251584408947,0.32732857816338445,0.1342164986677031
0.2695451150108626,0.33207219702117163,0.1364162765029716
0.27218771417763576,0.3367476915287366,0.1385730615343869
0.27483031334440894,0.34135288021041105,0.14068575681433762
0.27747291251118206,0.3458856254346893,0.14275329157061392
0.2801155116779553,0.3503438338806853,0.1447746215969701
0.2827581108447284,0.35472545703444486,0.14674872965675614
0.2854007100115016,0.35902849171011203,0.1486746258969265
0.28804330917827475,0.3632509805914785,0.15055134827013011
0.29068590834504787,0.36739101278992403,0.15237796296293038
0.2933285075118211,0.37144672441516413,0.15415356482849246
0.2959711066785942,0.37541629915559926,0.15587727782233823
0.2986137058453674,0.3792979688653798,0.15754825543998618
0.30125630501214057,0.38309001415559923,0.15916568115549712
0.3038989041789137,0.3867907649872831,0.1607287688601197
0.3065415033456869,0.39039860126407877,0.16223676330038742
0.30918410251246004,0.3939119534227584,0.1636889405151629
0.3118267016792332,0.39732930301983616,0.1650846082712561
0.3144693008460064,0.40064918331277327,0.16642310649736225
0.3171119000127795,0.4038701798343993,0.16770380771618165
0.31975449917955273,0.40699093095931543,0.168926117474687
0.32239709834632585,0.41001012846118023,0.1700894747726084
0.325039697513099,0.41292651805989367,0.17119335248930523
0.3276822966798722,0.41573889995780455,0.1722372578092888
0.3303248958466453,0.41844612936416864,0.1732207326467583
0.33296749501341855,0.42104711700717984,0.17414335406960588
0.33561009418019166,0.4235408296329812,0.17500473472344336
0.33825269334696484,0.42592629049115344,0.17580452325630327
0.34089529251373796,0.4282025798062451,0.17654240474476288
0.34353789168051113,0.430368835234997,0.17721810112234868
0.34618049084728436,0.43242425230897114,0.1778313716111819
0.3488230900140575,0.43436808486237377,0.17838201315794094
0.35146568918083065,0.4361996454449203,0.1788698608753329
0.3541082883476038,0.4379183057196603,0.1792947884903904
0.35675088751437695,0.43952349684573505,0.1796567088010428
0.3593934866811502,0.4410147098461128,0.17995557414254706
0.3620360858479233,0.44239149596039434,0.1801913768655141
0.36467868501469647,0.4436534669828523,0.18036414982742202
0.3673212841814696,0.444800295585921,0.18047396689967574
0.36996388334824276,0.44583171562941376,0.1805209434924523
0.372606482515016,0.44674752245580696,0.18050523709976254
0.3752490816817891,0.4475475731719868,0.18042704786736347
0.3778916808485623,0.44823178691791704,0.18028661918637753
0.3805342800153354,0.4488001451227468,0.18008423831570713
0.3831768791821086,0.4492526917489419,0.17982023703658526
0.3858194783488818,0.4495895335250834,0.1794949923428718
0.3884620775156549,0.4498108401680434,0.17910892717099106
0.3911046766824281,0.4499168445953164,0.17866251117371465
0.3937472758492012,0.4499078431283515,0.1781562615423181
0.3963898750159744,0.4497841956877967,0.17759074388198934
0.3990324741827476,0.4495463259816466,0.17696657314573663
0.40167507334952074,0.44919472168735114,0.17628441463243255
0.4043176725162939,0.4487299346290219,0.17554498505504665
0.40696027168306703,0.44815258095095295,0.1747490536855501
0.4096028708498402,0.44746334128874893,0.17389744358343315
0.41224547001661344,0.44666296093944086,0.17299103291524498
0.41488806918338655,0.44575225003205127,0.17203075637305446
0.41753066835015973,0.4447320837001632,0.171017606700229
0.42017326751693285,0.4436034022581297,0.1699526363334302
0.422815866683706,0.44236721138266133,0.16883695917022645
0.4254584658504792,0.441024582301616,0.16767175247221192
0.42810106501725237,0.43957665199191565,0.166458258913982
0.43074366418402554,0.4380246233886118,0.16519778878873598
0.43338626335079866,0.4363697656072148,0.16389172238163535
0.4360288625175719,0.43461341418150984,0.16254151252230958
0.438671461684345,0.432756971319172,0.16114868732804738
0.4413140608511182,0.4308019061775977,0.15971485314918846
0.44395666001789136,0.42874975516246133,0.1582416977279955
0.4465992591846645,0.42660212225160243,0.15673099358177703
0.4492418583514377,0.4243606793469321,0.15518460162016698
0.4518844575182108,0.4220271666571342,0.15360447500517088
0.454527056684984,0.4196033931140076,0.15199266326073735
0.4571696558517572,0.4170912368253585,0.15035131663609128
0.4598122550185303,0.4144926455674007,0.14868269072371973
0.4624548541853035,0.41180963731965475,0.1469891513285494
0.46509745335207664,0.40904430084534277,0.1452731795792999
0.4677400525188498,0.40619879632026645,0.14353737726600352
0.470382651685623,0.4032753560131008,0.14178447237898217
0.4730252508523961,0.40027628501995616,0.14001732481387916
0.47566785001916934,0.3972039620559292,0.13823893219433278
0.47831044918594245,0.39406084030617405,0.1364524357482173
0.48095304835271563,0.39084944833878327,0.13466112615471984
0.4835956475194888,0.38757239108143815,0.1328684492575392
0.4862382466862619,0.3842323508633772,0.13107801151389556
0.48888084585303515,0.380832088523716,0.12929358501961685
0.49152344501980827,0.377374444586517,0.12751911191724188
0.49416604418658144,0.37386234050222933,0.12575870795696562
0.49680864335335456,0.37029877995418603,0.12401666493976134
0.49945124252012774,0.3666868502277261,0.12229745172892435
0.502093841686901,0.3630297236381751,0.12060571347189175
0.5047364408536741,0.3593306590123446,0.11894626863041656
0.5073790400204472,0.35559300321636944,0.11732410337669329
0.5100216391872204,0.3518201927205369,0.11574436287937688
0.5126642383539936,0.34801575518926986,0.11421233898108885
0.5153068375207668,0.34418331108152334,0.11273345376334454
0.5179494366875399,0.34032657524354,0.11131323851205177
0.520592035854313,0.3364493584721106,0.1099573076435087
0.5232346350210862,0.33255556902216743,0.10867132723384769
0.5258772341878594,0.32864921402766667,0.10746097792009679
0.5285198333546325,0.324734400799232,0.10633191211268198
0.5311624325214057,0.32081533795592765,0.10528970567864393
0.5338050316881789,0.31689633634175246,0.10433980451926816
0.5364476308549521,0.31298180967001393,0.10348746676711085
0.5390902300217252,0.3090762748306432,0.10273770165124534
0.5417328291884984,0.30518435178678466,0.10209520640531633
0.5443754283552715,0.30131076297770915,0.10156430289442003
0.5470180275220446,0.297460332135356,0.10114887588392102
0.5496606266888179,0.2936379824117579,0.10085231503534489
0.552303225855591,0.289848733704473,0.10067746276391132
0.5549458250223641,0.28609769905720295,0.10062657000912043
0.5575884241891373,0.28239008000340327,0.1007012617456343
0.5602310233559106,0.27873116071233,0.10090251370244178
0.5628736225226837,0.27512630079018024,0.10123064128510555
0.5655162216894568,0.27158092658442956,0.10168530114363884
0.56815882085623,0.26810052083789887,0.1022655052419838
0.5708014200230032,0.26469061054136483,0.10296964671316897
0.5734440191897763,0.26135675284057347,0.10379553627390849
0.5760866183565495,0.25810451886631924,0.10474044756251098
0.5787292175233226,0.25493947537578465,0.10580116948079334
0.5813718166900957,0.2518671641205202,0.10697406347573928
0.584014415856869,0.24889307889208206,0.10825512368670648
0.5866570150236422,0.24602264024099083,0.10964003799338143
0.5892996141904153,0.24326116791857177,0.11112424820387651
0.5919422133571884,0.24061385115417555,0.11270300789218526
0.5945848125239617,0.23808571695149164,0.11437143669990033
0.5972274116907348,0.2356815966657306,0.11612457023156854
0.5998700108575079,0.2334060912062225,0.11795740497410019
0.6025126100242811,0.23126353529353785,0.11986493794200904
0.6051552091910543,0.2292579612829525,0.12184220098174704
0.6077978083578274,0.22739306314268498,0.12388428985526895
0.6104404075246005,0.22567216124114128,0.12598638836491283
0.6130830066913738,0.22409816864754456,0.12814378788162273
0.615725605858147,0.22267355968013455,0.13035190270146013
