# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.233531956442582E+005  0.000000000000000E+000 
      0.02000000 -0.233520897538768E+005  0.110589038142566E+001 
      0.04000000 -0.233520895551124E+005  0.110608914582927E+001 
      0.06000000 -0.233520894710388E+005  0.110617321944238E+001 
      0.08000000 -0.233520895028622E+005  0.110614139601462E+001 
      0.10000000 -0.233520894706552E+005  0.110617360303966E+001 
      0.12000000 -0.233520893962886E+005  0.110624796961353E+001 
      0.14000000 -0.233520893513697E+005  0.110629288847776E+001 
      0.16000000 -0.233520893367259E+005  0.110630753229867E+001 
      0.18000000 -0.233520893489286E+005  0.110629532958171E+001 
      0.20000000 -0.233520893784244E+005  0.110626583383811E+001 
      0.22000000 -0.233520894124029E+005  0.110623185531062E+001 
      0.24000000 -0.233520894475238E+005  0.110619673439345E+001 
      0.26000000 -0.233520894815931E+005  0.110616266513756E+001 
      0.28000000 -0.233520895104982E+005  0.110613375996695E+001 
      0.30000000 -0.233520895327238E+005  0.110611153442468E+001 
      0.32000000 -0.233520895514488E+005  0.110609280940630E+001 
      0.34000000 -0.233520895664335E+005  0.110607782469494E+001 
      0.36000000 -0.233520895771021E+005  0.110606715607938E+001 
      0.38000000 -0.233520895796082E+005  0.110606465000105E+001 
      0.40000000 -0.233520895804706E+005  0.110606378766665E+001 
      0.42000000 -0.233520895850198E+005  0.110605923842347E+001 
      0.44000000 -0.233520895961714E+005  0.110604808682330E+001 
      0.46000000 -0.233520896143445E+005  0.110602991376391E+001 
      0.48000000 -0.233520896341074E+005  0.110601015081047E+001 
      0.50000000 -0.233520896504427E+005  0.110599381550865E+001 
      0.52000000 -0.233520896665613E+005  0.110597769688092E+001 
      0.54000000 -0.233520896843752E+005  0.110595988305070E+001 
      0.56000000 -0.233520897036031E+005  0.110594065509107E+001 
      0.58000000 -0.233520897227535E+005  0.110592150469976E+001 
      0.60000000 -0.233520897418062E+005  0.110590245198504E+001 
      0.62000000 -0.233520897613097E+005  0.110588294853625E+001 
      0.64000000 -0.233520897803570E+005  0.110586390126312E+001 
      0.66000000 -0.233520897993033E+005  0.110584495487462E+001 
      0.68000000 -0.233520898191836E+005  0.110582507462514E+001 
      0.70000000 -0.233520898390118E+005  0.110580524637867E+001 
      0.72000000 -0.233520898574596E+005  0.110578679864683E+001 
      0.74000000 -0.233520898745604E+005  0.110576969782717E+001 
      0.76000000 -0.233520898908081E+005  0.110575345011378E+001 
      0.78000000 -0.233520899070446E+005  0.110573721358676E+001 
      0.80000000 -0.233520899244191E+005  0.110571983914028E+001 
      0.82000000 -0.233520899427689E+005  0.110570148932631E+001 
      0.84000000 -0.233520899609143E+005  0.110568334391112E+001 
      0.86000000 -0.233520899788828E+005  0.110566537545158E+001 
      0.88000000 -0.233520899965126E+005  0.110564774557160E+001 
      0.90000000 -0.233520900131946E+005  0.110563106356959E+001 
      0.92000000 -0.233520900296891E+005  0.110561456907234E+001 
      0.94000000 -0.233520900463811E+005  0.110559787715851E+001 
      0.96000000 -0.233520900624426E+005  0.110558181560725E+001 
      0.98000000 -0.233520900777850E+005  0.110556647318257E+001 
      1.00000000 -0.233520900919435E+005  0.110555231476234E+001 
      1.02000000 -0.233520901044952E+005  0.110553976302810E+001 
      1.04000000 -0.233520901170490E+005  0.110552720925829E+001 
      1.06000000 -0.233520901314173E+005  0.110551284087085E+001 
      1.08000000 -0.233520901464117E+005  0.110549784653228E+001 
      1.10000000 -0.233520901609541E+005  0.110548330412808E+001 
      1.12000000 -0.233520901758925E+005  0.110546836573683E+001 
      1.14000000 -0.233520901911571E+005  0.110545310112796E+001 
      1.16000000 -0.233520902061851E+005  0.110543807309725E+001 
      1.18000000 -0.233520902209948E+005  0.110542326340187E+001 
      1.20000000 -0.233520902357116E+005  0.110540854662824E+001 
      1.22000000 -0.233520902502969E+005  0.110539396127593E+001 
      1.24000000 -0.233520902647324E+005  0.110537952584450E+001 
      1.26000000 -0.233520902788754E+005  0.110536538279007E+001 
      1.28000000 -0.233520902929298E+005  0.110535132840063E+001 
      1.30000000 -0.233520903070606E+005  0.110533719758748E+001 
      1.32000000 -0.233520903212664E+005  0.110532299180461E+001 
      1.34000000 -0.233520903355578E+005  0.110530870036679E+001 
      1.36000000 -0.233520903498336E+005  0.110529442464743E+001 
