# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,fid_signal,fid_exp_fit,normalized_fid
13.202,0.00231693945842126,0.002145801868382466,0.7737262097299644
13.212,0.0020376631698986237,0.0021177938179374684,0.658596039877788
13.222,0.0017653858633522664,0.0020901743623895326,0.5437350826599999
13.232,0.0015005788402584358,0.002062938110217606,0.42943537931617926
13.242,0.0012436819622178685,0.002036079744704728,0.31598730671283026
13.252,0.0009951029613323049,0.0020095940229002225,0.20367865419949177
13.262,0.0007552169075138633,0.001983475774596183,0.09279372584927975
13.272,0.0005243656803611475,0.0019577199013182606,-0.016387603103715953
13.282,0.00030285755237267816,0.0019323213753303626,-0.12359082311257094
13.292,9.096689738507414e-05,0.0019072752386532156,-0.2285477097041277
13.302,-0.0001110659970468662,0.0018825766020965549,-0.33099723259260144
13.312,-0.00030303505477894733,0.001858220644304671,-0.4306864725993753
13.322,-0.0004847684291758739,0.0018342026108152992,-0.5273715208627463
13.332,-0.0006561284354899762,0.00181051781313146,-0.6208183678760983
13.342,-0.0008170114113800849,0.0017871616278062816,-0.7108037862992816
13.352,-0.0009673474590344932,0.0017641294955404202,-0.7971161799446902
13.362,-0.001107100061599494,0.0017414169202920984,-0.8795563901792988
13.372,-0.0012362656875587192,0.0017190194683994037,-0.957938516543426
13.382,-0.00135487326938447,0.0016969327677148227,-1.032090686643214
13.392,-0.0014629835524009342,0.0016751525067517832,-1.101855768000212
13.402,-0.0015606884830364107,0.0016536744338429851,-1.1670921135502421
13.412,-0.0016481102381338797,0.0016324943563104626,-1.2276741056052258
13.422,-0.0017253991619789908,0.0016116081396471507,-1.2834920378930281
13.432,-0.0017927318379258904,0.0015910117067097905,-1.3344520246525615
13.442,-0.0018503096002274136,0.001570701036923029,-1.3804761302572524
13.452,-0.0018983570313110582,0.001550672165494584,-1.4215024558024592
13.462,-0.0019371204735498587,0.0015309211826413037,-1.457485198163396
13.472,-0.001966866460145298,0.0015114442328259107,-1.4883946196610651
13.482,-0.0019878801436077034,0.0014922375140044152,-1.5142169719880025
13.492,-0.0020004637612460723,0.001473297276883886,-1.534954397667644
13.502,-0.002004935128620828,0.0014546198241906024,-1.5506248031440157
13.512,-0.0020016260486542536,0.0014362015099482791,-1.5612616270585686
13.522,-0.0019908807647534667,0.001418038738766383,-1.5669135837951613
13.532,-0.0019730545163088088,0.001400127965138254,-1.5676444223027415
13.542,-0.0019485119914511074,0.0013824656927490095,-1.563532560689624
13.552,-0.0019176258342747617,0.0013650484737930525,-1.5546706987488177
13.562,-0.0018807751988638589,0.0013478729083010064,-1.5411654040182206
13.572,-0.0018383443095994984,0.0013309356434760302,-1.52313664211271
13.582,-0.0017907210403792458,0.001314233373039336,-1.50071725765345
13.592,-0.0017382955393316587,0.0012977628365847707,-1.474052425027545
13.602,-0.001681458856067524,0.0012815208189423481,-1.4432990364777063
13.612,-0.0016206016254554157,0.001265504149550653,-1.408625065786516
13.622,-0.0015561128338297636,0.0012497097018378956,-1.3702089292292994
13.632,-0.0014883785687808554,0.001234134392611594,-1.3282387693170534
13.642,-0.0014177808060265673,0.0012187751814567243,-1.2829116994811698
13.652,-0.001344696279893092,0.001203629070142185,-1.234433047175453
13.662,-0.001269495418755063,0.0011886931020355321,-1.1830155835198812
13.672,-0.0011925413062574106,0.0011739643615258316,-1.128878709218385
13.682,-0.001114188674103182,0.0011594399734545016,-1.0722476013244835
13.692,-0.001034783014724023,0.0011451171025540525,-1.0133523945477776
13.702,-0.0009546597295685393,0.001130992952894631,-0.9524273316969211
13.712,-0.0008741432880944594,0.001117064767338244,-0.8897098624521803
13.722,-0.0007935465034205247,0.0011033298270005226,-0.8254397816087468
13.732,-0.0007131698617649119,0.0010897854507199883,-0.7598583579616924
13.742,-0.000633300890051284,0.001076428994534676,-0.6932074414673242
13.752,-0.0005542135963576094,0.0010632578511660061,-0.6257285811455577
13.762,-0.00047616800977041095,0.0010502694495098162,-0.5576621820610386
13.772,-0.00039940978793379507,0.0010374612541344842,-0.4892466783158098
13.782,-0.00032416976144503205,0.001024830764785971,-0.42071760311422357
13.792,-0.00025066370188883604,0.0010123755158997624,-0.35230682069893227
13.802,-0.00017909214667343699,0.001000093076119582,-0.28424177757089975
