# k-point distribution
# ik: k-point index
# kx,ky,kz: Reduced coordinate of k-points
# wk: Weight of k-point
# 1:ik[none] 2:kx[none] 3:ky[none] 4:kz[none] 5:wk[none]
     1 -0.400000000000000E+000 -0.400000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
     2 -0.200000000000000E+000 -0.400000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
     3  0.000000000000000E+000 -0.400000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
     4  0.200000000000000E+000 -0.400000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
     5  0.400000000000000E+000 -0.400000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
     6 -0.400000000000000E+000 -0.200000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
     7 -0.200000000000000E+000 -0.200000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
     8  0.000000000000000E+000 -0.200000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
     9  0.200000000000000E+000 -0.200000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
    10  0.400000000000000E+000 -0.200000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
    11 -0.400000000000000E+000  0.000000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
    12 -0.200000000000000E+000  0.000000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
    13  0.000000000000000E+000  0.000000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
    14  0.200000000000000E+000  0.000000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
    15  0.400000000000000E+000  0.000000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
    16 -0.400000000000000E+000  0.200000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
    17 -0.200000000000000E+000  0.200000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
    18  0.000000000000000E+000  0.200000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
    19  0.200000000000000E+000  0.200000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
    20  0.400000000000000E+000  0.200000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
    21 -0.400000000000000E+000  0.400000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
    22 -0.200000000000000E+000  0.400000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
    23  0.000000000000000E+000  0.400000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
    24  0.200000000000000E+000  0.400000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
    25  0.400000000000000E+000  0.400000000000000E+000 -0.400000000000000E+000  0.800000000000000E-002
    26 -0.400000000000000E+000 -0.400000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    27 -0.200000000000000E+000 -0.400000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    28  0.000000000000000E+000 -0.400000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    29  0.200000000000000E+000 -0.400000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    30  0.400000000000000E+000 -0.400000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    31 -0.400000000000000E+000 -0.200000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    32 -0.200000000000000E+000 -0.200000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    33  0.000000000000000E+000 -0.200000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    34  0.200000000000000E+000 -0.200000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    35  0.400000000000000E+000 -0.200000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    36 -0.400000000000000E+000  0.000000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    37 -0.200000000000000E+000  0.000000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    38  0.000000000000000E+000  0.000000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    39  0.200000000000000E+000  0.000000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    40  0.400000000000000E+000  0.000000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    41 -0.400000000000000E+000  0.200000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    42 -0.200000000000000E+000  0.200000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    43  0.000000000000000E+000  0.200000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    44  0.200000000000000E+000  0.200000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    45  0.400000000000000E+000  0.200000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    46 -0.400000000000000E+000  0.400000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    47 -0.200000000000000E+000  0.400000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    48  0.000000000000000E+000  0.400000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    49  0.200000000000000E+000  0.400000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    50  0.400000000000000E+000  0.400000000000000E+000 -0.200000000000000E+000  0.800000000000000E-002
    51 -0.400000000000000E+000 -0.400000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    52 -0.200000000000000E+000 -0.400000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    53  0.000000000000000E+000 -0.400000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    54  0.200000000000000E+000 -0.400000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    55  0.400000000000000E+000 -0.400000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    56 -0.400000000000000E+000 -0.200000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    57 -0.200000000000000E+000 -0.200000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    58  0.000000000000000E+000 -0.200000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    59  0.200000000000000E+000 -0.200000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    60  0.400000000000000E+000 -0.200000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    61 -0.400000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    62 -0.200000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    63  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    64  0.200000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    65  0.400000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    66 -0.400000000000000E+000  0.200000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    67 -0.200000000000000E+000  0.200000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    68  0.000000000000000E+000  0.200000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    69  0.200000000000000E+000  0.200000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    70  0.400000000000000E+000  0.200000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    71 -0.400000000000000E+000  0.400000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    72 -0.200000000000000E+000  0.400000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    73  0.000000000000000E+000  0.400000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    74  0.200000000000000E+000  0.400000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    75  0.400000000000000E+000  0.400000000000000E+000  0.000000000000000E+000  0.800000000000000E-002
    76 -0.400000000000000E+000 -0.400000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    77 -0.200000000000000E+000 -0.400000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    78  0.000000000000000E+000 -0.400000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    79  0.200000000000000E+000 -0.400000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    80  0.400000000000000E+000 -0.400000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    81 -0.400000000000000E+000 -0.200000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    82 -0.200000000000000E+000 -0.200000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    83  0.000000000000000E+000 -0.200000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    84  0.200000000000000E+000 -0.200000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    85  0.400000000000000E+000 -0.200000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    86 -0.400000000000000E+000  0.000000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    87 -0.200000000000000E+000  0.000000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    88  0.000000000000000E+000  0.000000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    89  0.200000000000000E+000  0.000000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    90  0.400000000000000E+000  0.000000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    91 -0.400000000000000E+000  0.200000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    92 -0.200000000000000E+000  0.200000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    93  0.000000000000000E+000  0.200000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    94  0.200000000000000E+000  0.200000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    95  0.400000000000000E+000  0.200000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    96 -0.400000000000000E+000  0.400000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    97 -0.200000000000000E+000  0.400000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    98  0.000000000000000E+000  0.400000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
    99  0.200000000000000E+000  0.400000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
   100  0.400000000000000E+000  0.400000000000000E+000  0.200000000000000E+000  0.800000000000000E-002
   101 -0.400000000000000E+000 -0.400000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   102 -0.200000000000000E+000 -0.400000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   103  0.000000000000000E+000 -0.400000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   104  0.200000000000000E+000 -0.400000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   105  0.400000000000000E+000 -0.400000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   106 -0.400000000000000E+000 -0.200000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   107 -0.200000000000000E+000 -0.200000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   108  0.000000000000000E+000 -0.200000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   109  0.200000000000000E+000 -0.200000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   110  0.400000000000000E+000 -0.200000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   111 -0.400000000000000E+000  0.000000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   112 -0.200000000000000E+000  0.000000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   113  0.000000000000000E+000  0.000000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   114  0.200000000000000E+000  0.000000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   115  0.400000000000000E+000  0.000000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   116 -0.400000000000000E+000  0.200000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   117 -0.200000000000000E+000  0.200000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   118  0.000000000000000E+000  0.200000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   119  0.200000000000000E+000  0.200000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   120  0.400000000000000E+000  0.200000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   121 -0.400000000000000E+000  0.400000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   122 -0.200000000000000E+000  0.400000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   123  0.000000000000000E+000  0.400000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   124  0.200000000000000E+000  0.400000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
   125  0.400000000000000E+000  0.400000000000000E+000  0.400000000000000E+000  0.800000000000000E-002
# coefficients (2*pi/a [a.u.]) in kx, ky, kz
 0.201632412066466E+000 0.201632412066466E+000 0.201632412066466E+000
