# k-point distribution
# ik: k-point index
# kx,ky,kz: Reduced coordinate of k-points
# wk: Weight of k-point
# 1:ik[none] 2:kx[none] 3:ky[none] 4:kz[none] 5:wk[none]
     1 -0.375000000000000E+000 -0.375000000000000E+000 -0.437500000000000E+000  0.781250000000000E-002
     2 -0.125000000000000E+000 -0.375000000000000E+000 -0.437500000000000E+000  0.781250000000000E-002
     3  0.125000000000000E+000 -0.375000000000000E+000 -0.437500000000000E+000  0.781250000000000E-002
     4  0.375000000000000E+000 -0.375000000000000E+000 -0.437500000000000E+000  0.781250000000000E-002
     5 -0.375000000000000E+000 -0.125000000000000E+000 -0.437500000000000E+000  0.781250000000000E-002
     6 -0.125000000000000E+000 -0.125000000000000E+000 -0.437500000000000E+000  0.781250000000000E-002
     7  0.125000000000000E+000 -0.125000000000000E+000 -0.437500000000000E+000  0.781250000000000E-002
     8  0.375000000000000E+000 -0.125000000000000E+000 -0.437500000000000E+000  0.781250000000000E-002
     9 -0.375000000000000E+000  0.125000000000000E+000 -0.437500000000000E+000  0.781250000000000E-002
    10 -0.125000000000000E+000  0.125000000000000E+000 -0.437500000000000E+000  0.781250000000000E-002
    11  0.125000000000000E+000  0.125000000000000E+000 -0.437500000000000E+000  0.781250000000000E-002
    12  0.375000000000000E+000  0.125000000000000E+000 -0.437500000000000E+000  0.781250000000000E-002
    13 -0.375000000000000E+000  0.375000000000000E+000 -0.437500000000000E+000  0.781250000000000E-002
    14 -0.125000000000000E+000  0.375000000000000E+000 -0.437500000000000E+000  0.781250000000000E-002
    15  0.125000000000000E+000  0.375000000000000E+000 -0.437500000000000E+000  0.781250000000000E-002
    16  0.375000000000000E+000  0.375000000000000E+000 -0.437500000000000E+000  0.781250000000000E-002
    17 -0.375000000000000E+000 -0.375000000000000E+000 -0.312500000000000E+000  0.781250000000000E-002
    18 -0.125000000000000E+000 -0.375000000000000E+000 -0.312500000000000E+000  0.781250000000000E-002
    19  0.125000000000000E+000 -0.375000000000000E+000 -0.312500000000000E+000  0.781250000000000E-002
    20  0.375000000000000E+000 -0.375000000000000E+000 -0.312500000000000E+000  0.781250000000000E-002
    21 -0.375000000000000E+000 -0.125000000000000E+000 -0.312500000000000E+000  0.781250000000000E-002
    22 -0.125000000000000E+000 -0.125000000000000E+000 -0.312500000000000E+000  0.781250000000000E-002
    23  0.125000000000000E+000 -0.125000000000000E+000 -0.312500000000000E+000  0.781250000000000E-002
    24  0.375000000000000E+000 -0.125000000000000E+000 -0.312500000000000E+000  0.781250000000000E-002
    25 -0.375000000000000E+000  0.125000000000000E+000 -0.312500000000000E+000  0.781250000000000E-002
    26 -0.125000000000000E+000  0.125000000000000E+000 -0.312500000000000E+000  0.781250000000000E-002
    27  0.125000000000000E+000  0.125000000000000E+000 -0.312500000000000E+000  0.781250000000000E-002
    28  0.375000000000000E+000  0.125000000000000E+000 -0.312500000000000E+000  0.781250000000000E-002
    29 -0.375000000000000E+000  0.375000000000000E+000 -0.312500000000000E+000  0.781250000000000E-002
    30 -0.125000000000000E+000  0.375000000000000E+000 -0.312500000000000E+000  0.781250000000000E-002
    31  0.125000000000000E+000  0.375000000000000E+000 -0.312500000000000E+000  0.781250000000000E-002
    32  0.375000000000000E+000  0.375000000000000E+000 -0.312500000000000E+000  0.781250000000000E-002
    33 -0.375000000000000E+000 -0.375000000000000E+000 -0.187500000000000E+000  0.781250000000000E-002
    34 -0.125000000000000E+000 -0.375000000000000E+000 -0.187500000000000E+000  0.781250000000000E-002
