# Units: Energy [eV], DOS [1/eV]
energy,dos
-8.0,6.14431847316564e-274
-7.989995650282732,7.013051346131496e-271
-7.979991300565463,7.690747486983066e-268
-7.969986950848195,8.103232873236472e-265
-7.9599826011309265,8.203068212034205e-262
-7.9499782514136585,7.978524119166973e-259
-7.93997390169639,7.45584789193899e-256
-7.929969551979122,6.694216524640115e-253
-7.919965202261853,5.774717088499489e-250
-7.909960852544585,4.7861897415777955e-247
-7.899956502827316,3.8113370348794434e-244
-7.889952153110048,2.9160370951833272e-241
-7.8799478033927794,2.1435666028139594e-238
-7.8699434536755115,1.513941765657089e-235
-7.859939103958243,1.0273291502982953e-232
-7.849934754240975,6.697894585683605e-230
-7.839930404523706,4.1956114656294702e-227
-7.829926054806438,2.525111040438224e-224
-7.819921705089169,1.4601382001028969e-221
-7.809917355371901,8.112145178424971e-219
-7.799913005654632,4.33017789394616e-216
-7.7899086559373645,2.2207723421066086e-213
-7.779904306220096,1.094285446885087e-210
-7.769899956502828,5.180664807842034e-208
-7.759895606785559,2.356506583077564e-205
-7.749891257068291,1.0298645740514127e-202
-7.739886907351022,4.3243405324427855e-200
-7.729882557633754,1.7445682556430366e-197
-7.719878207916485,6.762143224023679e-195
-7.7098738581992174,2.5183094341532727e-192
-7.699869508481949,9.010775240991343e-190
-7.689865158764681,3.097730049025476e-187
-7.679860809047412,1.0231830512327628e-184
-7.669856459330144,3.247068685704982e-182
-7.659852109612875,9.900519752387076e-180
-7.649847759895607,2.900366688066658e-177
-7.639843410178338,8.163496888760443e-175
-7.62983906046107,2.20763860395682e-172
-7.619834710743802,5.735987155125914e-170
-7.609830361026534,1.4319136238788485e-167
-7.599826011309265,3.4344243374470204e-165
-7.589821661591997,7.914429000993034e-163
-7.579817311874728,1.752321332748156e-160
-7.56981296215746,3.72766143365337e-158
-7.559808612440191,7.618820688957516e-156
-7.549804262722923,1.4961242215636915e-153
-7.5397999130056546,2.822774580049439e-151
-7.529795563288387,5.116976461811044e-149
