# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,fid_signal,fid_exp_fit,normalized_fid
15.002,-0.0003148703145070777,8.853301382810687e-05,-2.146277884833317
15.012,-0.00031921840004626995,8.853301382678056e-05,-2.172670689957136
15.022,-0.0003228761953651884,8.85330138254734e-05,-2.194889723195184
15.032,-0.000325870915659178,8.853301382418511e-05,-2.2130999225398553
15.042,-0.00032823014455059555,8.853301382291542e-05,-2.2274683367001247
15.052,-0.0003299817535740348,8.853301382166406e-05,-2.2381636381936882
15.062,-0.00033115381995215987,8.853301382043078e-05,-2.245355626522874
15.072,-0.0003317745342057047,8.853301381921529e-05,-2.249214670427775
15.082,-0.0003318721012483233,8.853301381801737e-05,-2.2499111110228207
15.092,-0.00033147467370368567,8.853301381683673e-05,-2.2476148610609927
15.102,-0.0003306102764788408,8.853301381567315e-05,-2.242494951674839
15.112,-0.000329306728520094,8.853301381452636e-05,-2.2347190622039217
15.122,-0.00032759159116081704,8.853301381339613e-05,-2.224453211901321
15.132,-0.0003254920794111193,8.853301381228222e-05,-2.2118612271459672
15.142,-0.0003230349949485953,8.85330138111844e-05,-2.1971043403843353
15.152,-0.0003202466880977866,8.853301381010242e-05,-2.180340965255136
15.162,-0.0003171529746642802,8.853301380903607e-05,-2.1617261979238642
15.172,-0.0003137790815206074,8.853301380798512e-05,-2.1414114929992634
15.182,-0.000310149599457662,8.853301380694933e-05,-2.1195443836462426
15.192,-0.00030628842470336465,8.853301380592852e-05,-2.0962681326429498
15.202,-0.0003022187157283779,8.853301380492243e-05,-2.071721476102141
15.212,-0.00029796283716833523,8.853301380393087e-05,-2.046038289164449
15.222,-0.0002935423353138859,8.853301380295363e-05,-2.019347442879462
15.232,-0.0002889778884045879,8.85330138019905e-05,-1.9917725078652486
15.242,-0.00028428926315609713,8.853301380104127e-05,-1.9634314957772134
15.252,-0.00027949531436009643,8.853301380010575e-05,-1.93443686156126
15.262,-0.00027461393596747973,8.853301379918373e-05,-1.904895210862076
15.272,-0.0002696620413860591,8.853301379827504e-05,-1.87490718480619
15.282,-0.0002646555804027624,8.853301379737946e-05,-1.844567566514098
15.292,-0.0002596094992619925,8.853301379649681e-05,-1.8139650420391438
15.302,-0.0002545377244034376,8.853301379562691e-05,-1.7831821047020926
15.312,-0.0002494531935833705,8.853301379476957e-05,-1.7522952466411998
15.322,-0.0002443678448448294,8.853301379392461e-05,-1.7213748940429325
15.332,-0.00023929262050947976,8.853301379309185e-05,-1.6904854333936963
15.342,-0.0002342374881676409,8.85330137922711e-05,-1.6596853406019483
15.352,-0.00022921144080597652,8.853301379146221e-05,-1.6290271829814968
15.362,-0.0002242225282921708,8.853301379066501e-05,-1.5985578114381203
15.372,-0.0002192778700082043,8.85330137898793e-05,-1.5683184381555229
15.382,-0.00021438367269014343,8.853301378910495e-05,-1.538344745604821
15.392,-0.00020954527754464398,8.853301378834178e-05,-1.5086671730537395
15.402,-0.00020476718247099983,8.853301378758963e-05,-1.4793110519459094
15.412,-0.0002000530620018067,8.853301378684833e-05,-1.4502967276500411
15.422,-0.00019540580711706546,8.853301378611774e-05,-1.4216398016796918
15.432,-0.00019082756778682046,8.85330137853977e-05,-1.3933513904370105
15.442,-0.0001863197869372417,8.853301378468805e-05,-1.3654383323583459
15.452,-0.00018188323136355349,8.853301378398865e-05,-1.3379033765589443
15.462,-0.00017751803798370732,8.853301378329935e-05,-1.3107454646326482
15.472,-0.00017322375168544264,8.853301378262e-05,-1.283959961873863
15.482,-0.0001689993485420628,8.853301378195046e-05,-1.2575388000760135
15.492,-0.00016484330056858068,8.853301378129059e-05,-1.231470872838397
15.502,-0.0001607536117488112,8.853301378064024e-05,-1.205742256742725
15.512,-0.00015672783357561292,8.853301377999929e-05,-1.1803363084856195
15.522,-0.00015276312822771907,8.85330137793676e-05,-1.1552340517382536
15.532,-0.00014885629015101704,8.853301377874502e-05,-1.130414311954537
15.542,-0.00014500377995206495,8.853301377813143e-05,-1.1058539263198313
15.552,-0.000141201791354653,8.85330137775267e-05,-1.0815281549600861
15.562,-0.00013744626472145726,8.85330137769307e-05,-1.0574107679590181
15.572,-0.00013373291291010698,8.853301377634331e-05,-1.0334742077334342
15.582,-0.0001300572556045343,8.85330137757644e-05,-1.0096898035500244
15.592,-0.00012641465239839343,8.853301377519384e-05,-0.9860279783414594
15.602,-0.0001228003595971454,8.853301377463153e-05,-0.9624585999377033
15.612,-0.0001192095423250135,8.853301377407734e-05,-0.9389510617064318
