folder,tau_x_drude,tau_z_coh,tau_z_norm_coh,tau_autocorr_iters_coh,tau_autocorr_1_e,tau_autocorr_1_e_3,spectrum_width,normalized_fid_spectrum_width
c333_s0.025_r18_k16_a1_i804_t9_p4d10_2d11,2.84747754966776,2.7638242094815677,3.6121084903902037,4.1534769920852215,5.089999999999998,4.403333333333333,1.328808863968825,1.313107777420352
c333_s0.050_r18_k16_a1_i804_t9_p4d10_2d11,5.747066114103761,2.2992786973898514,3.4678582425295126,4.222329842694158,1.8940000000000001,4.156,1.5162210241320206,1.3070157221610301
c333_s0.075_r18_k16_a1_i804_t9_p4d10_2d11,3.2091242484443114,2.0536535192444108,3.280763553021397,3.7832973764162707,1.4079999999999995,2.2100000000000004,1.6063354902387978,1.8161225918264632
c333_s0.100_r18_k16_a1_i804_t9_p4d10_2d11,1.9128525233105467,1.839652157176606,2.592948565242062,3.920058865323787,1.4779999999999998,2.876666666666667,1.8900647549662057,1.9715181481319983
c333_s0.125_r18_k16_a1_i804_t9_p4d10_2d11,1.3030089818556565,1.178011630956267,2.204018758050111,6.279762100698854,0.968,4.714666666666667,2.1856254041828405,1.8230316553361292
c333_s0.150_r18_k16_a1_i804_t9_p4d10_2d11,0.7871481671924114,1.7338927456267539,1.9037646993423143,4.702741693233318,3.700000000000001,4.754,1.844102396085596,1.7073918464693436
c333_s0.175_r18_k16_a1_i804_t9_p4d10_2d11,0.7507624755962498,2.0793729421876868,2.5819818874818994,5.415429989625225,1.5020000000000007,4.704,1.562937535303368,1.6935392920201975
c333_s0.200_r18_k16_a1_i804_t9_p4d10_2d11,0.6875678774060446,2.227409807854944,2.6161809270774095,5.529857735970717,3.694000000000001,4.948666666666666,1.4653178763446875,1.3848983920971782
