# Units: Energy [eV], DOS [1/eV]
energy,dos
-8.0,8.203068169992949e-262
-7.989995650282732,7.978524073064787e-259
-7.979991300565463,7.455847843365989e-256
-7.969986950848195,6.694216475470603e-253
-7.9599826011309265,5.774717040677855e-250
-7.9499782514136585,4.786189696890874e-247
-7.93997390169639,3.8113369947591674e-244
-7.929969551979122,2.9160370605754584e-241
-7.919965202261853,2.1435665741317103e-238
-7.909960852544585,1.513941742817992e-235
-7.899956502827316,1.0273291328251131e-232
-7.889952153110048,6.697894457245944e-230
-7.8799478033927794,4.195611374922629e-227
-7.8699434536755115,2.5251109788900836e-224
-7.859939103958243,1.4601381599777144e-221
-7.849934754240975,8.112144927093857e-219
-7.839930404523706,4.330177742693646e-216
-7.829926054806438,2.2207722546513344e-213
-7.819921705089169,1.0942853983007336e-210
-7.809917355371901,5.180664548523348e-208
-7.799913005654632,2.356506450093956e-205
-7.7899086559373645,1.0298645085290918e-202
-7.779904306220096,4.3243402222674677e-200
-7.769899956502828,1.7445681145674227e-197
-7.759895606785559,6.7621426075375e-195
-7.749891257068291,2.5183091753192482e-192
-7.739886907351022,9.010774196882088e-190
-7.729882557633754,3.0977296443592006e-187
-7.719878207916485,1.02318290054621e-184
-7.7098738581992174,3.2470681465938137e-182
-7.699869508481949,9.900517899246234e-180
-7.689865158764681,2.9003660760479277e-177
-7.679860809047412,8.163494946769931e-175
-7.669856459330144,2.2076380119107395e-172
-7.659852109612875,5.735985420963202e-170
-7.649847759895607,1.431913135844927e-167
-7.639843410178338,3.4344230178664613e-165
-7.62983906046107,7.914425572940726e-163
-7.619834710743802,1.752320477121124e-160
-7.609830361026534,3.727659381796947e-158
-7.599826011309265,7.618815961422672e-156
-7.589821661591997,1.4961231750433183e-153
-7.579817311874728,2.8227723542517363e-151
-7.56981296215746,5.1169719135161455e-149
-7.559808612440191,8.912076820180144e-147
-7.549804262722923,1.4913293353897714e-144
-7.5397999130056546,2.397711883413888e-142
-7.529795563288387,3.7038148968281324e-140
-7.519791213571118,5.497059628349457e-138
-7.50978686385385,7.838637367437442e-136
-7.499782514136581,1.0739392418633223e-133
-7.489778164419313,1.4136696331055202e-131
-7.479773814702044,1.7879085317780824e-129
-7.469769464984776,2.1725605673977764e-127
-7.4597651152675075,2.536458732493815e-125
-7.44976076555024,2.8452020465524613e-123
