# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_both_y,Jm_both_x,En_both_z,En_both_x
1.262,0.0,0.0100730731661816,6.33974563124253e-06,5.29845509496327e-06,-0.0010162055284533,-0.0,0.0006124609471870689
1.282,0.0,0.0103570924129246,6.51823153472727e-06,5.53861591010033e-06,-0.0010231502323879,-0.0,0.0006458696391653435
1.302,0.0,0.0106436136117659,6.69418853159113e-06,5.74780992470023e-06,-0.00103056293769038,-0.0,0.0006804528783974716
1.322,0.0,0.0109325573312532,6.86739935369946e-06,5.92450239622974e-06,-0.00103847243199381,-0.0,0.0007162487276321846
1.342,0.0,0.0112238434109562,7.03767026461729e-06,6.06745520019681e-06,-0.00104689858745513,-0.0,0.0007532973541297585
1.362,0.0,0.011517390981342,7.2047010193435805e-06,6.17563158578753e-06,-0.0010558523685050198,-0.0,0.0007916408027336714
1.382,0.0,0.0118131184837591,7.3683311762338106e-06,6.24862396672017e-06,-0.00106533605212686,-0.0,0.0008313227339885108
1.402,0.0,0.0121109436907088,7.52826635047556e-06,6.28618045938119e-06,-0.00107534439949313,-0.0,0.0008723881496301842
1.422,0.0,0.0124107837261978,7.68419900167672e-06,6.288401553115261e-06,-0.00108586439508119,-0.0,0.0009148830977454602
1.442,0.0,0.0127125550862675,7.83582721922651e-06,6.2556562981999495e-06,-0.00109687510959191,-0.0,0.000958854325963807
1.462,0.0,0.0130161736596851,7.98292171015081e-06,6.18887555560987e-06,-0.00110834830908394,-0.0,0.0010043489031438576
1.482,0.0,0.0133215547488149,8.12525616895577e-06,6.0892686184683505e-06,-0.0011202499993497302,-0.0,0.0010514138550576275
1.502,0.0,0.0136286130906062,8.26259217986754e-06,5.9582214419300694e-06,-0.00113254066112316,-0.0,0.0011000958024870858
1.522,0.0,0.0139372628777111,8.394765217330181e-06,5.79748392240431e-06,-0.00114517540173571,-0.0,0.0011504405745936233
1.542,0.0,0.0142474177797803,8.52162310714391e-06,5.60911473332651e-06,-0.00115810439180124,-0.0,0.0012024928017792872
1.562,0.0,0.014558990964842,8.64316681322695e-06,5.39547978851469e-06,-0.00117127444556389,-0.0,0.0012562955320893168
1.582,0.0,0.0148718951208822,8.75933485661661e-06,5.1593071997934796e-06,-0.0011846293463399,-0.0,0.001311889874776744
1.602,0.0,0.0151860424774314,8.87006617126476e-06,4.90350459343362e-06,-0.00119811000041778,-0.0,0.0013693146211293246
1.622,0.0,0.0155013448273799,8.97526718028434e-06,4.63127726137932e-06,-0.00121165572644747,-0.0,0.0014286058946113402
1.642,0.0,0.0158177135488568,9.07506455993257e-06,4.34598922914749e-06,-0.00122520505187703,-0.0,0.001489796837532003
1.662,0.0,0.0161350596271668,9.169572639704379e-06,4.05134520987336e-06,-0.00123869568245138,-0.0,0.0015529173116071433
1.682,0.0,0.0164532936769343,9.25890198591218e-06,3.7510584562822602e-06,-0.00125206470817809,-0.0,0.0016179935858407091
1.702,0.0,0.0167723259642267,9.34316071582318e-06,3.4490935059499604e-06,-0.0012652498673839199,-0.0,0.0016850480675608028
1.722,0.0,0.0170920664288699,9.42251703846087e-06,3.14948430111803e-06,-0.00127819085816919,-0.0,0.001754099101949957
1.742,0.0,0.0174124247067571,9.49728175404158e-06,2.8564191456943e-06,-0.00129082922621936,-0.0,0.0018251608159479793
1.762,0.0,0.0177333101523038,9.567654541579911e-06,2.5738459256272498e-06,-0.0013031083353362,-0.0,0.001898242951681659
1.782,0.0,0.018054631860912,9.63405101059011e-06,2.3057206424865102e-06,-0.00131497409462582,-0.0,0.0019733507400272994
1.802,0.0,0.0183762986915892,9.69678140399111e-06,2.0558752133204498e-06,-0.00132637602768929,-0.0,0.002050484833163733
1.822,0.0,0.0186982192895272,9.756202747465331e-06,1.82794032250427e-06,-0.00133726783206381,-0.0,0.0021296413122022916
1.842,0.0,0.0190203021088354,9.81264722534053e-06,1.62561157465851e-06,-0.00134760767693082,-0.0,0.00221081172920206
1.862,0.0,0.0193424554351971,9.86648501490004e-06,1.45220674983239e-06,-0.0013573584131556,-0.0,0.0022939831993877354
1.882,0.0,0.0196645874087381,9.9181119744738e-06,1.31077721884138e-06,-0.0013664876017843199,-0.0,0.0023791385137392445
1.902,0.0,0.0199866060467721,9.967839116219701e-06,1.20404216691547e-06,-0.00137496806078095,-0.0,0.0024662563020816457
1.922,0.0,0.0203084192667312,1.00161587133536e-05,1.13465012019107e-06,-0.00138277809972615,-0.0,0.002555311252963736
1.942,0.0,0.0206299349089205,1.006355853225e-05,1.1049540243861e-06,-0.00138990084674815,-0.0,0.0026462743437681985
1.962,0.0,0.0209510607595643,1.01104077489579e-05,1.11684196210657e-06,-0.00139632449122482,-0.0,0.0027391130785648595
1.982,0.0,0.0212717045736204,1.01571706426225e-05,1.1719169713340099e-06,-0.0014020427343014198,-0.0,0.0028337917887886308
2.002,0.0,0.0215917740977577,1.02043860466796e-05,1.27144148929085e-06,-0.00140705463552748,-0.0,0.00293027197074737
2.022,0.0,0.0219111770932562,1.0252635746112598e-05,1.41630545142586e-06,-0.0014113639715417699,-0.0,0.0030285126244278386
2.042,0.0,0.0222298213589887,1.0302408804190598e-05,1.60704078186404e-06,-0.00141497889562784,-0.0,0.0031284705763811324
2.062,0.0,0.0225476147543142,1.0354267241272099e-05,1.8437811867814099e-06,-0.00141791216562559,-0.0,0.003230100836040642
2.082,0.0,0.0228644652219929,1.0408572834872301e-05,2.12609249274688e-06,-0.00142018094506764,-0.0,0.003333356971081795
2.102,0.0,0.0231802808110971,1.04657590414488e-05,2.45311136891488e-06,-0.00142180710356143,-0.0,0.00343819151556015
2.122,0.0,0.0234949696999236,1.05262190556218e-05,2.82358258836196e-06,-0.0014228164333349,-0.0,0.003544556389779613
2.142,0.0,0.0238084402187741,1.0590321167176699e-05,3.2357499025975497e-06,-0.00142323750737424,-0.0,0.003652403252119942
2.162,0.0,0.0241206008728098,1.0658180754106e-05,3.6875000420726502e-06,-0.00142310169244335,-0.0,0.0037616838326285816
2.182,0.0,0.0244313603648162,1.0729844743624001e-05,4.1762346659264395e-06,-0.0014224432620563699,-0.0,0.003872350294160858
