# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_both_y,Jm_both_x,En_both_z,En_both_x
0.002,0.0,3.73336887697226e-07,-3.60418975472485e-11,-2.59964055231583e-11,-2.5873040743322e-09,0.0,0.0
0.022,0.0,1.05992721524563e-05,-4.08933072153414e-11,-2.09891195635512e-11,-3.62269090933023e-07,0.0,3.6830281963816265e-12
0.042,0.0,2.61634792217965e-05,-1.59269845520302e-10,1.69706015920737e-10,-1.52227023446035e-06,0.0,6.406811692581645e-11
0.062,0.0,4.7061743362833896e-05,-4.4736423658620603e-10,6.37277820265e-10,-3.74308949791277e-06,0.0,3.9216003225683636e-10
0.082,0.0,7.32884003671915e-05,-1.00425884774722e-09,1.58476422969685e-09,-7.25664096208244e-06,0.0,1.5041390419153806e-09
0.102,0.0,0.000104836337950704,-2.04821223088428e-09,3.2998185790638104e-09,-1.2254442435317402e-05,0.0,4.399308371846001e-09
0.122,0.0,0.00014169699751098602,-3.83455342322931e-09,6.1284378853057495e-09,-1.88861034781627e-05,0.0,1.0757307922245394e-08
0.142,0.0,0.00018386037624308602,-6.551249492668929e-09,1.03666417025338e-08,-2.72658367240622e-05,0.0,2.314602654272763e-08
0.162,0.0,0.000231315029611945,-1.028502100776e-08,1.6072098931836e-08,-3.7472673695463703e-05,0.0,4.523198642630213e-08
0.182,0.0,0.00028404807418118,-1.50425264719583e-08,2.31481730233225e-08,-4.9555193226341e-05,0.0,8.198528461759536e-08
0.202,0.0,0.00034204519079754304,-2.0743605616988603e-08,3.13679021678136e-08,-6.35373488173479e-05,0.0,1.398767290311594e-07
0.222,0.0,0.000405290628131675,-2.7168538544577097e-08,4.02547505092632e-08,-7.94170100322019e-05,0.0,2.2706014479029425e-07
0.242,0.0,0.00047376720657083,-3.39719661700655e-08,4.9065512535706504e-08,-9.716567873915641e-05,0.0,3.535305701366909e-07
0.262,0.0,0.0005474563224668469,-4.0716266596236495e-08,5.6882984617381797e-08,-0.000116730954259607,0.0,5.312551747654074e-07
0.282,0.0,0.0006263379527344231,-4.67995663929755e-08,6.254945114177789e-08,-0.000138036913624232,0.0,7.7427188442094e-07
0.302,0.0,0.000710390659802945,-5.14915497952204e-08,6.467230652392861e-08,-0.000160985526168186,0.0,1.0987499796536705e-06
0.322,0.0,0.000799591596915108,-5.4086310975719405e-08,6.171576823342251e-08,-0.000185459942833544,0.0,1.5230126717235766e-06
0.342,0.0,0.000893916513776111,-5.37879773755666e-08,5.21353497325313e-08,-0.00021132756478143798,0.0,2.0675223388227837e-06
0.362,0.0,0.000993339762549348,-4.9675183763131503e-08,3.422241863086e-08,-0.000238442469606469,0.0,2.754827942752856e-06
0.382,0.0,0.00109783430419902,-4.08851182919738e-08,6.21880086156224e-09,-0.000266647190197183,0.0,3.609473286187615e-06
0.402,0.0,0.00120737171517243,-2.6620886221953503e-08,-3.35120055039568e-08,-0.00029577669447627204,0.0,4.657869785070502e-06
0.422,0.0,0.0013219221944320801,-6.03589276755526e-09,-8.658270427079441e-08,-0.000325662982868443,0.0,5.928145270565898e-06
0.442,0.0,0.00144145457082039,2.1674553945581697e-08,-1.54516110070925e-07,-0.000356136152504458,-0.0,7.449967651574399e-06
0.462,0.0,0.00156593631077203,5.7219537130789504e-08,-2.3872306743920497e-07,-0.000387025941348487,-0.0,9.254340799216795e-06
0.482,0.0,0.0016953335263543401,1.01275000093718e-07,-3.40536641087657e-07,-0.000418164270197522,-0.0,1.1373381745128067e-05
0.502,0.0,0.00182961098365065,1.54525014702719e-07,-4.61170761848707e-07,-0.00044938717114216103,-0.0,1.3840084871370168e-05
0.522,0.0,0.00196873211146871,2.1759539923371897e-07,-6.016762232930451e-07,-0.000480536032547896,-0.0,1.6688074959703087e-05
0.542,0.0,0.00211265901039054,2.90938261436022e-07,-7.62861156776908e-07,-0.0005114584646244481,-0.0,1.995135163121632e-05
0.562,0.0,0.00226135246214289,3.74915651175749e-07,-9.453625570102741e-07,-0.000542008013399985,-0.0,2.3664023622239526e-05
0.582,0.0,0.00241477193928998,4.6983930963941004e-07,-1.14953373833086e-06,-0.000572044672632238,-0.0,2.7860033273085653e-05
0.602,0.0,0.00257287561526484,5.75897675758426e-07,-1.37548587949672e-06,-0.000601436521918963,-0.0,3.257288334921392e-05
0.622,0.0,0.0027356203747144698,6.930945428373999e-07,-1.62306511951872e-06,-0.000630061654178222,-0.0,3.7835376739951646e-05
0.642,0.0,0.00290296182415331,8.21306338620537e-07,-1.89185287013681e-06,-0.000657809128546844,-0.0,4.3679374045995525e-05
