# Concentration of excited electrons in the conduction band [1/Å^3] 
folder,both_n_ex,pump_n_ex,probe_n_ex
c333_s0.025_r18_k16_a1_i804_t9_p4d10_1d12,0.0010023725226697105,0.0009930739220257838,1.109926470530843e-06
c333_s0.050_r18_k16_a1_i804_t9_p4d10_1d12,0.0011984951260319205,0.0011879441216535145,7.785774691451912e-06
c333_s0.075_r18_k16_a1_i804_t9_p4d10_1d12,0.0015577410343680228,0.0015305005464732074,3.234417189673743e-05
c333_s0.100_r18_k16_a1_i804_t9_p4d10_1d12,0.0023305624755508535,0.0022537096923284775,0.0001024700659935529
c333_s0.125_r18_k16_a1_i804_t9_p4d10_1d12,0.0033722475509357086,0.003174482366217612,0.0003149594269766057
c333_s0.150_r18_k16_a1_i804_t9_p4d10_1d12,0.004776381471423675,0.004294727577320454,0.0008383401459167242
c333_s0.175_r18_k16_a1_i804_t9_p4d10_1d12,0.007801962539233953,0.00654615663403374,0.002608575318172576
c333_s0.200_r18_k16_a1_i804_t9_p4d10_1d12,0.008927126386098397,0.007516660012339038,0.0030678280912064
