# Units: Energy [eV], Spectral intensity [normalized] 
energies,F_fid,F_fid_normalized
0.0,0.04267979072275304,0.0062899011264763
0.04767340283573486,0.08767021962479656,0.013996647486503668
0.09534680567146972,0.14454434559077955,0.02642068571436328
0.1430202085072046,0.20359829598614862,0.044412619929546024
0.19069361134293944,0.258398315384679,0.06742482186267622
0.2383670141786743,0.30662098282951733,0.09236049116527453
0.2860404170144092,0.3475178132949764,0.11488351221303071
0.33371381985014403,0.3803452429153394,0.13250121425875488
0.3813872226858789,0.4044088247918521,0.1460405786413676
0.4290606255216137,0.4196473602319115,0.15749125799946226
0.4767340283573486,0.4268229303507835,0.1661899261595664
0.5244074311930835,0.4271378134268167,0.16796892380573245
0.5720808340288184,0.4217399625118134,0.15958598004494007
0.6197542368645532,0.41160216136150785,0.14470192141933746
0.6674276397002881,0.39774323866291156,0.13380505689042554
0.7151010425360229,0.3813787262852672,0.1352311550034168
0.7627744453717578,0.36381143224643264,0.14623071848913466
0.8104478482074927,0.346354062571916,0.1557904448352566
0.8581212510432275,0.3305727734639597,0.15654821010641287
0.9057946538789624,0.31854942255714064,0.1514671608279764
0.9534680567146973,0.3125209760443193,0.1483205995623225
1.001141459550432,0.3138659687279603,0.15053467666831422
1.048814862386167,0.3223327398180593,0.1569578046746017
1.096488265221902,0.3363065328001873,0.16948640882278335
1.1441616680576367,0.35375687274053313,0.194172804073995
1.1918350708933716,0.37283992208178557,0.23046348931008945
1.2395084737291064,0.3918386701397272,0.26298636476891446
1.2871818765648413,0.4091109847405283,0.2703590423017962
1.3348552794005761,0.4235676565138563,0.24634063702789685
1.382528682236311,0.43519450236012863,0.2134887262445558
1.4302020850720458,0.4447641291178745,0.208674147184426
1.477875487907781,0.4528176640020846,0.24560206568675794
1.5255488907435155,0.45911324319941343,0.29748395254374216
1.5732222935792504,0.4634494634474697,0.32539778476607784
1.6208956964149854,0.4671147101702745,0.31766440753778763
1.6685690992507203,0.47311675957760146,0.29720668520094873
1.716242502086455,0.48444011488191735,0.293521474268235
1.76391590492219,0.5019365957734766,0.30956203213889105
1.8115893077579248,0.5242335806687936,0.3204097776791383
1.8592627105936597,0.5499404045196069,0.306413230745298
1.9069361134293945,0.5797668174313885,0.2813658005212145
1.9546095162651294,0.6161881021808273,0.28028276284087045
2.002282919100864,0.6610177495557371,0.3200607015763012
2.049956321936599,0.7134536977935308,0.38459551533661074
2.097629724772334,0.7703616026954859,0.4542713066663144
2.1453031276080687,0.8279484836533616,0.5354058543069793
2.192976530443804,0.8827668553587859,0.6480234458248099
2.2406499332795384,0.9313279010280211,0.7902487115841264
2.2883233361152735,0.9695180485001399,0.9246204551606539
2.335996738951008,0.9932161641075944,1.0
2.383670141786743,1.0,0.9846441127142063
2.4313435446224783,0.9904734389474378,0.8836973510113916
2.479016947458213,0.9680008708341052,0.7326918775802614
2.5266903502939475,0.9371358076703534,0.5735597568893002
2.5743637531296826,0.9021431411236078,0.43231474685147414
2.622037155965417,0.8665647111832003,0.32103498607225955
2.6697105588011523,0.8333497469276678,0.2581504887334547
2.7173839616368873,0.8044749291677458,0.2655197387279412
2.765057364472622,0.7800717531132666,0.3323806923804847
2.812730767308357,0.7584164205371045,0.40379049987153004
2.8604041701440917,0.7376204933385266,0.4270605683728373
2.9080775729798263,0.7177028300443973,0.4058913708969045
