# Real time calculation: 
# Ac_ext: External vector potential field
# E_ext: External electric field
# Ac_tot: Total vector potential field
# E_tot: Total electric field
# Jm: Matter current density (electrons)
# 1:Time[fs] 2:Ac_ext_x[fs*V/Angstrom] 3:Ac_ext_y[fs*V/Angstrom] 4:Ac_ext_z[fs*V/Angstrom] 5:E_ext_x[V/Angstrom] 6:E_ext_y[V/Angstrom] 7:E_ext_z[V/Angstrom] 8:Ac_tot_x[fs*V/Angstrom] 9:Ac_tot_y[fs*V/Angstrom] 10:Ac_tot_z[fs*V/Angstrom] 11:E_tot_x[V/Angstrom] 12:E_tot_y[V/Angstrom] 13:E_tot_z[V/Angstrom]  14:Jm_x[1/fs*Angstrom^2] 15:Jm_y[1/fs*Angstrom^2] 16:Jm_z[1/fs*Angstrom^2] 
      5.87200000 -0.627702398557023E-002  0.000000000000000E+000  0.265741050447575E-001  0.165069192252032E-003  0.000000000000000E+000  0.197459321353737E+000 -0.627702398557023E-002  0.000000000000000E+000  0.265741050447575E-001  0.165069192252032E-003  0.000000000000000E+000  0.197459321353737E+000   0.281323083582466E-002 -0.357070573637978E-003 -0.537981094725661E-001 
      5.87400000 -0.627734901871049E-002  0.000000000000000E+000  0.261782686788418E-001  0.162516575916685E-003  0.000000000000000E+000  0.197918190005654E+000 -0.627734901871049E-002  0.000000000000000E+000  0.261782686788418E-001  0.162516575916685E-003  0.000000000000000E+000  0.197918190005654E+000   0.282753767207913E-002 -0.359365133881905E-003 -0.535468693171826E-001 
      5.87600000 -0.627766894600028E-002  0.000000000000000E+000  0.257815279835672E-001  0.159963650588964E-003  0.000000000000000E+000  0.198370354701186E+000 -0.627766894600028E-002  0.000000000000000E+000  0.257815279835672E-001  0.159963650588964E-003  0.000000000000000E+000  0.198370354701186E+000   0.284174842857266E-002 -0.361653847057467E-003 -0.532929001628059E-001 
      5.87800000 -0.627798376683130E-002  0.000000000000000E+000  0.253838964102012E-001  0.157410421118881E-003  0.000000000000000E+000  0.198815793762773E+000 -0.627798376683130E-002  0.000000000000000E+000  0.253838964102012E-001  0.157410421118881E-003  0.000000000000000E+000  0.198815793762773E+000   0.285586173238206E-002 -0.363936596320425E-003 -0.530362183169574E-001 
      5.88000000 -0.627829348060499E-002  0.000000000000000E+000  0.249853874527299E-001  0.154856892359148E-003  0.000000000000000E+000  0.199254485831014E+000 -0.627829348060499E-002  0.000000000000000E+000  0.249853874527299E-001  0.154856892359148E-003  0.000000000000000E+000  0.199254485831014E+000   0.286987620557750E-002 -0.366213263495190E-003 -0.527768403828950E-001 
      5.88200000 -0.627859808673247E-002  0.000000000000000E+000  0.245860146472208E-001  0.152303069161934E-003  0.000000000000000E+000  0.199686409865312E+000 -0.627859808673247E-002  0.000000000000000E+000  0.245860146472208E-001  0.152303069161934E-003  0.000000000000000E+000  0.199686409865312E+000   0.288379046526889E-002 -0.368483729221401E-003 -0.525147832573896E-001 
      5.88400000 -0.627889758463456E-002  0.000000000000000E+000  0.241857915711813E-001  0.149748956377791E-003  0.000000000000000E+000  0.200111545145674E+000 -0.627889758463456E-002  0.000000000000000E+000  0.241857915711813E-001  0.149748956377791E-003  0.000000000000000E+000  0.200111545145674E+000   0.289760312384563E-002 -0.370747873217705E-003 -0.522500641286664E-001 
      5.88600000 -0.627919197374181E-002  0.000000000000000E+000  0.237847318429155E-001  0.147194558864286E-003  0.000000000000000E+000  0.200529871273681E+000 -0.627919197374181E-002  0.000000000000000E+000  0.237847318429155E-001  0.147194558864286E-003  0.000000000000000E+000  0.200529871273681E+000   0.291131278943351E-002 -0.373005574604960E-003 -0.519827004747189E-001 
      5.88800000 -0.627948125349445E-002  0.000000000000000E+000  0.233828491208794E-001  0.144639881472509E-003  0.000000000000000E+000  0.200941368173517E+000 -0.627948125349445E-002  0.000000000000000E+000  0.233828491208794E-001  0.144639881472509E-003  0.000000000000000E+000  0.200941368173517E+000   0.292491806651229E-002 -0.375256712168279E-003 -0.517127100620601E-001 
      5.89000000 -0.627976542334245E-002  0.000000000000000E+000  0.229801571030318E-001  0.142084929060025E-003  0.000000000000000E+000  0.201346016093672E+000 -0.627976542334245E-002  0.000000000000000E+000  0.229801571030318E-001  0.142084929060025E-003  0.000000000000000E+000  0.201346016093672E+000   0.293841755657449E-002 -0.377501164423070E-003 -0.514401109448153E-001 
      5.89200000 -0.628004448274547E-002  0.000000000000000E+000  0.225766695261855E-001  0.139529706480624E-003  0.000000000000000E+000  0.201743795607177E+000 -0.628004448274547E-002  0.000000000000000E+000  0.225766695261855E-001  0.139529706480624E-003  0.000000000000000E+000  0.201743795607177E+000   0.295180985869415E-002 -0.379738809399029E-003 -0.511649214639459E-001 
      5.89400000 -0.628031843117290E-002  0.000000000000000E+000  0.221724001653542E-001  0.136974218590791E-003  0.000000000000000E+000  0.202134687613587E+000 -0.628031843117290E-002  0.000000000000000E+000  0.221724001653542E-001  0.136974218590791E-003  0.000000000000000E+000  0.202134687613587E+000   0.296509356991533E-002 -0.381969524153870E-003 -0.508871602463880E-001 
