t,j,j_drude,delta
0.0,0.00245482166800793,0.0022349066533867254,0.00021991501462120464
0.0019999999999997797,0.00247030444756131,0.002237229235230981,0.00023307521233032922
0.0039999999999995595,0.0024856519720030503,0.0022395533791043933,0.00024609859289865697
0.006000000000000227,0.00250086211202364,0.0022418790786143464,0.0002589830334092935
0.008000000000000007,0.0025159327637442,0.002244206327364345,0.0002717264363798549
0.009999999999999787,0.0025308618491493495,0.0022465351189540207,0.0002843267301953288
0.011999999999999567,0.0025456473165153103,0.0022488654469791183,0.00029678186953619205
0.014000000000000234,0.0025602871408318103,0.002251197305031527,0.0003090898358002834
0.016000000000000014,0.0025747793242177396,0.0022535306866992566,0.000321248637518483
0.017999999999999794,0.0025891218963319702,0.0022558655855664522,0.000333256310765518
0.019999999999999574,0.0026033129147807303,0.0022582019952133935,0.0003451109195673368
0.02200000000000024,0.0026173504655233994,0.0022605399092164987,0.00035681055630690066
0.02400000000000002,0.0026312326632771,0.002262879321148333,0.00036835334212876724
0.0259999999999998,0.00264495765191895,0.0022652202245775944,0.00037973742734135566
0.02799999999999958,0.00265852360488373,0.0022675626130691353,0.0003909609918145945
0.03000000000000025,0.00267192872555451,0.002269906480183956,0.0004020222453705543
0.03200000000000003,0.0026851712476435798,0.0022722518194792027,0.0004129194281643771
0.03399999999999981,0.00269824943556286,0.0022745986245081844,0.0004236508110546755
0.03599999999999959,0.00271116158478413,0.0022769468888203612,0.00043421469596376886
0.038000000000000256,0.00272390602219049,0.002279296605961356,0.00044460941622913395
0.040000000000000036,0.00273648110642095,0.0022816477694729475,0.00045483333694800246
0.041999999999999815,0.002748885228209,0.00228400037289309,0.0004648848553159097
0.043999999999999595,0.00276111681071556,0.0022863544097558954,0.00047476240095966444
0.04600000000000026,0.00277317430985468,0.00228870987359165,0.00048446443626303003
0.04800000000000004,0.00278505621461052,0.0022910667579268155,0.0004939894566837045
0.04999999999999982,0.00279676104734412,0.0022934250562840247,0.0005033359910600953
0.0519999999999996,0.0028082873640898204,0.002295784762182095,0.0005125026019077252
0.05400000000000027,0.0028196337548427805,0.0022981458691360215,0.000521487885706759
0.05600000000000005,0.0028307988438408095,0.002300508370656985,0.0005302904731838247
0.05799999999999983,0.0028417812898440097,0.0023028722602523493,0.0005389090295916605
0.05999999999999961,0.0028525797864152797,0.0023052375314256764,0.0005473422549896034
0.06200000000000028,0.0028631930622029698,0.0023076041776767127,0.000555588884526257
0.06400000000000006,0.0028736198812249203,0.0023099721925014063,0.000563647688723514
0.06599999999999984,0.0028838590431501795,0.0023123415693919024,0.0005715174737582771
0.06799999999999962,0.0028939093835735697,0.0023147123018365445,0.0005791970817370252
0.07000000000000028,0.00290376977427777,0.0023170843833198876,0.0005866853909578824
0.07200000000000006,0.0029134391234780102,0.0023194578073226888,0.0005939813161553215
0.07399999999999984,0.0029229163760467604,0.002321832567321916,0.0006010838087248446
0.07599999999999962,0.00293220051371795,0.002324208656790752,0.000607991856927198
0.07800000000000029,0.00294129055527247,0.002326586069198596,0.0006147044860738741
0.08000000000000007,0.00295018555670902,0.0023289647980110667,0.0006212207586979534
0.08199999999999985,0.0029588846114049303,0.002331344836690006,0.0006275397747149245
0.08399999999999963,0.0029673868502725002,0.0023337261786934792,0.000633660671579021
0.0860000000000003,0.0029756914419150097,0.002336108817475783,0.0006395826244392265
0.08800000000000008,0.0029837975927855297,0.002338492746487442,0.0006453048462980878
0.08999999999999986,0.00299170454734983,0.002340877959175226,0.0006508265881746038
0.09199999999999964,0.0029994115882519203,0.002343264448982132,0.0006561471392697881
0.0940000000000003,0.0030069180364795294,0.002345652209347403,0.0006612658271321265
0.09600000000000009,0.0030142232515246803,0.0023480412337065263,0.000666182017818154
0.09799999999999986,0.00302132663153426,0.0023504315154912396,0.0006708951160430206
0.09999999999999964,0.0030282276134458,0.0023528230481295277,0.0006754045653162722
0.10200000000000031,0.0030349256731047403,0.002355215825045634,0.0006797098480591061
