# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.233281658796901E+005  0.000000000000000E+000 
      0.02000000 -0.233281658797035E+005 -0.134323083656341E-007 
      0.04000000 -0.233281658796675E+005  0.226202300252226E-007 
      0.06000000 -0.233281658796117E+005  0.784252531960362E-007 
      0.08000000 -0.233281658795631E+005  0.127031524278681E-006 
      0.10000000 -0.233281658795367E+005  0.153373326612484E-006 
      0.12000000 -0.233281658795228E+005  0.167257297120307E-006 
      0.14000000 -0.233281658794966E+005  0.193456794943557E-006 
      0.16000000 -0.233281658794366E+005  0.253472175480937E-006 
      0.18000000 -0.233281658793344E+005  0.355699404855045E-006 
      0.20000000 -0.233281658791883E+005  0.501762610631971E-006 
      0.22000000 -0.233281658789883E+005  0.701802535976742E-006 
      0.24000000 -0.233281658787069E+005  0.983150927644397E-006 
      0.26000000 -0.233281658783049E+005  0.138522304148167E-005 
      0.28000000 -0.233281658777414E+005  0.194872415465924E-005 
      0.30000000 -0.233281658769795E+005  0.271062869131022E-005 
      0.32000000 -0.233281658759814E+005  0.370870303110473E-005 
      0.34000000 -0.233281658747001E+005  0.499000046981462E-005 
      0.36000000 -0.233281658730763E+005  0.661376299389816E-005 
      0.38000000 -0.233281658710425E+005  0.864755431010466E-005 
      0.40000000 -0.233281658685291E+005  0.111610417570785E-004 
      0.42000000 -0.233281658654659E+005  0.142241927503669E-004 
      0.44000000 -0.233281658617802E+005  0.179099445387806E-004 
      0.46000000 -0.233281658573919E+005  0.222982072921474E-004 
      0.48000000 -0.233281658522139E+005  0.274761920204019E-004 
      0.50000000 -0.233281658461549E+005  0.335351468505715E-004 
      0.52000000 -0.233281658391233E+005  0.405668148818941E-004 
      0.54000000 -0.233281658310275E+005  0.486625556101444E-004 
      0.56000000 -0.233281658217756E+005  0.579145266737868E-004 
      0.58000000 -0.233281658112727E+005  0.684173853209492E-004 
      0.60000000 -0.233281657994224E+005  0.802677191913812E-004 
      0.62000000 -0.233281657861279E+005  0.935621716092056E-004 
      0.64000000 -0.233281657712946E+005  0.108395495723416E-003 
      0.66000000 -0.233281657548302E+005  0.124859932699038E-003 
      0.68000000 -0.233281657366443E+005  0.143045818058086E-003 
      0.70000000 -0.233281657166476E+005  0.163042485003846E-003 
      0.72000000 -0.233281656947526E+005  0.184937534336869E-003 
      0.74000000 -0.233281656708748E+005  0.208815321696149E-003 
      0.76000000 -0.233281656449342E+005  0.234755921211060E-003 
      0.78000000 -0.233281656168552E+005  0.262834939886773E-003 
      0.80000000 -0.233281655865661E+005  0.293123956892096E-003 
      0.82000000 -0.233281655539989E+005  0.325691201052687E-003 
      0.84000000 -0.233281655190886E+005  0.360601492073101E-003 
      0.86000000 -0.233281654817745E+005  0.397915609447227E-003 
      0.88000000 -0.233281654419997E+005  0.437690437856370E-003 
      0.90000000 -0.233281653997110E+005  0.479979137315950E-003 
      0.92000000 -0.233281653548583E+005  0.524831786639376E-003 
      0.94000000 -0.233281653073946E+005  0.572295519555405E-003 
      0.96000000 -0.233281652572758E+005  0.622414326719255E-003 
      0.98000000 -0.233281652044608E+005  0.675229303198712E-003 
      1.00000000 -0.233281651489113E+005  0.730778843369439E-003 
      1.02000000 -0.233281650905906E+005  0.789099482367732E-003 
      1.04000000 -0.233281650294636E+005  0.850226542647972E-003 
      1.06000000 -0.233281649654953E+005  0.914194802195106E-003 
      1.08000000 -0.233281648986514E+005  0.981038742010757E-003 
      1.10000000 -0.233281648288975E+005  0.105079258014256E-002 
      1.12000000 -0.233281647561995E+005  0.112349061816471E-002 
      1.14000000 -0.233281646805225E+005  0.119916755362918E-002 
      1.16000000 -0.233281646018314E+005  0.127785869352245E-002 
      1.18000000 -0.233281645200898E+005  0.135960034714976E-002 
      1.20000000 -0.233281644352605E+005  0.144442964052048E-002 
      1.22000000 -0.233281643473058E+005  0.153238431526567E-002 
      1.24000000 -0.233281642561869E+005  0.162350319576809E-002 
      1.26000000 -0.233281641618634E+005  0.171782669960233E-002 
      1.28000000 -0.233281640642931E+005  0.181539698602642E-002 
      1.30000000 -0.233281639634319E+005  0.191625819728082E-002 
      1.32000000 -0.233281638592337E+005  0.202045641527834E-002 
      1.34000000 -0.233281637516502E+005  0.212803991527739E-002 
      1.36000000 -0.233281636406314E+005  0.223905873278131E-002 
      1.38000000 -0.233281635261257E+005  0.235356435418075E-002 
      1.40000000 -0.233281634080814E+005  0.247160873299635E-002 
      1.42000000 -0.233281632864463E+005  0.259324381656162E-002 
      1.44000000 -0.233281631611690E+005  0.271852108817362E-002 
      1.46000000 -0.233281630321989E+005  0.284749118658306E-002 
      1.48000000 -0.233281628994859E+005  0.298020418750979E-002 
      1.50000000 -0.233281627629804E+005  0.311670967170142E-002 
      1.52000000 -0.233281626226339E+005  0.325705620830613E-002 
      1.54000000 -0.233281624783993E+005  0.340129076709311E-002 
      1.56000000 -0.233281623302310E+005  0.354945909896252E-002 
      1.58000000 -0.233281621780850E+005  0.370160512341732E-002 
      1.60000000 -0.233281620219198E+005  0.385777033150307E-002 
      1.62000000 -0.233281618616975E+005  0.401799264118467E-002 
      1.64000000 -0.233281616973847E+005  0.418230538574692E-002 
      1.66000000 -0.233281615289528E+005  0.435073729213952E-002 
      1.68000000 -0.233281613563781E+005  0.452331197363047E-002 
      1.70000000 -0.233281611796426E+005  0.470004753692196E-002 
      1.72000000 -0.233281609987341E+005  0.488095595106076E-002 
      1.74000000 -0.233281608136470E+005  0.506604313096478E-002 
      1.76000000 -0.233281606243807E+005  0.525530944167603E-002 
      1.78000000 -0.233281604309410E+005  0.544874904870957E-002 
      1.80000000 -0.233281602333402E+005  0.564634991495996E-002 
      1.82000000 -0.233281600315962E+005  0.584809392753787E-002 
      1.84000000 -0.233281598257340E+005  0.605395613984388E-002 
      1.86000000 -0.233281596157865E+005  0.626390357126088E-002 
      1.88000000 -0.233281594017953E+005  0.647789483592492E-002 
      1.90000000 -0.233281591838098E+005  0.669588025409392E-002 
      1.92000000 -0.233281589618879E+005  0.691780222028331E-002 
      1.94000000 -0.233281587360945E+005  0.714359554665293E-002 
