# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.233343928304694E+005  0.000000000000000E+000 
      0.02000000 -0.233343928307446E+005 -0.275210736255997E-006 
      0.04000000 -0.233343928307517E+005 -0.282332148936257E-006 
      0.06000000 -0.233343928307175E+005 -0.248154317793114E-006 
      0.08000000 -0.233343928305663E+005 -0.969186524152349E-007 
      0.10000000 -0.233343928301432E+005  0.326211435407504E-006 
      0.12000000 -0.233343928291812E+005  0.128818992674273E-005 
      0.14000000 -0.233343928272655E+005  0.320390562210641E-005 
      0.16000000 -0.233343928237965E+005  0.667290907949064E-005 
      0.18000000 -0.233343928179539E+005  0.125154837142124E-004 
      0.20000000 -0.233343928086613E+005  0.218080889027702E-004 
      0.22000000 -0.233343927945531E+005  0.359163251320710E-004 
      0.24000000 -0.233343927739445E+005  0.565248612567148E-004 
      0.26000000 -0.233343927448068E+005  0.856626378652441E-004 
      0.28000000 -0.233343927047460E+005  0.125723349848934E-003 
      0.30000000 -0.233343926509895E+005  0.179479868654581E-003 
      0.32000000 -0.233343925803770E+005  0.250092378390211E-003 
      0.34000000 -0.233343924893586E+005  0.341110748598119E-003 
      0.36000000 -0.233343923739991E+005  0.456470326991074E-003 
      0.38000000 -0.233343922299878E+005  0.600481625468885E-003 
      0.40000000 -0.233343920526555E+005  0.777813908696039E-003 
      0.42000000 -0.233343918369948E+005  0.993474612538468E-003 
      0.44000000 -0.233343915776853E+005  0.125278405098359E-002 
      0.46000000 -0.233343912691234E+005  0.156134599004239E-002 
      0.48000000 -0.233343909054552E+005  0.192501423712519E-002 
      0.50000000 -0.233343904806125E+005  0.234985685455083E-002 
      0.52000000 -0.233343899883511E+005  0.284211825704966E-002 
      0.54000000 -0.233343894222900E+005  0.340817934484550E-002 
      0.56000000 -0.233343887759540E+005  0.405451541245634E-002 
      0.58000000 -0.233343880428167E+005  0.478765265301128E-002 
      0.60000000 -0.233343872163457E+005  0.561412365096811E-002 
      0.62000000 -0.233343862900455E+005  0.654042385858809E-002 
      0.64000000 -0.233343852574990E+005  0.757297034309576E-002 
      0.66000000 -0.233343841124072E+005  0.871806218580854E-002 
      0.68000000 -0.233343828486253E+005  0.998184406455634E-002 
      0.70000000 -0.233343814601951E+005  0.113702742877574E-001 
      0.72000000 -0.233343799413730E+005  0.128890964232301E-001 
      0.74000000 -0.233343782866532E+005  0.145438161613355E-001 
      0.76000000 -0.233343764907864E+005  0.163396829855375E-001 
      0.78000000 -0.233343745487928E+005  0.182816766039776E-001 
      0.80000000 -0.233343724559737E+005  0.203744957043247E-001 
      0.82000000 -0.233343702079189E+005  0.226225505168175E-001 
      0.84000000 -0.233343678005080E+005  0.250299613510031E-001 
      0.86000000 -0.233343652299073E+005  0.276005620945720E-001 
      0.88000000 -0.233343624925624E+005  0.303379069759154E-001 
      0.90000000 -0.233343595851869E+005  0.332452824651138E-001 
      0.92000000 -0.233343565047457E+005  0.363257237348561E-001 
      0.94000000 -0.233343532484341E+005  0.395820353069686E-001 
      0.96000000 -0.233343498136539E+005  0.430168155040415E-001 
      0.98000000 -0.233343461979857E+005  0.466324836852752E-001 
      1.00000000 -0.233343423991592E+005  0.504313102294218E-001 
      1.02000000 -0.233343384150225E+005  0.544154468858625E-001 
      1.04000000 -0.233343342435113E+005  0.585869580785063E-001 
      1.06000000 -0.233343298826172E+005  0.629478522344370E-001 
      1.08000000 -0.233343253303581E+005  0.675001112966319E-001 
      1.10000000 -0.233343205847495E+005  0.722457198468886E-001 
      1.12000000 -0.233343156437771E+005  0.771866923385779E-001 
      1.14000000 -0.233343105053719E+005  0.823250974740246E-001 
      1.16000000 -0.233343051673885E+005  0.876630809051710E-001 
      1.18000000 -0.233342996275819E+005  0.932028875351683E-001 
      1.20000000 -0.233342938835882E+005  0.989468812089898E-001 
      1.22000000 -0.233342879329096E+005  0.104897559772961E+000 
      1.24000000 -0.233342817729024E+005  0.111057566944810E+000 
      1.26000000 -0.233342754007686E+005  0.117429700786977E+000 
      1.28000000 -0.233342688135507E+005  0.124016918665612E+000 
      1.30000000 -0.233342620081307E+005  0.130822338682906E+000 
      1.32000000 -0.233342549812312E+005  0.137849238201448E+000 
      1.34000000 -0.233342477294205E+005  0.145101048922355E+000 
      1.36000000 -0.233342402491215E+005  0.152581347913890E+000 
      1.38000000 -0.233342325366240E+005  0.160293845422780E+000 
      1.40000000 -0.233342245880994E+005  0.168242370012671E+000 
      1.42000000 -0.233342163996191E+005  0.176430850315120E+000 
      1.44000000 -0.233342079671762E+005  0.184863293182763E+000 
      1.46000000 -0.233341992867114E+005  0.193543757990976E+000 
      1.48000000 -0.233341903541402E+005  0.202476329191662E+000 
      1.50000000 -0.233341811653828E+005  0.211665086624202E+000 
      1.52000000 -0.233341717163947E+005  0.221114074712717E+000 
      1.54000000 -0.233341620031974E+005  0.230827271963403E+000 
      1.56000000 -0.233341520219086E+005  0.240808560755760E+000 
      1.58000000 -0.233341417687746E+005  0.251061694779604E+000 
      1.60000000 -0.233341312402050E+005  0.261590264352988E+000 
      1.62000000 -0.233341204328080E+005  0.272397661424572E+000 
      1.64000000 -0.233341093434238E+005  0.283487045637086E+000 
      1.66000000 -0.233340979691578E+005  0.294861311560178E+000 
      1.68000000 -0.233340863074134E+005  0.306523055978928E+000 
      1.70000000 -0.233340743559244E+005  0.318474544947271E+000 
      1.72000000 -0.233340621127867E+005  0.330717682651142E+000 
      1.74000000 -0.233340495764869E+005  0.343253982520667E+000 
      1.76000000 -0.233340367459292E+005  0.356084540183020E+000 
      1.78000000 -0.233340236204609E+005  0.369210008512734E+000 
      1.80000000 -0.233340101998930E+005  0.382630576419048E+000 
      1.82000000 -0.233339964845164E+005  0.396345953031541E+000 
      1.84000000 -0.233339824751148E+005  0.410355354570999E+000 
      1.86000000 -0.233339681729746E+005  0.424657494827385E+000 
      1.88000000 -0.233339535798909E+005  0.439250578462243E+000 
      1.90000000 -0.233339386981712E+005  0.454132298205925E+000 
      1.92000000 -0.233339235306356E+005  0.469299833740804E+000 
      1.94000000 -0.233339080806143E+005  0.484749855054712E+000 
      1.96000000 -0.233338923519386E+005  0.500478530812161E+000 
      1.98000000 -0.233338763489297E+005  0.516481539732510E+000 
      2.00000000 -0.233338600763843E+005  0.532754085064816E+000 
      2.02000000 -0.233338435395562E+005  0.549290913223531E+000 
      2.04000000 -0.233338267441330E+005  0.566086336346868E+000 
      2.06000000 -0.233338096962129E+005  0.583134256466903E+000 
      2.08000000 -0.233337924022768E+005  0.600428192562911E+000 
      2.10000000 -0.233337748691607E+005  0.617961308663403E+000 
      2.12000000 -0.233337571040253E+005  0.635726444064186E+000 
      2.14000000 -0.233337391143247E+005  0.653716144703414E+000 
      2.16000000 -0.233337209077731E+005  0.671922696256661E+000 
      2.18000000 -0.233337024923131E+005  0.690338156273000E+000 
      2.20000000 -0.233336838760833E+005  0.708954386082144E+000 
      2.22000000 -0.233336650673876E+005  0.727763081782802E+000 
      2.24000000 -0.233336460746652E+005  0.746755804225619E+000 
      2.26000000 -0.233336269064620E+005  0.765924007362712E+000 
      2.28000000 -0.233336075714045E+005  0.785259064858609E+000 
      2.30000000 -0.233335880781740E+005  0.804752295408084E+000 
      2.32000000 -0.233335684354836E+005  0.824394985829698E+000 
