# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.233343928304694E+005  0.000000000000000E+000 
      0.02000000 -0.233343928307449E+005 -0.275501532429735E-006 
      0.04000000 -0.233343928307591E+005 -0.289710328450775E-006 
      0.06000000 -0.233343928307687E+005 -0.299325163642021E-006 
      0.08000000 -0.233343928307758E+005 -0.306424921288067E-006 
      0.10000000 -0.233343928307814E+005 -0.311974797199616E-006 
      0.12000000 -0.233343928307859E+005 -0.316472857163603E-006 
      0.14000000 -0.233343928307896E+005 -0.320234645964297E-006 
      0.16000000 -0.233343928307928E+005 -0.323442684604362E-006 
      0.18000000 -0.233343928307956E+005 -0.326220716136453E-006 
      0.20000000 -0.233343928307981E+005 -0.328680109307959E-006 
      0.22000000 -0.233343928308003E+005 -0.330867267763625E-006 
      0.24000000 -0.233343928308022E+005 -0.332831688724514E-006 
      0.26000000 -0.233343928308040E+005 -0.334613588682737E-006 
      0.28000000 -0.233343928308056E+005 -0.336246996977775E-006 
      0.30000000 -0.233343928308072E+005 -0.337784504407006E-006 
      0.32000000 -0.233343928308086E+005 -0.339179707325684E-006 
      0.34000000 -0.233343928308099E+005 -0.340479009378555E-006 
      0.36000000 -0.233343928308111E+005 -0.341707159176150E-006 
      0.38000000 -0.233343928308123E+005 -0.342879624600050E-006 
      0.40000000 -0.233343928308134E+005 -0.343974750616042E-006 
      0.42000000 -0.233343928308144E+005 -0.345042034445186E-006 
      0.44000000 -0.233343928308154E+005 -0.346044353171686E-006 
      0.46000000 -0.233343928308164E+005 -0.347006455406074E-006 
      0.48000000 -0.233343928308173E+005 -0.347953089758880E-006 
      0.50000000 -0.233343928308182E+005 -0.348837852585359E-006 
      0.52000000 -0.233343928308191E+005 -0.349722615411838E-006 
      0.54000000 -0.233343928308200E+005 -0.350560974593571E-006 
      0.56000000 -0.233343928308208E+005 -0.351399333775305E-006 
      0.58000000 -0.233343928308216E+005 -0.352169634278079E-006 
      0.60000000 -0.233343928308223E+005 -0.352946121933485E-006 
      0.62000000 -0.233343928308231E+005 -0.353707141707309E-006 
      0.64000000 -0.233343928308239E+005 -0.354461974328501E-006 
      0.66000000 -0.233343928308246E+005 -0.355210619797060E-006 
      0.68000000 -0.233343928308253E+005 -0.355915955197190E-006 
      0.70000000 -0.233343928308260E+005 -0.356633664902586E-006 
      0.72000000 -0.233343928308267E+005 -0.357332813150083E-006 
      0.74000000 -0.233343928308274E+005 -0.358025774244948E-006 
      0.76000000 -0.233343928308281E+005 -0.358700173881914E-006 
      0.78000000 -0.233343928308288E+005 -0.359368386366248E-006 
      0.80000000 -0.233343928308294E+005 -0.360036598850581E-006 
      0.82000000 -0.233343928308301E+005 -0.360710998487548E-006 
      0.84000000 -0.233343928308307E+005 -0.361354462361351E-006 
      0.86000000 -0.233343928308314E+005 -0.361982458353572E-006 
      0.88000000 -0.233343928308320E+005 -0.362622828651058E-006 
      0.90000000 -0.233343928308326E+005 -0.363241543914330E-006 
      0.92000000 -0.233343928308333E+005 -0.363878820635500E-006 
      0.94000000 -0.233343928308339E+005 -0.364516097356670E-006 
      0.96000000 -0.233343928308345E+005 -0.365134812619942E-006 
      0.98000000 -0.233343928308351E+005 -0.365734966425316E-006 
      1.00000000 -0.233343928308358E+005 -0.366362962417537E-006 
      1.02000000 -0.233343928308363E+005 -0.366950741917646E-006 
      1.04000000 -0.233343928308370E+005 -0.367594205791448E-006 
      1.06000000 -0.233343928308376E+005 -0.368166517409975E-006 
      1.08000000 -0.233343928308382E+005 -0.368772858367981E-006 
      1.10000000 -0.233343928308387E+005 -0.369354450715457E-006 
      1.12000000 -0.233343928308393E+005 -0.369954604520831E-006 
      1.14000000 -0.233343928308400E+005 -0.370564039055154E-006 
      1.16000000 -0.233343928308405E+005 -0.371130163521048E-006 
      1.18000000 -0.233343928308411E+005 -0.371748878784319E-006 
      1.20000000 -0.233343928308417E+005 -0.372321190402846E-006 
      1.22000000 -0.233343928308423E+005 -0.372887314868740E-006 
      1.24000000 -0.233343928308429E+005 -0.373487468674114E-006 
      1.26000000 -0.233343928308434E+005 -0.374053593140008E-006 
      1.28000000 -0.233343928308440E+005 -0.374653746945381E-006 
      1.30000000 -0.233343928308446E+005 -0.375229152140224E-006 
      1.32000000 -0.233343928308452E+005 -0.375795276606118E-006 
      1.34000000 -0.233343928308458E+005 -0.376364494648328E-006 
      1.36000000 -0.233343928308463E+005 -0.376939899843171E-006 
      1.38000000 -0.233343928308469E+005 -0.377484369274850E-006 
      1.40000000 -0.233343928308475E+005 -0.378078335927592E-006 
      1.42000000 -0.233343928308480E+005 -0.378647553969802E-006 
      1.44000000 -0.233343928308486E+005 -0.379232239893594E-006 
      1.46000000 -0.233343928308492E+005 -0.379792177206855E-006 
      1.48000000 -0.233343928308497E+005 -0.380352114520116E-006 
      1.50000000 -0.233343928308503E+005 -0.380921332562326E-006 
      1.52000000 -0.233343928308509E+005 -0.381493644180853E-006 
      1.54000000 -0.233343928308514E+005 -0.382056675070430E-006 
      1.56000000 -0.233343928308520E+005 -0.382625893112640E-006 
      1.58000000 -0.233343928308526E+005 -0.383182736849585E-006 
      1.60000000 -0.233343928308531E+005 -0.383721019128632E-006 
      1.62000000 -0.233343928308537E+005 -0.384302611476107E-006 
      1.64000000 -0.233343928308542E+005 -0.384853268060419E-006 
      1.66000000 -0.233343928308548E+005 -0.385410111797364E-006 
      1.68000000 -0.233343928308554E+005 -0.385982423415891E-006 
      1.70000000 -0.233343928308559E+005 -0.386548547881785E-006 
      1.72000000 -0.233343928308565E+005 -0.387105391618729E-006 
      1.74000000 -0.233343928308570E+005 -0.387656048203041E-006 
      1.76000000 -0.233343928308576E+005 -0.388200517634721E-006 
      1.78000000 -0.233343928308582E+005 -0.388769735676931E-006 
      1.80000000 -0.233343928308587E+005 -0.389338953719141E-006 
      1.82000000 -0.233343928308593E+005 -0.389901984608719E-006 
      1.84000000 -0.233343928308598E+005 -0.390446454040398E-006 
      1.86000000 -0.233343928308604E+005 -0.391015672082608E-006 
      1.88000000 -0.233343928308610E+005 -0.391560141514287E-006 
      1.90000000 -0.233343928308615E+005 -0.392123172403865E-006 
      1.92000000 -0.233343928308621E+005 -0.392661454682911E-006 
      1.94000000 -0.233343928308626E+005 -0.393227579148805E-006 
      1.96000000 -0.233343928308632E+005 -0.393799890767332E-006 
      1.98000000 -0.233343928308637E+005 -0.394338173046378E-006 
      2.00000000 -0.233343928308643E+005 -0.394901203935956E-006 
      2.02000000 -0.233343928308648E+005 -0.395448766943952E-006 
      2.04000000 -0.233343928308654E+005 -0.395990142799315E-006 
      2.06000000 -0.233343928308659E+005 -0.396553173688892E-006 
      2.08000000 -0.233343928308665E+005 -0.397097643120571E-006 
      2.10000000 -0.233343928308670E+005 -0.397639018975934E-006 
      2.12000000 -0.233343928308676E+005 -0.398205143441828E-006 
      2.14000000 -0.233343928308682E+005 -0.398768174331406E-006 
      2.16000000 -0.233343928308687E+005 -0.399306456610452E-006 
      2.18000000 -0.233343928308693E+005 -0.399869487500030E-006 
      2.20000000 -0.233343928308698E+005 -0.400426331236974E-006 
      2.22000000 -0.233343928308704E+005 -0.400976987821286E-006 
      2.24000000 -0.233343928308709E+005 -0.401530737981915E-006 
      2.26000000 -0.233343928308715E+005 -0.402065926684645E-006 
      2.28000000 -0.233343928308720E+005 -0.402616583268957E-006 
      2.30000000 -0.233343928308726E+005 -0.403188894887484E-006 
      2.32000000 -0.233343928308731E+005 -0.403733364319163E-006 
      2.34000000 -0.233343928308737E+005 -0.404287114479791E-006 
