# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,fid_signal,fid_exp_fit
8.902,-0.00658552219067324,0.0043119245507717814
8.912,-0.006641709588278509,0.004292575817401033
8.922,-0.006681512862273778,0.004273315209446942
8.932,-0.006705279357627677,0.004254142325534964
8.942,-0.006713384841937306,0.004235056766118643
8.952,-0.006706231834147315,0.004216058133471301
8.962,-0.0066842478834510145,0.004197146031677729
8.972,-0.006647883639549973,0.004178320066625948
8.982,-0.006597611043575282,0.004159579845999005
8.992,-0.006533921690100211,0.0041409249792667725
9.002,-0.00645732509920477,0.004122355077677837
9.012,-0.00636834691159536,0.004103869754251383
9.022,-0.006267527178145159,0.004085468623769124
9.032,-0.00615541882993217,0.004067151302767294
9.042,-0.006032585997099979,0.004048917409528635
9.052,-0.0058996022710505695,0.004030766564074453
9.062,-0.00575704915819439,0.004012698388156706
9.072,-0.005605514527955379,0.003994712505250103
9.082,-0.005445590982669149,0.0039768085405442796
9.092,-0.005277874262196269,0.003958986120935973
9.102,-0.005102961679832299,0.0039412448750212456
9.112,-0.00492145062005934,0.0039235844330877566
9.122,-0.0047339369855423,0.0039060044271070423
9.132,-0.004541013627234121,0.0038885044907268677
9.142,-0.004343268893734722,0.0038710842592635684
9.152,-0.004141285181555293,0.0038537433696944627
9.162,-0.003935637502314743,0.003836481460650294
9.172,-0.003726891984696414,0.0038192981724076893
9.182,-0.0035156045381672047,0.003802193146881658
9.192,-0.0033023196455136553,0.003785166027618149
9.202,-0.0030875689714134464,0.0037682164597865994
9.212,-0.0028718700495334775,0.0037513440901725628
9.222,-0.0026557253154445193,0.003734548567170329
9.232,-0.0024396210358285713,0.0037178295407756055
9.242,-0.0022240260807440022,0.0037011866625782275
9.252,-0.002009391101081304,0.003684619585754894
9.262,-0.0017961478367229658,0.00366812796506194
9.272,-0.0015847082336696173,0.003651711456828135
9.282,-0.0013754637485611787,0.003635369718947529
9.292,-0.0011687849704298907,0.0036191024108723317
9.302,-0.0009650211652919602,0.003602909193605792
9.312,-0.0007644998813004836,0.0035867897296951614
9.322,-0.000567526773772869,0.0035707436832246382
9.332,-0.0003743855675424084,0.0035547707198083744
9.342,-0.00018533807338755196,0.003538870506583528
9.352,-6.242655261662935e-07,0.0035230427122032917
9.362,0.00017953742376303027,0.0035072870068300057
9.372,0.0003549497588980969,0.003491603062128294
9.382,0.0005254363027528483,0.0034759905512581992
9.392,0.0006908409027063749,0.0034604491488683937
9.402,0.0008510269789100365,0.0034449785310893843
9.412,0.00100587689679925,0.0034295783755267616
9.422,0.001155291297257357,0.0034142483612545093
9.432,0.0012991881462686935,0.003398988168808272
9.442,0.0014375018629261603,0.0033837974801787384
9.452,0.0015701825475014572,0.003368675978804986
9.462,0.001697195011081824,0.0033536233495678972
9.472,0.0018185177615761105,0.003338639278783599
9.482,0.001934142121715147,0.0033237234541969056
9.492,0.0020440712629551843,0.0033088755649748314
9.502,0.0021483192337546407,0.003294095301700108
9.512,0.0022469100878592966,0.003279382356364722
9.522,0.0023398769792073327,0.003264736422363522
9.532,0.0024272613158729086,0.0032501571944878057
9.542,0.002509112023491404,0.0032356443689189694
9.552,0.00258548474604906,0.003221197643222185
9.562,0.002656441187820056,0.003206816716340077
9.572,0.002722048564644982,0.0031925012885864737
9.582,0.002782379027396928,0.003178251061640136
9.592,0.0028375092233071737,0.003164065738538564
9.602,0.0028875199468943796,0.0031499450236717958
9.612,0.0029324958180860046,0.0031358886227762436
9.622,0.0029725250752607696,0.003121896242928577
9.632,0.0030076994439835144,0.0031079675925396026
9.642,0.0030381140573667196,0.003094102381348193
9.652,0.003063867481309995,0.0030803003204152484
9.662,0.00308506176130598,0.003066561122117654
9.672,0.003101802516573035,0.0030528845001423074
9.682,0.00311419913233302,0.003039270169480144
9.692,0.0031223649632921052,0.0030257178464201864
9.702,0.0031264175231747104,0.003012227248543655
9.712,0.0031264787263788046,0.0029987980947180615
9.722,0.003122675160341759,0.0029854301050913586
9.732,0.003115138304699943,0.002972123001086117
9.742,0.0031040047163626073,0.0029588765053936974
9.752,0.0030894162596293113,0.002945690341968505
9.762,0.0030715202587916763,0.002932564236022202
9.772,0.0030504695660462803,0.002919497914017999
9.782,0.003026422597198824,0.0029064911036649605
9.792,0.002999543355608939,0.002893543533912313
9.802,0.0029700013040439032,0.0028806549349438154
9.812,0.0029379711694751567,0.002867825038172121
9.822,0.00290363273995689,0.002855053576233185
9.832,0.0028671705221498434,0.002842340282980701
9.842,0.002828773278699357,0.002829684893480547
9.852,0.0027886334855765802,0.0028170871440052585
9.862,0.002746946811467484,0.002804546772028549
9.872,0.0027039114376964974,0.002792063516219821
9.882,0.0026597272047314104,0.0027796371164387373
9.892,0.0026145948365193443,0.002767267313729786
9.902,0.002568715098551808,0.002754953850316888
9.912,0.0025222878143816903,0.002742696469598033
9.922,0.002475510852590173,0.0027304949161399226
9.932,0.002428579085894476,0.002718348935672653
9.942,0.0023816833631936387,0.0027062582750844093
9.952,0.0023350093790488607,0.002694222682416196
9.962,0.002288736596797954,0.0026822419068565926
9.972,0.0022430372178025666,0.002670315698736509
9.982,0.0021980750439807993,0.0026584438095240063
9.992,0.0021540044023311317,0.0026466259918190927
10.002,0.002110969210738775,0.002634861999348589
10.012,0.0020691020106984068,0.0026231515869609874
10.022,0.0020285229814357084,0.002611494510621338
10.032,0.0019893391174885503,0.0025998905274061688
