# Fourier-transform spectra: 
# sigma: Conductivity
# eps: Dielectric constant
# 1:Energy[eV] 2:Re(sigma_x)[1/fs*V*Angstrom] 3:Re(sigma_y)[1/fs*V*Angstrom] 4:Re(sigma_z)[1/fs*V*Angstrom] 5:Im(sigma_x)[1/fs*V*Angstrom] 6:Im(sigma_y)[1/fs*V*Angstrom] 7:Im(sigma_z)[1/fs*V*Angstrom] 8:Re(eps_x)[none] 9:Re(eps_y)[none] 10:Re(eps_z)[none] 11:Im(eps_x)[none] 12:Im(eps_y)[none] 13:Im(eps_z)[none]
      0.21000000  0.196356308781601E-003  0.779995229145125E-004 -0.275519915814435E-003  0.577310845506778E-003  0.463725030284537E-003 -0.798051938604081E-002  0.381247884039509E+000  0.502987262502362E+000  0.955338730427246E+001  0.210451410165618E+000  0.835985851000210E-001 -0.295297641169009E+000
      0.22000000  0.152978276822165E-003 -0.102196931897823E-004 -0.499363293504951E-003  0.608033073782132E-003  0.449243669921770E-003 -0.880560787529898E-002  0.377942117161071E+000  0.540394136042573E+000  0.100087168415792E+002  0.156506853169046E+000 -0.104554192576328E-001 -0.510881540033576E+000
      0.23000000  0.961589891171678E-004 -0.778202029073319E-004 -0.632823693834396E-003  0.617758843018554E-003  0.405621999528357E-003 -0.966383505184938E-002  0.395470622699359E+000  0.603064500710104E+000  0.104568815197926E+002  0.940997194452376E-001 -0.761536630946551E-001 -0.619271610432145E+000
      0.24000000  0.340645256734305E-004 -0.119708445564727E-003 -0.681392847511849E-003  0.605922356608579E-003  0.349049947080923E-003 -0.105026040748453E-001  0.431759726531834E+000  0.672657337660440E+000  0.108494510831744E+002  0.319460656520021E-001 -0.112263822422535E+000 -0.639017282967677E+000
      0.25000000 -0.261494891232490E-004 -0.139338388960212E-003 -0.676687132928650E-003  0.572706143435699E-003  0.292128463951919E-003 -0.112900882007532E-001  0.484393826481455E+000  0.736997339385079E+000  0.111644433931776E+002 -0.235423317539757E-001 -0.125446067550487E+000 -0.609220046401945E+000
      0.26000000 -0.768584894919993E-004 -0.143602169700181E-003 -0.654900509064759E-003  0.519487650972112E-003  0.241220687348633E-003 -0.120215636289539E-001  0.550294544966052E+000  0.791182218162984E+000  0.114067204135878E+002 -0.665341744419579E-001 -0.124312250633940E+000 -0.566928455141934E+000
      0.27000000 -0.110047451970911E-003 -0.138447056076192E-003 -0.640600111096127E-003  0.450501556645575E-003  0.197658589114691E-003 -0.127107022419189E-001  0.624457747096413E+000  0.835229976973700E+000  0.115957586283599E+002 -0.917365710058335E-001 -0.115410742936959E+000 -0.534010161302494E+000
      0.28000000 -0.119248090768517E-003 -0.127157654298775E-003 -0.642592771881360E-003  0.373946440058999E-003  0.160737080326622E-003 -0.133755622339370E-001  0.699407841317331E+000  0.870793512707045E+000  0.117517780483728E+002 -0.958560830723243E-001 -0.102214086575240E+000 -0.516540145222996E+000
      0.29000000 -0.102250387208328E-003 -0.111148091837840E-003 -0.659550536787297E-003  0.301207586369934E-003  0.130111971785502E-003 -0.140289290566070E-001  0.766227089637259E+000  0.899017635366014E+000  0.118881174420605E+002 -0.793584613571142E-001 -0.862641383749383E-001 -0.511889658471978E+000
      0.30000000 -0.629121770059490E-004 -0.916904865518480E-004 -0.688071987917500E-003  0.244098198698762E-003  0.106366169284824E-003 -0.146768032913214E-001  0.816865741072136E+000  0.920198962176648E+000  0.120112467380522E+002 -0.471997539307590E-001 -0.687906317822948E-001 -0.516224840117727E+000
      0.31000000 -0.108351782458089E-004 -0.709351931056768E-004 -0.726906624849629E-003  0.211237639354230E-003  0.900776018907142E-004 -0.153223633628970E-001  0.846631599903846E+000  0.934599450511231E+000  0.121247520178860E+002 -0.786684587745129E-002 -0.515022659332304E-001 -0.527768187588631E+000
      0.32000000  0.412076217041423E-004 -0.515669352830015E-004 -0.775900749144814E-003  0.205210434125798E-003  0.806515407999345E-004 -0.159699450057921E-001  0.855663644110891E+000  0.943273111109115E+000  0.122325851056505E+002  0.289837014232267E-001 -0.362700052500998E-001 -0.545735830345447E+000
      0.33000000  0.810942747489440E-004 -0.356140476636077E-004 -0.832652185406057E-003  0.221778889262675E-003  0.760359418905788E-004 -0.166253631386512E-001  0.848737059148264E+000  0.948140148870624E+000  0.123392276850205E+002  0.553098562516266E-001 -0.242903443296208E-001 -0.567905352443039E+000
      0.34000000  0.100886549030889E-003 -0.234826418476278E-004 -0.890940446567166E-003  0.251451636207301E-003  0.735549477787712E-004 -0.172928969781556E-001  0.833543091534583E+000  0.951307816507921E+000  0.124476175729540E+002  0.667852606199861E-001 -0.155451283734509E-001 -0.589788138185370E+000
      0.35000000  0.987553763739601E-004 -0.139813652885136E-004 -0.942719422790582E-003  0.282692832115159E-003  0.712121814259525E-004 -0.179721135252042E-001  0.818208728209942E+000  0.954205584444764E+000  0.125573265514254E+002  0.635066171745548E-001 -0.899099619237913E-002 -0.606234553341898E+000
      0.36000000  0.787494107783487E-004 -0.530105645845538E-005 -0.982169173795574E-003  0.305470989210577E-003  0.685292814059358E-004 -0.186575488304486E-001  0.809017424369724E+000  0.957155019195700E+000  0.126648285972923E+002  0.492346763883623E-001 -0.331425716927709E-002 -0.614058961870295E+000
      0.37000000  0.487419263547524E-004  0.375610147662043E-005 -0.100863933767380E-002  0.313877862460180E-003  0.663926272570712E-004 -0.193417310546037E-001  0.809065135299012E+000  0.959612738524749E+000  0.127657574607134E+002  0.296501736085030E-001  0.228487196140724E-002 -0.613564824105026E+000
      0.38000000  0.175027238190870E-004  0.131061181052093E-004 -0.102630144110626E-002  0.307068254533988E-003  0.661020367547378E-004 -0.200193677253814E-001  0.818123076564234E+000  0.960847678324693E+000  0.128574973389788E+002  0.103668859055213E-001  0.776277066731891E-002 -0.607879668021624E+000
      0.39000000 -0.800505173978785E-005  0.216250330474736E-004 -0.104089801019860E-002  0.288476720360483E-003  0.683197698890245E-004 -0.206897483349014E-001  0.833516023523498E+000  0.960571698995776E+000  0.129403450330002E+002 -0.461982805362823E-002  0.124801110075029E-001 -0.600716895379960E+000
      0.40000000 -0.242657383387142E-004  0.280227736994825E-004 -0.105604797312370E-002  0.263856179160183E-003  0.725985384017130E-004 -0.213559030233301E-001  0.851531762345151E+000  0.959149802414607E+000  0.130166724747303E+002 -0.136539967265859E-001  0.157680287746343E-001 -0.594223648457621E+000
      0.41000000 -0.314471878030934E-004  0.316982235482732E-004 -0.107166654279789E-002  0.238977971311921E-003  0.777056846504443E-004 -0.220214859994525E-001  0.868810133881557E+000  0.957342518601315E+000  0.130889627781907E+002 -0.172633165100584E-001  0.174011256379052E-001 -0.588304392666242E+000
      0.42000000 -0.324061605736490E-004  0.330252477665270E-004 -0.108530357071176E-002  0.217800884336697E-003  0.824183464131853E-004 -0.226878610885531E-001  0.883282326072449E+000  0.955832696861639E+000  0.131582351729742E+002 -0.173661906589501E-001  0.176979543123949E-001 -0.581605114527072E+000
      0.43000000 -0.310124994315082E-004  0.329622130340724E-004 -0.109504087319936E-002  0.201631865709979E-003  0.862048596191661E-004 -0.233534566896981E-001  0.894460024600041E+000  0.954877872445767E+000  0.132238775892692E+002 -0.162328430358348E-001  0.172533797695848E-001 -0.573176201154846E+000
      0.44000000 -0.304860146890224E-004  0.323295040538743E-004 -0.110160678480347E-002  0.189389276055351E-003  0.893599401978441E-004 -0.240156062059115E-001  0.903121148194644E+000  0.954289447723364E+000  0.132847734734375E+002 -0.155946005006669E-001  0.165376060218984E-001 -0.563508149329214E+000
      0.45000000 -0.323367345212460E-004  0.312689093384205E-004 -0.110815522143681E-002  0.178680431450906E-003  0.925701052496009E-004 -0.246732563243026E-001  0.910630206550452E+000  0.953699623855941E+000  0.133407124301496E+002 -0.161737200964318E-001  0.156396307434208E-001 -0.554261048317745E+000
      0.46000000 -0.361993412511110E-004  0.292174488959175E-004 -0.111799120385079E-002  0.167146732125973E-003  0.962536810381635E-004 -0.253284137372145E-001  0.918216379229624E+000  0.952903808242897E+000  0.133929995965363E+002 -0.177120614885073E-001  0.142958748279964E-001 -0.547024566244221E+000
      0.47000000 -0.404695421009802E-004  0.253623082263815E-004 -0.113200922109216E-002  0.153497502064662E-003  0.100119266040510E-003 -0.259852555777822E-001  0.926492825416925E+000  0.952054696206921E+000  0.134438684190261E+002 -0.193801309891068E-001  0.121455502112407E-001 -0.542098720338903E+000
      0.48000000 -0.433335969860731E-004  0.192509300587283E-004 -0.114772759016742E-002  0.137855620927660E-003  0.103195644431624E-003 -0.266475685737091E-001  0.935358784107663E+000  0.951611026913775E+000  0.134951831603797E+002 -0.203193484554262E-001  0.902686098456249E-002 -0.538175421809863E+000
      0.49000000 -0.436642896719073E-004  0.111814123092754E-004 -0.116058705139836E-002  0.121385780741816E-003  0.104269771035677E-003 -0.273163285042739E-001  0.944243178078342E+000  0.952105172286909E+000  0.135473647296948E+002 -0.200565668292774E-001  0.513602179061606E-002 -0.533099059493953E+000
      0.50000000 -0.413869138345153E-004  0.218185776738073E-005 -0.116659435025274E-002  0.105510327700006E-003  0.102443535821542E-003 -0.279890406582543E-001  0.952504633523112E+000  0.953885146761495E+000  0.135992381255796E+002 -0.186302770806160E-001  0.982161050213355E-003 -0.525141257760665E+000
      0.51000000 -0.372288484885922E-004 -0.635133621118752E-005 -0.116455495774810E-002  0.911788029091455E-004  0.975053254974237E-004 -0.286611855038169E-001  0.959760740000855E+000  0.956968703044921E+000  0.136488269046591E+002 -0.164299296108764E-001 -0.280298776677977E-002 -0.513944340493407E+000
      0.52000000 -0.320945815526381E-004 -0.131204735298622E-004 -0.115654859451222E-002  0.785704039871102E-004  0.899747969312380E-004 -0.293287225428052E-001  0.965991935312509E+000  0.961055708523742E+000  0.136945140004730E+002 -0.138916761295911E-001 -0.567900748744102E-002 -0.500595356781554E+000
      0.53000000 -0.264825322705427E-004 -0.172706013119061E-004 -0.114655102886793E-002  0.673289580945174E-004  0.808811536880269E-004 -0.299900449253990E-001  0.971407488807695E+000  0.965652293492720E+000  0.137358378839525E+002 -0.112463065191518E-001 -0.733428639450049E-002 -0.486904506667607E+000
      0.54000000 -0.202934998364399E-004 -0.185144907372152E-004 -0.113826750243745E-002  0.571170839162149E-004  0.714450743168091E-004 -0.306463239468502E-001  0.976193336008766E+000  0.970221363531373E+000  0.137735291570455E+002 -0.845842432223933E-002 -0.771692512517392E-002 -0.474435144525596E+000
      0.55000000 -0.131211861424733E-004 -0.170826364466340E-004 -0.113356123683603E-002  0.481048328843840E-004  0.628115893469166E-004 -0.313003329548530E-001  0.980314235005511E+000  0.974295842794307E+000  0.138089208890805E+002 -0.536953506252660E-002 -0.699066489604010E-002 -0.463883123112582E+000
      0.56000000 -0.481849830818377E-005 -0.135990994340534E-004 -0.113224506080083E-002  0.410683022331683E-004  0.558829512393610E-004 -0.319547513754014E-001  0.983493880006248E+000  0.977539595050099E+000  0.138432131812572E+002 -0.193664473425289E-002 -0.546573281240147E-002 -0.455070500109871E+000
      0.57000000  0.402951496501064E-005 -0.894838420406900E-005 -0.113300631475665E-002  0.370204243711897E-004  0.512206397249340E-004 -0.326110576091801E-001  0.985381836579760E+000  0.979774632660046E+000  0.138770476712536E+002  0.159112460927563E-002 -0.353342634137852E-002 -0.447387401592450E+000
      0.58000000  0.120367736014257E-004 -0.413235779052729E-005 -0.113458247649322E-002  0.365793099085412E-004  0.489787834599526E-004 -0.332694876723124E-001  0.985805052523017E+000  0.980993319435525E+000  0.139105396267837E+002  0.467098393851008E-002 -0.160360055832932E-002 -0.440285470185059E+000
      0.59000000  0.174257853836119E-004 -0.908518629246682E-007 -0.113637573493540E-002  0.394353410301852E-004  0.488796637198176E-004 -0.339297229900654E-001  0.984956119854398E+000  0.981353278978989E+000  0.139435849342683E+002  0.664762672024034E-002 -0.346583673714713E-004 -0.433507100741278E+000
      0.60000000  0.187189013693497E-004  0.250263391890444E-005 -0.113830576667094E-002  0.442243841824252E-004  0.502818499393851E-004 -0.345915695864954E-001  0.983410365445211E+000  0.981138063747994E+000  0.139761331610486E+002  0.702191197742136E-002  0.938798423236020E-003 -0.427005983911126E+000
      0.61000000  0.153615657937798E-004  0.339730496768768E-005 -0.114031739288743E-002  0.488923913944372E-004  0.523718663728221E-004 -0.352551088303544E-001  0.981959950692991E+000  0.980676112893646E+000  0.140082387767173E+002  0.566802720114396E-002  0.125351915461850E-002 -0.420748124741339E+000
      0.62000000  0.797023687415657E-005  0.277962056090585E-005 -0.114213055367251E-002  0.513787134893417E-004  0.544356764450928E-004 -0.359203653843236E-001  0.981348326200415E+000  0.980238577201349E+000  0.140399321510706E+002  0.289338226254015E-002  0.100906722780030E-002 -0.414620084406324E+000
      0.63000000 -0.190197836382338E-005  0.110516362168865E-005 -0.114348831288583E-002  0.502929034253780E-004  0.560927824683168E-004 -0.365869650757104E-001  0.982032302208046E+000  0.979960231065285E+000  0.140710992373014E+002 -0.679502874569949E-003  0.394831966593975E-003 -0.408523887769742E+000
      0.64000000 -0.123493455825452E-004 -0.119123526335920E-005 -0.114465385798955E-002  0.452835902932267E-004  0.573662337054081E-004 -0.372542291481167E-001  0.984074717174242E+000  0.979825506535779E+000  0.141015260008677E+002 -0.434300416202803E-002 -0.418932296625980E-003 -0.402550599633108E+000
      0.65000000 -0.217623393592795E-004 -0.396304173013873E-005 -0.114665180353715E-002  0.369681557685528E-004  0.585364181426253E-004 -0.379217412241600E-001  0.987199094122408E+000  0.979730685410807E+000  0.141311024321585E+002 -0.753561144782119E-002 -0.137227630434375E-002 -0.397049338986387E+000
      0.66000000 -0.292573663047585E-004 -0.744921080695047E-005 -0.115092978328927E-002  0.265066237050269E-004  0.598452492501550E-004 -0.385899881549429E-001  0.990960659359864E+000  0.979591456094674E+000  0.141600332095556E+002 -0.997740425959261E-002 -0.254034443366089E-002 -0.392492324929968E+000
      0.67000000 -0.347370350311057E-004 -0.121381835917009E-004 -0.115856761724529E-002  0.150524405152855E-004  0.612068079312374E-004 -0.392605640951514E-001  0.994943402420638E+000  0.979438669994325E+000  0.141888827706269E+002 -0.116692842648430E-001 -0.407760520331038E-002 -0.389200023939027E+000
      0.68000000 -0.386149133804911E-004 -0.184616650423167E-004 -0.116952142118769E-002  0.333580064832719E-005  0.620836855703939E-004 -0.399357141709570E-001  0.998895877013264E+000  0.979450803100627E+000  0.142183978170174E+002 -0.127812234569778E-001 -0.611066154593367E-002 -0.387102114528479E+000
      0.69000000 -0.413818649358564E-004 -0.264731871882792E-004 -0.118238943810023E-002 -0.845913675872559E-005  0.616023520109456E-004 -0.406174484188613E-001  0.100275932738427E+001  0.979905626107288E+000  0.142492050782658E+002 -0.134985538579932E-001 -0.863541900800334E-002 -0.385689420620790E+000
      0.70000000 -0.432367402990726E-004 -0.356727495365958E-004 -0.119484209809939E-002 -0.205131082177246E-004  0.588573604463448E-004 -0.413067370495496E-001  0.100659568196930E+001  0.981075299416527E+000  0.142815611304148E+002 -0.139021246987666E-001 -0.114700370327469E-001 -0.384183537616733E+000
      0.71000000 -0.439487521965917E-004 -0.450610872341906E-004 -0.120443870380558E-002 -0.330119219821790E-004  0.532638415356948E-004 -0.420032154182611E-001  0.101046498805223E+001  0.983115025366050E+000  0.143152849368999E+002 -0.139320324001770E-001 -0.142846496420581E-001 -0.381814686578241E+000
      0.72000000 -0.430000631108134E-004 -0.533952411447711E-004 -0.120935771231877E-002 -0.458001139506747E-004  0.448057622202560E-004 -0.427054706966152E-001  0.101431727403814E+001  0.985993563752132E+000  0.143498778529186E+002 -0.134419684605572E-001 -0.166915370696599E-001 -0.378049403895700E+000
