# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_pump_z,Jm_probe_z,Jm_both_y,Jm_pump_y,Jm_probe_y,Jm_both_x,Jm_pump_x,Jm_probe_x,En_both_z,En_pump_z,En_probe_z,En_both_x,En_pump_x,En_probe_x
8.662,0.00228826044101876,0.0411916611025003,-0.00166101332970394,-0.000376298674504001,-0.0012846118757128,0.00032617446021480803,-5.28331206809538e-08,0.00032617122456318103,-0.00279039432946117,-6.67172256088518e-06,-0.0027837674782761,3.619750870589454e-05,4.8081058660928014e-06,3.1388315298487546e-05,0.18727187528178,1.9432717533975486e-06,0.18726994305883776
8.682,0.0028520435664615602,0.040824209216382,-0.00177439395360237,-0.000492711918692785,-0.00128152791138593,0.000327125272960258,-3.20938110634106e-08,0.00032707282853016497,-0.0027769103190871,-9.687135141622501e-06,-0.0027672927972393897,5.050327354711492e-05,8.465480359370947e-06,4.203562240159428e-05,0.1876371319458686,3.026851908549294e-06,0.18763412371611374
8.702,0.00349283070636233,0.0404542306797684,-0.00191005333762572,-0.000631482640678714,-0.00127834514579881,0.000328036511286319,1.844085260453e-08,0.000327893809923604,-0.0027642825826342397,-1.3664792756686802e-05,-0.00275072292944852,6.944169388695357e-05,1.4296966209173722e-05,5.514058340435776e-05,0.18799740754596972,4.559701125786171e-06,0.18799287792595742
8.722,0.00420993668169633,0.0400817470677436,-0.0020692650283693197,-0.000793881158093794,-0.0012750606867661801,0.00032894008552301,1.13705419588836e-07,0.00032864809026205,-0.00275267324034663,-1.8789282368004e-05,-0.0027340389289834603,9.427208761346358e-05,2.3260834395381402e-05,7.100365000628337e-05,0.1883528323690731,6.670335756204732e-06,0.1883462090193452
8.742,0.0050006673106095,0.0397067801522792,-0.00225280391745895,-0.000980675909123443,-0.0012716740310234301,0.00032987217396833197,2.71692512088802e-07,0.000329349805778613,-0.00274225281759214,-2.5252422756003e-05,-0.0027172238088291802,0.00012651681372383966,3.658839399460636e-05,8.991496505336764e-05,0.18870355515074413,9.507492554293756e-06,0.18869411900737298
8.762,0.00586015820043893,0.0393293519003356,-0.00246084672415085,-0.00119203329476803,-0.00126818716726665,0.00033087379096847597,5.142452786075521e-07,0.00033001387214516803,-0.00273319534463571,-3.32478938961248e-05,-0.00270026314910828,0.00016797579850888573,5.5806982207836346e-05,0.0001121457810489865,0.18904974296062088,1.3239735643655953e-05,0.18903660896476707
8.782,0.006781247156167829,0.0389494844721013,-0.00269287780108178,-0.00142742464831755,-0.00126460365156501,0.000331989901705187,8.65851452909663e-07,0.00033065528743093,-0.00272567175334839,-4.2964778952308896e-05,-0.00268314494191392,0.0002207234439331655,8.274574568144371e-05,0.0001379394427985653,0.18939158029700112,1.8054232623863823e-05,0.18937367941264613
8.802,0.007754384176993691,0.0385672002199571,-0.00294760600559173,-0.00168554213135534,-0.00126092949551769,0.00033326890543509,1.35434033872951e-06,0.000331288960626205,-0.00271984374934698,-5.45805751429909e-05,-0.00266586075219134,0.0002870816574768725,0.0001195177811060951,0.00016750211723282147,0.1897292673941689,2.415475169844887e-05,0.1897053307708266
8.822,0.00876758246843279,0.0381825216856452,-0.0032228918869127397,-0.0019642268927304697,-0.00125717232024088,0.000334761721721261,2.0095617107444e-06,0.000331929342020712,-0.00271585559959723,-6.82528269145886e-05,-0.0026484054687968897,0.00036956310987451405,0.0001684725636228561,0.00020099344150842003,0.19006301765144742,3.175866787478309e-05,0.19003156382960582
8.842,0.00980641328566625,0.0377954715992337,-0.00351569062678438,-0.002260411840561,-0.00125334157327791,0.000336521123444249,2.863128666146e-06,0.00033259050489411096,-0.00271382630508898,-8.41112928439304e-05,-0.00263077793212793,0.00047077994965214956,0.00023211372979862308,0.00023851728214566902,0.19039305416711622,4.109313950589825e-05,0.19035238023549333
