# Units: Wave vector during the probe pulse $\Delta k$ [$\pi/a$], Effective mass $m^{*}$ [$m_e$]
delta_k,effective_mass
0.0320611571237856,0.35815391459951407
0.033908639255702915,0.35815397159750556
0.03575612138762023,0.35815403871386975
0.037603603519537544,0.35815411708066447
0.03945108565145486,0.3581542078899905
0.041298567783372174,0.35815431239399254
0.04314604991528949,0.3581544319048585
0.044993532047206804,0.3581545677948198
0.04684101417912412,0.35815472149615135
0.04868849631104143,0.35815489450117133
0.05053597844295875,0.3581550883622416
0.05238346057487606,0.3581553046917673
0.05423094270679338,0.35815554516219716
0.05607842483871069,0.35815581150602316
0.05792590697062801,0.358156105515781
0.05977338910254532,0.35815642904404954
0.06162087123446264,0.3581567840034513
0.06346835336637996,0.3581571723666522
0.06531583549829727,0.35815759616636145
0.06716331763021458,0.35815805749533197
0.0690107997621319,0.35815855850635997
0.07085828189404922,0.3581591014122851
0.07270576402596653,0.35815968848599045
0.07455324615788383,0.35816032206040266
0.07640072828980116,0.35816100452849176
0.07824821042171848,0.35816173834327125
0.08009569255363579,0.358162526017798
0.0819431746855531,0.3581633701251724
0.08379065681747042,0.3581642732985384
0.08563813894938774,0.35816523823108304
0.08748562108130505,0.35816626767603715
0.08933310321322235,0.35816736444667485
0.09118058534513968,0.3581685314163139
0.093028067477057,0.35816977151831525
0.0948755496089743,0.3581710877460834
0.09672303174089161,0.35817248315306627
0.09857051387280893,0.35817396085275544
0.10041799600472626,0.3581755240186856
0.10226547813664356,0.3581771758844351
0.10411296026856087,0.35817891974362576
0.1059604424004782,0.35818075894992263
0.10780792453239552,0.3581826969170345
0.10965540666431282,0.3581847371187134
0.11150288879623013,0.35818688308875485
0.11335037092814745,0.3581891384209979
0.11519785306006478,0.35819150676932504
0.11704533519198208,0.358193991847662
0.11889281732389939,0.3581965974299782
0.12074029945581671,0.3581993273502864
0.12258778158773403,0.35820218550264293
0.12443526371965134,0.35820517584114747
0.12628274585156865,0.35820830237994294
0.12813022798348597,0.3582115691932162
0.1299777101154033,0.358214980415197
0.1318251922473206,0.358218540240159
0.1336726743792379,0.35822225292241905
0.13552015651115523,0.35822612277633753
0.13736763864307255,0.35823015417631826
0.13921512077498988,0.3582343515568085
0.14106260290690717,0.358238719412299
0.1429100850388245,0.35824326229732395
0.1447575671707418,0.35824798482646086
0.1466050493026591,0.3582528916743309
0.14845253143457643,0.35825798757559835
0.15030001356649375,0.3582632773249715
0.15214749569841107,0.35826876577720146
0.1539949778303284,0.3582744578470833
0.1558424599622457,0.35828035850945517
0.157689942094163,0.3582864727991989
0.15953742422608033,0.3582928058112396
0.16138490635799763,0.358299362700546
0.16323238848991495,0.3583061486821302
0.16507987062183227,0.3583131690310476
0.1669273527537496,0.3583204290823974
0.1687748348856669,0.35832793423132187
0.1706223170175842,0.35833568993300696
0.17246979914950153,0.35834370170268204
0.17431728128141885,0.35835197511561984
0.17616476341333615,0.3583605158071365
0.17801224554525347,0.35836932947259187
0.1798597276771708,0.358378421867389
0.1817072098090881,0.35838779880697447
0.18355469194100543,0.3583974661668382
0.18540217407292273,0.35840742988251384
0.18724965620484005,0.3584176959495782
0.18909713833675737,0.35842827042365166
0.19094462046867466,0.358439159420398
0.19279210260059199,0.35845036911552464
0.1946395847325093,0.35846190574478204
0.19648706686442663,0.35847377560396454
0.19833454899634395,0.3584859850489097
0.20018203112826125,0.35849854049549856
0.20202951326017857,0.35851144841965565
0.2038769953920959,0.3585247153573489
0.20572447752401318,0.35853834790458977
0.2075719596559305,0.3585523527174329
0.20941944178784783,0.3585667365119769
0.21126692391976515,0.3585815060643633
0.21311440605168247,0.3585966682107773
0.21496188818359976,0.35861222984744767
0.21680937031551709,0.3586281979306464
0.2186568524474344,0.358644579476689
0.2205043345793517,0.3586613815619345
0.22235181671126902,0.35867861132278533
0.22419929884318635,0.35869627595568737
0.22604678097510367,0.35871438271712996
0.227894263107021,0.3587329389236458
0.22974174523893828,0.3587519519518113
0.2315892273708556,0.35877142923824595
0.23343670950277293,0.3587913782796129
0.23528419163469022,0.35881180663261875
0.23713167376660754,0.35883272191401355
0.23897915589852486,0.3588541318005908
0.24082663803044219,0.35887604402918727
0.2426741201623595,0.3588984663966835
0.2445216022942768,0.3589214067600031
0.24636908442619412,0.35894487303611344
0.24821656655811145,0.35896887320202525
0.25006404869002874,0.3589934152947926
0.25191153082194606,0.3590185074115132
0.2537590129538634,0.359044157709328
0.2556064950857807,0.35907037440542167
0.257453977217698,0.35909716577702194
