# Fourier-transform spectra: 
# sigma: Conductivity
# eps: Dielectric constant
# 1:Energy[eV] 2:Re(sigma_x)[1/fs*V*Angstrom] 3:Re(sigma_y)[1/fs*V*Angstrom] 4:Re(sigma_z)[1/fs*V*Angstrom] 5:Im(sigma_x)[1/fs*V*Angstrom] 6:Im(sigma_y)[1/fs*V*Angstrom] 7:Im(sigma_z)[1/fs*V*Angstrom] 8:Re(eps_x)[none] 9:Re(eps_y)[none] 10:Re(eps_z)[none] 11:Im(eps_x)[none] 12:Im(eps_y)[none] 13:Im(eps_z)[none]
      0.21000000 -0.784603606219772E-003  0.123822501901401E-002  0.877650723345760E-002 -0.181431702637276E-002 -0.327718212845911E-004  0.725512495361866E-003  0.294455466726220E+001  0.103512429035682E+001  0.222407832531079E+000 -0.840925032531744E+000  0.132710888165905E+001  0.940651377626109E+001
      0.22000000 -0.619244782118284E-003  0.139064564074882E-002  0.841987340678870E-002 -0.164981680585576E-002  0.269061348315504E-003 -0.733257664656852E-003  0.268787125828365E+001  0.724732518831859E+000  0.175017088727528E+001 -0.633528198930803E+000  0.142272208595903E+001  0.861408507372662E+001
      0.23000000 -0.528238875327563E-003  0.145731674142827E-002  0.818228544617377E-002 -0.147492945518793E-002  0.622111278201957E-003 -0.213305950884756E-002  0.244334345867123E+001  0.391211396043360E+000  0.308737948667470E+001 -0.516926502917210E+000  0.142610792574113E+001  0.800705968287201E+001
      0.24000000 -0.500703450669420E-003  0.142372051976828E-002  0.803149801177660E-002 -0.132087772503346E-002  0.978381194197784E-003 -0.344860541645135E-002  0.223873283681441E+001  0.824639637678816E-001  0.423413794449909E+001 -0.469564891659285E+000  0.133517987687981E+001  0.753202217544047E+001
      0.25000000 -0.514558749269169E-003  0.130358709944141E-002  0.793290830413973E-002 -0.120863588955064E-002  0.129132725779715E-002 -0.466967415237042E-002  0.208813242765285E+001 -0.162579297925307E+000  0.520409812061409E+001 -0.463256193079326E+000  0.117361680836691E+001  0.714198117560478E+001
      0.26000000 -0.542740152212872E-003  0.113186489815560E-002  0.785324786166935E-002 -0.114591286001754E-002  0.153069631767326E-002 -0.579672208454840E-002  0.199198366540402E+001 -0.325079590958353E+000  0.601805488130288E+001 -0.469834473753807E+000  0.979822750568797E+000  0.679832984772141E+001
      0.27000000 -0.559641738598209E-003  0.951529269445202E-003  0.776077582837990E-002 -0.112718455774803E-002  0.169005109683896E-002 -0.683906726372762E-002  0.193963144413251E+001 -0.408842182821602E+000  0.670110955243615E+001 -0.466522515253813E+000  0.793203575614472E+000  0.646945431347850E+001
      0.28000000 -0.546580399219036E-003  0.799590322028954E-003  0.762629190727488E-002 -0.113633772007201E-002  0.178571033694587E-002 -0.781613250654727E-002  0.191343083307624E+001 -0.435420871715813E+000  0.728290014559876E+001 -0.439361802906756E+000  0.642740658053951E+000  0.613029915939363E+001
      0.29000000 -0.495477571067833E-003  0.696799010246504E-003  0.742744147207684E-002 -0.115119166862256E-002  0.184881873641923E-002 -0.875879839245571E-002  0.189346164883348E+001 -0.434903223901768E+000  0.779786925741672E+001 -0.384549523482888E+000  0.540798903926485E+000  0.576457794573544E+001
      0.30000000 -0.410268968715788E-003  0.643575786121463E-003  0.715526465977833E-002 -0.114908084518770E-002  0.191395733120404E-002 -0.970727548675257E-002  0.186209595217599E+001 -0.435943236525742E+000  0.828286694433550E+001 -0.307803596861388E+000  0.482841640305268E+000  0.536822515645989E+001
