# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.865026927883626E+003  0.000000000000000E+000 
      0.02000000 -0.865026927887518E+003 -0.389249240005967E-008 
      0.04000000 -0.865026927887516E+003 -0.388988219504274E-008 
      0.06000000 -0.865026927887030E+003 -0.340457741041380E-008 
      0.08000000 -0.865026927885116E+003 -0.149062041318597E-008 
      0.10000000 -0.865026927879854E+003  0.377155290094198E-008 
      0.12000000 -0.865026927867941E+003  0.156850119695033E-007 
      0.14000000 -0.865026927844248E+003  0.393777462339038E-007 
      0.16000000 -0.865026927801373E+003  0.822528771677122E-007 
      0.18000000 -0.865026927729199E+003  0.154427366068024E-006 
      0.20000000 -0.865026927614470E+003  0.269156220707841E-006 
      0.22000000 -0.865026927440400E+003  0.443225862899552E-006 
      0.24000000 -0.865026927186329E+003  0.697297225443264E-006 
      0.26000000 -0.865026926827436E+003  0.105619016779939E-005 
      0.28000000 -0.865026926334529E+003  0.154909654615744E-005 
      0.30000000 -0.865026925673911E+003  0.220971497735431E-005 
      0.32000000 -0.865026924807330E+003  0.307629617910213E-005 
      0.34000000 -0.865026923692017E+003  0.419160903732311E-005 
      0.36000000 -0.865026922280802E+003  0.560282353362076E-005 
      0.38000000 -0.865026920522317E+003  0.736130879275102E-005 
      0.40000000 -0.865026918361280E+003  0.952234547669906E-005 
      0.42000000 -0.865026915738838E+003  0.121447875214440E-004 
      0.44000000 -0.865026912592957E+003  0.152906684793726E-004 
      0.46000000 -0.865026908858875E+003  0.190247510172283E-004 
      0.48000000 -0.865026904469598E+003  0.234140277869070E-004 
      0.50000000 -0.865026899356428E+003  0.285271974509694E-004 
      0.52000000 -0.865026893449513E+003  0.344341129626386E-004 
      0.54000000 -0.865026886678408E+003  0.412052181482146E-004 
      0.56000000 -0.865026878972668E+003  0.489109582841111E-004 
      0.58000000 -0.865026870262451E+003  0.576211747226403E-004 
      0.60000000 -0.865026860479130E+003  0.674044961341985E-004 
      0.62000000 -0.865026849555861E+003  0.783277646488590E-004 
      0.64000000 -0.865026837428125E+003  0.904555004743215E-004 
      0.66000000 -0.865026824034214E+003  0.103849411564065E-003 
      0.68000000 -0.865026809315663E+003  0.118567962450151E-003 
      0.70000000 -0.865026793217610E+003  0.134666015388367E-003 
      0.72000000 -0.865026775689080E+003  0.152194545555860E-003 
      0.74000000 -0.865026756683193E+003  0.171200432524756E-003 
      0.76000000 -0.865026736157274E+003  0.191726351890318E-003 
      0.78000000 -0.865026714072892E+003  0.213810733701010E-003 
      0.80000000 -0.865026690395855E+003  0.237487771159181E-003 
      0.82000000 -0.865026665096158E+003  0.262787468281479E-003 
