# Real time calculation: 
# Ac_ext: External vector potential field
# E_ext: External electric field
# Ac_tot: Total vector potential field
# E_tot: Total electric field
# Jm: Matter current density (electrons)
# 1:Time[fs] 2:Ac_ext_x[fs*V/Angstrom] 3:Ac_ext_y[fs*V/Angstrom] 4:Ac_ext_z[fs*V/Angstrom] 5:E_ext_x[V/Angstrom] 6:E_ext_y[V/Angstrom] 7:E_ext_z[V/Angstrom] 8:Ac_tot_x[fs*V/Angstrom] 9:Ac_tot_y[fs*V/Angstrom] 10:Ac_tot_z[fs*V/Angstrom] 11:E_tot_x[V/Angstrom] 12:E_tot_y[V/Angstrom] 13:E_tot_z[V/Angstrom]  14:Jm_x[1/fs*Angstrom^2] 15:Jm_y[1/fs*Angstrom^2] 16:Jm_z[1/fs*Angstrom^2] 
      0.00200000 -0.000000000000000E+000 -0.000000000000000E+000 -0.223136304087688E-009  0.000000000000000E+000  0.000000000000000E+000  0.111568156016748E-006 -0.000000000000000E+000 -0.000000000000000E+000 -0.223136304087688E-009  0.000000000000000E+000  0.000000000000000E+000  0.111568156016748E-006  -0.564801906561002E-009 -0.143232825625025E-008 -0.183751035191203E-008 
      0.00400000 -0.000000000000000E+000 -0.000000000000000E+000 -0.165369814259045E-008 -0.000000000000000E+000 -0.000000000000000E+000  0.715280944722294E-006  0.000000000000000E+000  0.000000000000000E+000 -0.165369814259045E-008 -0.000000000000000E+000 -0.000000000000000E+000  0.715280944722294E-006  -0.581883780829410E-009 -0.146306445609625E-008 -0.670937656657022E-008 
      0.00600000 -0.000000000000000E+000 -0.000000000000000E+000 -0.543332992861903E-008 -0.000000000000000E+000 -0.000000000000000E+000  0.188981596031000E-005  0.000000000000000E+000  0.000000000000000E+000 -0.543332992861903E-008 -0.000000000000000E+000 -0.000000000000000E+000  0.188981596031000E-005  -0.599219782338462E-009 -0.148505882468513E-008 -0.194648637531166E-007 
      0.00800000 -0.000000000000000E+000 -0.000000000000000E+000 -0.127034931325088E-007 -0.000000000000000E+000 -0.000000000000000E+000  0.363508173138890E-005  0.000000000000000E+000  0.000000000000000E+000 -0.127034931325088E-007 -0.000000000000000E+000 -0.000000000000000E+000  0.363508173138890E-005  -0.619712071754695E-009 -0.150057982774650E-008 -0.438448660996688E-007 
      0.01000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.246053792386029E-007 -0.000000000000000E+000 -0.000000000000000E+000  0.595094326495813E-005  0.000000000000000E+000  0.000000000000000E+000 -0.246053792386029E-007 -0.000000000000000E+000 -0.000000000000000E+000  0.595094326495813E-005  -0.642035396465750E-009 -0.151649735886707E-008 -0.835387782549752E-007 
      0.01200000 -0.000000000000000E+000 -0.000000000000000E+000 -0.422798227156206E-007 -0.000000000000000E+000 -0.000000000000000E+000  0.883722205319937E-005  0.000000000000000E+000  0.000000000000000E+000 -0.422798227156206E-007 -0.000000000000000E+000 -0.000000000000000E+000  0.883722205319937E-005  -0.661146455429618E-009 -0.153774576095401E-008 -0.142182471064048E-006 
      0.01400000 -0.000000000000000E+000 -0.000000000000000E+000 -0.668672140048877E-007 -0.000000000000000E+000 -0.000000000000000E+000  0.122936960824079E-004  0.000000000000000E+000  0.000000000000000E+000 -0.668672140048877E-007 -0.000000000000000E+000 -0.000000000000000E+000  0.122936960824079E-004  -0.672695597668252E-009 -0.156271234309707E-008 -0.223365339900806E-006 
      0.01600000 -0.000000000000000E+000 -0.000000000000000E+000 -0.995074125308448E-007 -0.000000000000000E+000 -0.000000000000000E+000  0.163200998441318E-004  0.000000000000000E+000  0.000000000000000E+000 -0.995074125308448E-007 -0.000000000000000E+000 -0.000000000000000E+000  0.163200998441318E-004  -0.676888166557281E-009 -0.158532771521864E-008 -0.330634469565943E-006 
      0.01800000 -0.000000000000000E+000 -0.000000000000000E+000 -0.141339659738171E-006 -0.000000000000000E+000 -0.000000000000000E+000  0.209161243484790E-004  0.000000000000000E+000  0.000000000000000E+000 -0.141339659738171E-006 -0.000000000000000E+000 -0.000000000000000E+000  0.209161243484790E-004  -0.677863163883204E-009 -0.160173424483999E-008 -0.467488867207909E-006 
      0.02000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.193502492159729E-006 -0.000000000000000E+000 -0.000000000000000E+000  0.260814171395297E-004  0.000000000000000E+000  0.000000000000000E+000 -0.193502492159729E-006 -0.000000000000000E+000 -0.000000000000000E+000  0.260814171395297E-004  -0.679247415686500E-009 -0.161464751437047E-008 -0.637368114988562E-006 
      0.02200000 -0.000000000000000E+000 -0.000000000000000E+000 -0.257133654519969E-006 -0.000000000000000E+000 -0.000000000000000E+000  0.318155823130624E-004  0.000000000000000E+000  0.000000000000000E+000 -0.257133654519969E-006 -0.000000000000000E+000 -0.000000000000000E+000  0.318155823130624E-004  -0.680493855294232E-009 -0.163081370462895E-008 -0.843646429574135E-006 
