# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,fid_signal,fid_exp_fit,normalized_fid
14.352,0.002568313802230306,0.0059060487664109535,0.4248826648961338
14.362,0.0023863433281252375,0.005895091785431795,0.39684898355397374
14.372,0.002197756440123397,0.0058841551319908925,0.36759923736304667
14.382,0.0020026703907484442,0.005873238768376326,0.33714691759214344
14.392,0.001801232746275912,0.005862342656946142,0.3055107895802121
14.402,0.0015936196809252308,0.005851466760128207,0.27271465275745405
14.412,0.0013800367053023678,0.005840611040420103,0.2387874842734346
14.422,0.001160720491138904,0.005829775460388992,0.20376375611662673
14.432,0.0009359384613462519,0.005818959982671468,0.16768339406156574
14.442,0.0007059854387345462,0.00580816456997345,0.13059126153857653
14.452,0.00047118030210482496,0.005797389185070044,0.09253663696243566
14.462,0.00023186522447311798,0.005786633790805421,0.05357309899464818
14.472,-1.1594220642895418e-05,0.005775898350092674,0.01375854913086399
14.482,-0.00025881067235712673,0.005765182825913708,-0.026845044246769152
14.492,-0.0005093764305391278,0.0057544871813191,-0.06817188004372268
14.502,-0.0007628630604949393,0.005743811379427982,-0.11015226396902922
14.512,-0.0010188208892336608,0.005733155383427899,-0.15271252982302153
14.522,-0.0012767813099478725,0.0057225191565747,-0.19577541563288176
14.532,-0.0015362620802248108,0.0057119026621924,-0.23926092979580998
14.542,-0.0017967704754848198,0.005701305863673048,-0.2830868758676258
14.552,-0.002057799322316741,0.0056907287244766175,-0.32716822027988524
14.562,-0.002318820917952308,0.005680171208130868,-0.37141610702032735
14.572,-0.0025792884679509236,0.005669633278231227,-0.41573809026102493
14.582,-0.0028386431027643717,0.005659114898440649,-0.4600392805456719
14.592,-0.0030963158905482776,0.005648616032489516,-0.5042226792125929
14.602,-0.00335172289427757,0.005638136644175491,-0.5481883717538912
14.612,-0.003604263024400598,0.005627676697363395,-0.5918331715880276
14.622,-0.0038533228214246533,0.005617236155985097,-0.6350514001484756
14.632,-0.0040982799101804005,0.0056068149840393725,-0.6777354523258368
14.642,-0.004338499637391989,0.005596413145591792,-0.7197752365908301
14.652,-0.004573330019629056,0.005586030604774592,-0.7610573249810559
14.662,-0.004802103257051606,0.005575667325786543,-0.801465179979199
14.672,-0.005024142363533476,0.005565323272892847,-0.8408802328773527
14.682,-0.005238764041662528,0.005554998410424996,-0.8791823479604238
14.692,-0.005445276790889153,0.005544692702780648,-0.9162494944173605
14.702,-0.005642980702385187,0.005534406114423522,-0.9519576919447355
14.712,-0.005831171113453014,0.00552413860988326,-0.9861815969607907
14.722,-0.006009142828895023,0.005513890153755308,-1.0187951883804718
14.732,-0.006176192850989198,0.005503660710700794,-1.049672211078405
14.742,-0.006331621716923393,0.005493450245446407,-1.0786863886164497
14.752,-0.006474734610950978,0.005483258722784283,-1.1057115954004728
14.762,-0.006604844702252343,0.0054730861075718675,-1.130622402421264
14.772,-0.006721279583280816,0.005462932364731805,-1.1532951537477698
14.782,-0.0068233873017529666,0.005452797459251818,-1.1736089878603684
14.792,-0.006910538369931411,0.005442681356184585,-1.191446186673773
14.802,-0.006982126166696225,0.005432584020647613,-1.2066922522653583
14.812,-0.007037570610207882,0.0054225054178231305,-1.2192365390459925
14.822,-0.007076324158224983,0.005412445512957957,-1.2289732894542136
14.832,-0.0070978769500880945,0.005402404271363388,-1.2358025359404354
14.842,-0.007101761985092745,0.005392381658415072,-1.239631020790707
14.852,-0.007087559353173407,0.005382377639552897,-1.2403729627393958
14.862,-0.007054896437769928,0.005372392180280862,-1.237950138068319
14.872,-0.007003447432345213,0.0053624252461669675,-1.232291844559605
14.882,-0.006932937506483385,0.005352476802843089,-1.223335668339645
14.892,-0.0068431497185699386,0.005342546816004869,-1.2110287343391408
14.902,-0.006733930329768966,0.005332635251411585,-1.1953286941842416
14.912,-0.006605191063381016,0.005322742074886037,-1.1762041960640963
14.922,-0.006456910159026679,0.005312867252314439,-1.153635150494531
14.932,-0.006289134714570546,0.005303010749646292,-1.1276132225885893
14.942,-0.006101982264604112,0.00529317253289426,-1.0981421972016452
14.952,-0.005895640219570905,0.005283352568134066,-1.0652379755749315
14.962,-0.0056703670169769415,0.005273550821504372,-1.028928870684477
14.972,-0.0054264964669812265,0.005263767259206659,-0.9892564635009266
14.982,-0.00516444107319765,0.0052540018475051055,-0.9462762887896706
14.992,-0.00488469125484438,0.005244254552726482,-0.9000578104404174
15.002,-0.004587812982464936,0.005234525341260036,-0.850684118277574
15.012,-0.004274446371015312,0.005224814179557358,-0.798251787849509
15.022,-0.003945304645908949,0.005215121034132285,-0.7428708016289518
15.032,-0.0036011750640651003,0.005205445871560778,-0.6846648158580229
15.042,-0.0032429207795724793,0.005195788658480805,-0.62377160020975
15.052,-0.002871478383298331,0.005186149361592231,-0.5603427145265034
15.062,-0.0024878513982234036,0.005176527947656692,-0.49454246096163057
15.072,-0.002093104458320525,0.005166924383497495,-0.4265469459862011
15.082,-0.0016883594755369334,0.005157338635999497,-0.35654348908961414
15.092,-0.001274793780479926,0.005147770672108988,-0.28473037935434464
15.102,-0.0008536393273842579,0.005138220458833579,-0.21131681954521864
15.112,-0.00042617870659302176,0.0051286879632420936,-0.13652229687245784
