# Fourier-transform spectra: 
# sigma: Conductivity
# eps: Dielectric constant
# 1:Energy[eV] 2:Re(sigma_x)[1/fs*V*Angstrom] 3:Re(sigma_y)[1/fs*V*Angstrom] 4:Re(sigma_z)[1/fs*V*Angstrom] 5:Im(sigma_x)[1/fs*V*Angstrom] 6:Im(sigma_y)[1/fs*V*Angstrom] 7:Im(sigma_z)[1/fs*V*Angstrom] 8:Re(eps_x)[none] 9:Re(eps_y)[none] 10:Re(eps_z)[none] 11:Im(eps_x)[none] 12:Im(eps_y)[none] 13:Im(eps_z)[none]
      0.01000000  0.432178374857372E-002  0.632540200118205E-002  0.353470955845243E-001 -0.172089034012747E-004 -0.478503826737522E-004  0.323713114398726E-002  0.138732851632915E+001  0.207699004954805E+001 -0.718595642573361E+002  0.972723274805814E+002  0.142368663195692E+003  0.795572952561538E+003
      0.02000000  0.439117714777666E-002  0.656398073521439E-002  0.335608522493647E-001 -0.268930328555779E-004 -0.802592025432200E-005  0.587215628038979E-002  0.130264678325670E+001  0.109032149555945E+001 -0.650836291163037E+002  0.494170979384083E+002  0.738692309469115E+002  0.377684585861680E+003
      0.03000000  0.451037136419138E-002  0.689615726879582E-002  0.311113057700930E-001 -0.193412307800935E-004  0.188820474956639E-003  0.751266444131735E-002  0.114510725538112E+001 -0.416622405897614E+000 -0.553636373544999E+002  0.338389845428563E+002  0.517383027651703E+002  0.233412043057123E+003
      0.04000000  0.468335141194455E-002  0.723746109464616E-002  0.285712747179863E-001  0.204621256856871E-004  0.578680039193921E-003  0.809594166443009E-002  0.884862437222602E+000 -0.225615287307721E+001 -0.445547486096466E+002  0.263525733095541E+002  0.407241966907024E+002  0.160766627426859E+003
      0.05000000  0.491058304016238E-002  0.749491411197953E-002  0.264070145134887E-001  0.115830667642037E-003  0.115553335337136E-002  0.787179072163000E-002  0.478589430168086E+000 -0.420162161288003E+001 -0.344347857032733E+002  0.221049395060964E+002  0.337382794860990E+002  0.118870906689316E+003
      0.06000000  0.518132543023289E-002  0.758711392941409E-002  0.248286897036474E-001  0.298062032551846E-003  0.187141022117395E-002  0.726397760359581E-002 -0.118102668042998E+000 -0.602011169749896E+001 -0.262489342894497E+002  0.194364030129692E+002  0.284610966871418E+002  0.931384113702273E+002
      0.07000000  0.546554963791087E-002  0.746260567361132E-002  0.237612330608373E-001  0.599649213210372E-003  0.264597132066963E-002  0.667933146810358E-002 -0.928082015411946E+000 -0.750772352283421E+001 -0.204763875194272E+002  0.175736542782725E+002  0.239948881286254E+002  0.764006774616407E+002
      0.08000000  0.571097622086022E-002  0.711186969353625E-002  0.229353799668137E-001  0.104089712673348E-002  0.338412261881789E-002  0.635152062864551E-002 -0.192849237940903E+001 -0.852099592329018E+001 -0.168695658590383E+002  0.160674382820711E+002  0.200087555878168E+002  0.645271119754587E+002
      0.09000000  0.585014872151697E-002  0.656930084783302E-002  0.220447349997444E-001  0.161448497395017E-002  0.399768362072718E-002  0.628271344859295E-002 -0.303754869735048E+001 -0.899751781882151E+001 -0.147119836415249E+002  0.146302138025327E+002  0.164286893397190E+002  0.551300832883452E+002
      0.10000000  0.581814690203263E-002  0.590407016442256E-002  0.208907936749839E-001  0.227578477770213E-002  0.442540784122351E-002  0.629512266568660E-002 -0.412221099089054E+001 -0.896046414651566E+001 -0.131687152595079E+002  0.130951644901581E+002  0.132885558351126E+002  0.470198474033535E+002
