# Real time calculation: 
# Ac_ext: External vector potential field
# E_ext: External electric field
# Ac_tot: Total vector potential field
# E_tot: Total electric field
# Jm: Matter current density (electrons)
# 1:Time[fs] 2:Ac_ext_x[fs*V/Angstrom] 3:Ac_ext_y[fs*V/Angstrom] 4:Ac_ext_z[fs*V/Angstrom] 5:E_ext_x[V/Angstrom] 6:E_ext_y[V/Angstrom] 7:E_ext_z[V/Angstrom] 8:Ac_tot_x[fs*V/Angstrom] 9:Ac_tot_y[fs*V/Angstrom] 10:Ac_tot_z[fs*V/Angstrom] 11:E_tot_x[V/Angstrom] 12:E_tot_y[V/Angstrom] 13:E_tot_z[V/Angstrom]  14:Jm_x[1/fs*Angstrom^2] 15:Jm_y[1/fs*Angstrom^2] 16:Jm_z[1/fs*Angstrom^2] 
      0.00200000  0.780500017464097E-009  0.000000000000000E+000  0.000000000000000E+000 -0.390250022628720E-006  0.000000000000000E+000  0.000000000000000E+000  0.780500017464097E-009  0.000000000000000E+000  0.000000000000000E+000 -0.390250022628720E-006  0.000000000000000E+000  0.000000000000000E+000   0.271409625456870E-008 -0.673074832937722E-011 -0.163997022516121E-010 
      0.00400000  0.308269510780843E-008  0.000000000000000E+000  0.000000000000000E+000 -0.115109758616236E-005  0.000000000000000E+000  0.000000000000000E+000  0.308269510780843E-008  0.000000000000000E+000  0.000000000000000E+000 -0.115109758616236E-005  0.000000000000000E+000  0.000000000000000E+000   0.104602975785030E-007 -0.253777295632256E-011 -0.946044119792946E-011 
      0.00600000  0.684762679474952E-008  0.000000000000000E+000  0.000000000000000E+000 -0.188246591050452E-005  0.000000000000000E+000  0.000000000000000E+000  0.684762679474952E-008  0.000000000000000E+000  0.000000000000000E+000 -0.188246591050452E-005  0.000000000000000E+000  0.000000000000000E+000   0.229812591316888E-007  0.250185077682933E-011 -0.379415763739129E-011 
      0.00800000  0.120163352670296E-007  0.000000000000000E+000  0.000000000000000E+000 -0.258435432816801E-005  0.000000000000000E+000  0.000000000000000E+000  0.120163352670296E-007  0.000000000000000E+000  0.000000000000000E+000 -0.258435432816801E-005  0.000000000000000E+000  0.000000000000000E+000   0.400411861606661E-007  0.784064068976236E-011 -0.980816937194934E-012 
      0.01000000  0.185298594317828E-007  0.000000000000000E+000  0.000000000000000E+000 -0.325676219834881E-005  0.000000000000000E+000  0.000000000000000E+000  0.185298594317828E-007  0.000000000000000E+000  0.000000000000000E+000 -0.325676219834881E-005  0.000000000000000E+000  0.000000000000000E+000   0.613969451776750E-007  0.124663127702341E-010 -0.734266508700359E-012 
      0.01200000  0.263292369678408E-007  0.000000000000000E+000  0.000000000000000E+000 -0.389968890689561E-005  0.000000000000000E+000  0.000000000000000E+000  0.263292369678408E-007  0.000000000000000E+000  0.000000000000000E+000 -0.389968890689561E-005  0.000000000000000E+000  0.000000000000000E+000   0.868014659853315E-007  0.159045039947058E-010 -0.135263160200431E-011 
      0.01400000  0.353555043790596E-007  0.000000000000000E+000  0.000000000000000E+000 -0.451313386632058E-005  0.000000000000000E+000  0.000000000000000E+000  0.353555043790596E-007  0.000000000000000E+000  0.000000000000000E+000 -0.451313386632058E-005  0.000000000000000E+000  0.000000000000000E+000   0.116007344602340E-006  0.188601463793761E-010 -0.204503283837920E-011 
      0.01600000  0.455496970476788E-007  0.000000000000000E+000  0.000000000000000E+000 -0.509709651581549E-005  0.000000000000000E+000  0.000000000000000E+000  0.455496970476788E-007  0.000000000000000E+000  0.000000000000000E+000 -0.509709651581549E-005  0.000000000000000E+000  0.000000000000000E+000   0.148768944212886E-006  0.222411733137750E-010 -0.294310421441264E-011 
      0.01800000  0.568528492876771E-007  0.000000000000000E+000  0.000000000000000E+000 -0.565157632124985E-005  0.000000000000000E+000  0.000000000000000E+000  0.568528492876771E-007  0.000000000000000E+000  0.000000000000000E+000 -0.565157632124985E-005  0.000000000000000E+000  0.000000000000000E+000   0.184843745150881E-006  0.257658161937940E-010 -0.345053737356293E-011 
      0.02000000  0.692059943980303E-007  0.000000000000000E+000  0.000000000000000E+000 -0.617657277512229E-005  0.000000000000000E+000  0.000000000000000E+000  0.692059943980303E-007  0.000000000000000E+000  0.000000000000000E+000 -0.617657277512229E-005  0.000000000000000E+000  0.000000000000000E+000   0.223994083739408E-006  0.282636130314169E-010 -0.220707499616389E-011 
      0.02200000  0.825501647161341E-007  0.000000000000000E+000  0.000000000000000E+000 -0.667208539664262E-005  0.000000000000000E+000  0.000000000000000E+000  0.825501647161341E-007  0.000000000000000E+000  0.000000000000000E+000 -0.667208539664262E-005  0.000000000000000E+000  0.000000000000000E+000   0.265988375108348E-006  0.292123548612344E-010  0.119104952474836E-011 
      0.02400000  0.968263916711124E-007  0.000000000000000E+000  0.000000000000000E+000 -0.713811373167495E-005  0.000000000000000E+000  0.000000000000000E+000  0.968263916711124E-007  0.000000000000000E+000  0.000000000000000E+000 -0.713811373167495E-005  0.000000000000000E+000  0.000000000000000E+000   0.310600788222514E-006  0.292461144670726E-010  0.590428909917424E-011 
      0.02600000  0.111975705837118E-006  0.000000000000000E+000  0.000000000000000E+000 -0.757465735273380E-005  0.000000000000000E+000  0.000000000000000E+000  0.111975705837118E-006  0.000000000000000E+000  0.000000000000000E+000 -0.757465735273380E-005  0.000000000000000E+000  0.000000000000000E+000   0.357610057898266E-006  0.290162050185870E-010  0.116077312665926E-010 
      0.02800000  0.127939136986743E-006  0.000000000000000E+000  0.000000000000000E+000 -0.798171585903850E-005  0.000000000000000E+000  0.000000000000000E+000  0.127939136986743E-006  0.000000000000000E+000  0.000000000000000E+000 -0.798171585903850E-005  0.000000000000000E+000  0.000000000000000E+000   0.406798615120235E-006  0.282256484508865E-010  0.194501076413769E-010 
      0.03000000  0.144657714144313E-006  0.000000000000000E+000  0.000000000000000E+000 -0.835928887645687E-005  0.000000000000000E+000  0.000000000000000E+000  0.144657714144313E-006  0.000000000000000E+000  0.000000000000000E+000 -0.835928887645687E-005  0.000000000000000E+000  0.000000000000000E+000   0.457952288263515E-006  0.262082349908953E-010  0.306682139612011E-010 
      0.03200000  0.162072465639240E-006  0.000000000000000E+000  0.000000000000000E+000 -0.870737605753015E-005  0.000000000000000E+000  0.000000000000000E+000  0.162072465639240E-006  0.000000000000000E+000  0.000000000000000E+000 -0.870737605753015E-005  0.000000000000000E+000  0.000000000000000E+000   0.510860139139010E-006  0.231008882081036E-010  0.448108838616622E-010 
      0.03400000  0.180124419159366E-006  0.000000000000000E+000  0.000000000000000E+000 -0.902597708147478E-005  0.000000000000000E+000  0.000000000000000E+000  0.180124419159366E-006  0.000000000000000E+000  0.000000000000000E+000 -0.902597708147478E-005  0.000000000000000E+000  0.000000000000000E+000   0.565314162328773E-006  0.200558546878857E-010  0.598852135149294E-010 
