# k-point distribution
# ik: k-point index
# kx,ky,kz: Reduced coordinate of k-points
# wk: Weight of k-point
# 1:ik[none] 2:kx[none] 3:ky[none] 4:kz[none] 5:wk[none]
     1 -0.333333333333333E+000 -0.333333333333333E+000 -0.416666666666667E+000  0.185185185185185E-001
     2  0.000000000000000E+000 -0.333333333333333E+000 -0.416666666666667E+000  0.185185185185185E-001
     3  0.333333333333333E+000 -0.333333333333333E+000 -0.416666666666667E+000  0.185185185185185E-001
     4 -0.333333333333333E+000  0.000000000000000E+000 -0.416666666666667E+000  0.185185185185185E-001
     5  0.000000000000000E+000  0.000000000000000E+000 -0.416666666666667E+000  0.185185185185185E-001
     6  0.333333333333333E+000  0.000000000000000E+000 -0.416666666666667E+000  0.185185185185185E-001
     7 -0.333333333333333E+000  0.333333333333333E+000 -0.416666666666667E+000  0.185185185185185E-001
     8  0.000000000000000E+000  0.333333333333333E+000 -0.416666666666667E+000  0.185185185185185E-001
     9  0.333333333333333E+000  0.333333333333333E+000 -0.416666666666667E+000  0.185185185185185E-001
    10 -0.333333333333333E+000 -0.333333333333333E+000 -0.250000000000000E+000  0.185185185185185E-001
    11  0.000000000000000E+000 -0.333333333333333E+000 -0.250000000000000E+000  0.185185185185185E-001
    12  0.333333333333333E+000 -0.333333333333333E+000 -0.250000000000000E+000  0.185185185185185E-001
    13 -0.333333333333333E+000  0.000000000000000E+000 -0.250000000000000E+000  0.185185185185185E-001
    14  0.000000000000000E+000  0.000000000000000E+000 -0.250000000000000E+000  0.185185185185185E-001
    15  0.333333333333333E+000  0.000000000000000E+000 -0.250000000000000E+000  0.185185185185185E-001
    16 -0.333333333333333E+000  0.333333333333333E+000 -0.250000000000000E+000  0.185185185185185E-001
    17  0.000000000000000E+000  0.333333333333333E+000 -0.250000000000000E+000  0.185185185185185E-001
    18  0.333333333333333E+000  0.333333333333333E+000 -0.250000000000000E+000  0.185185185185185E-001
    19 -0.333333333333333E+000 -0.333333333333333E+000 -0.833333333333333E-001  0.185185185185185E-001
    20  0.000000000000000E+000 -0.333333333333333E+000 -0.833333333333333E-001  0.185185185185185E-001
    21  0.333333333333333E+000 -0.333333333333333E+000 -0.833333333333333E-001  0.185185185185185E-001
    22 -0.333333333333333E+000  0.000000000000000E+000 -0.833333333333333E-001  0.185185185185185E-001
    23  0.000000000000000E+000  0.000000000000000E+000 -0.833333333333333E-001  0.185185185185185E-001
    24  0.333333333333333E+000  0.000000000000000E+000 -0.833333333333333E-001  0.185185185185185E-001
    25 -0.333333333333333E+000  0.333333333333333E+000 -0.833333333333333E-001  0.185185185185185E-001
    26  0.000000000000000E+000  0.333333333333333E+000 -0.833333333333333E-001  0.185185185185185E-001
    27  0.333333333333333E+000  0.333333333333333E+000 -0.833333333333333E-001  0.185185185185185E-001
    28 -0.333333333333333E+000 -0.333333333333333E+000  0.833333333333334E-001  0.185185185185185E-001
    29  0.000000000000000E+000 -0.333333333333333E+000  0.833333333333334E-001  0.185185185185185E-001
    30  0.333333333333333E+000 -0.333333333333333E+000  0.833333333333334E-001  0.185185185185185E-001
    31 -0.333333333333333E+000  0.000000000000000E+000  0.833333333333334E-001  0.185185185185185E-001
    32  0.000000000000000E+000  0.000000000000000E+000  0.833333333333334E-001  0.185185185185185E-001
    33  0.333333333333333E+000  0.000000000000000E+000  0.833333333333334E-001  0.185185185185185E-001
    34 -0.333333333333333E+000  0.333333333333333E+000  0.833333333333334E-001  0.185185185185185E-001
    35  0.000000000000000E+000  0.333333333333333E+000  0.833333333333334E-001  0.185185185185185E-001
    36  0.333333333333333E+000  0.333333333333333E+000  0.833333333333334E-001  0.185185185185185E-001
    37 -0.333333333333333E+000 -0.333333333333333E+000  0.250000000000000E+000  0.185185185185185E-001
    38  0.000000000000000E+000 -0.333333333333333E+000  0.250000000000000E+000  0.185185185185185E-001
    39  0.333333333333333E+000 -0.333333333333333E+000  0.250000000000000E+000  0.185185185185185E-001
    40 -0.333333333333333E+000  0.000000000000000E+000  0.250000000000000E+000  0.185185185185185E-001
    41  0.000000000000000E+000  0.000000000000000E+000  0.250000000000000E+000  0.185185185185185E-001
    42  0.333333333333333E+000  0.000000000000000E+000  0.250000000000000E+000  0.185185185185185E-001
    43 -0.333333333333333E+000  0.333333333333333E+000  0.250000000000000E+000  0.185185185185185E-001
    44  0.000000000000000E+000  0.333333333333333E+000  0.250000000000000E+000  0.185185185185185E-001
    45  0.333333333333333E+000  0.333333333333333E+000  0.250000000000000E+000  0.185185185185185E-001
    46 -0.333333333333333E+000 -0.333333333333333E+000  0.416666666666667E+000  0.185185185185185E-001
    47  0.000000000000000E+000 -0.333333333333333E+000  0.416666666666667E+000  0.185185185185185E-001
    48  0.333333333333333E+000 -0.333333333333333E+000  0.416666666666667E+000  0.185185185185185E-001
    49 -0.333333333333333E+000  0.000000000000000E+000  0.416666666666667E+000  0.185185185185185E-001
    50  0.000000000000000E+000  0.000000000000000E+000  0.416666666666667E+000  0.185185185185185E-001
    51  0.333333333333333E+000  0.000000000000000E+000  0.416666666666667E+000  0.185185185185185E-001
    52 -0.333333333333333E+000  0.333333333333333E+000  0.416666666666667E+000  0.185185185185185E-001
    53  0.000000000000000E+000  0.333333333333333E+000  0.416666666666667E+000  0.185185185185185E-001
    54  0.333333333333333E+000  0.333333333333333E+000  0.416666666666667E+000  0.185185185185185E-001
# coefficients (2*pi/a [a.u.]) in kx, ky, kz
 0.306161922189321E+000 0.306161922189321E+000 0.612323844378641E+000
