t,j
7.246,-0.0007058206790018201
7.248,-0.00071486094707556
7.25,-0.0007236706941829299
7.252,-0.0007322492621849698
7.254,-0.0007405960116938601
7.256,-0.0007487103222593298
7.258,-0.0007565915925610901
7.26,-0.00076423924057735
7.262,-0.00077165270370531
7.264,-0.0007788314388236101
7.266,-0.0007857749223054097
7.268,-0.0007924826500051098
7.27,-0.00079895413724999
7.272,-0.00080518891886414
7.274,-0.0008111865492394399
7.276,-0.00081694660245078
7.278,-0.0008224686723971601
7.28,-0.0008277523729410502
7.282,-0.0008327973380213101
7.284,-0.00083760322172467
7.286,-0.0008421696983175002
7.288,-0.00084649646225325
7.29,-0.00085058322817885
7.292,-0.00085442973096122
7.294,-0.0008580357257451398
7.296,-0.0008614009880393099
7.298,-0.0008645253138160499
7.3,-0.0008674085196037301
7.302,-0.0008700504425549699
7.304,-0.0008724509404831201
7.306,-0.0008746098918722398
7.308,-0.0008765271958756698
7.31,-0.0008782027723207998
7.312,-0.00087963656173251
7.314,-0.0008808285253773102
7.316,-0.0008817786453170599
7.318,-0.00088248692445425
7.32,-0.0008829533865492203
7.322,-0.0008831780761978799
7.324,-0.00088316105877139
7.326,-0.00088290242033312
7.328,-0.0008824022675570698
7.33,-0.00088166072767337
7.332,-0.0008806779484577098
7.334,-0.0008794540982683498
7.336,-0.0008779893661178503
7.338,-0.0008762839617558701
7.34,-0.0008743381157353201
7.342,-0.00087215207943895
7.344,-0.00086972612505548
7.346,-0.00086706054550779
7.348,-0.0008641556543469802
7.35,-0.00086101178563161
7.352,-0.00085762929380936
7.354,-0.0008540085536122499
7.356,-0.0008501499599685
7.358,-0.0008460539279278698
7.36,-0.0008417208925961201
7.362,-0.0008371513090758699
7.364,-0.0008323456524147001
7.366,-0.0008273044175632601
7.368,-0.0008220281193441999
7.37,-0.0008165172924270198
7.372,-0.00081077249129701
7.374,-0.0008047942902009099
7.376,-0.00079858328305339
7.378,-0.0007921400832947799
7.38,-0.0007854653237045997
7.382,-0.0007785596561878801
7.384,-0.0007714237515625902
7.386,-0.0007640582993769897
7.388,-0.00075646400777795
7.39,-0.0007486416034351699
7.392,-0.0007405918315077299
7.394,-0.0007323154556243701
7.396,-0.0007238132578429599
7.398,-0.00071508603855948
7.4,-0.0007061346163512899
7.402,-0.0006969598277588099
7.404,-0.00068756252702701
7.406,-0.0006779435858387402
7.408,-0.0006681038930718402
7.41,-0.0006580443546023399
7.412,-0.0006477658931598898
7.414,-0.0006372694482254502
7.416,-0.0006265559759484399
7.418,-0.0006156264490564099
7.42,-0.0006044818567343202
7.422,-0.0005931232044603999
7.424,-0.0005815515137977797
7.426,-0.0005697678221517201
7.428,-0.00055777318250772
7.43,-0.00054556866316659
7.432,-0.0005331553474883402
7.434,-0.00052053433365171
7.436,-0.0005077067344304502
7.438,-0.0004946736769850099
7.44,-0.00048143630266672005
7.442,-0.00046799576683196004
7.444,-0.0004543532386630199
7.446,-0.00044050990099153025
7.448,-0.0004264669501174898
7.45,-0.0004122255956154502
7.452,-0.00039778706011839
7.454,-0.00038315257907312007
7.456,-0.0003683234004650299
7.458,-0.0003533007845176099
7.46,-0.0003380860033774498
7.462,-0.00032268034079932983
7.464,-0.00030708509184602007
7.466,-0.0002913015626131901
7.468,-0.00027533106998436983
7.47,-0.0002591749414130398
7.472,-0.00024283451472418985
7.474,-0.00022631113792323
7.476,-0.00020960616900011012
7.478,-0.0001927209757171199
7.48,-0.0001756569353726597
7.482,-0.0001584154345369202
7.484,-0.00014099786876016008
7.486,-0.0001234056422586699
7.488,-0.00010564016758803996
7.49,-8.770286531509979e-05
7.492,-6.959516370170973e-05
7.494,-5.1318498410530145e-05
7.496,-3.2874312239079655e-05
7.498,-1.4264054881209763e-05
7.5,4.5108172910201215e-06
7.502,2.344884143843989e-05
7.504,4.254854847424985e-05
7.506,6.180846330647001e-05
7.508,8.122710511318e-05
7.51,0.00010080298765297036
7.512,0.00012053461960470982
7.514,0.00014042050492342993
7.516,0.00016045914319501005
7.518,0.00018064902997104015
7.52,0.0002009886570697901
7.522,0.00022147651283551013
7.524,0.00024211108235829004
7.526,0.0002628908476659999
7.528,0.00028381428790647976
7.53,0.00030487987954167005
7.532,0.0003260860965722703
7.534,0.00034743141080433027
7.536,0.0003689142921581702
7.538,0.00039053320900869987
7.54,0.00041228662853756964
7.542,0.0004341730170742998
7.544,0.00045619084040651
7.546,0.00047833856404841
7.548,0.0005006146534685396
7.55,0.0005230175742894001
7.552,0.0005455457924792599
7.554,0.0005681977745576501
7.556,0.0005909719878302699
7.558,0.0006138669006585601
7.56,0.0006368809827564702
7.562,0.00066001270549681
7.564,0.0006832605422050302
7.566,0.0007066229684212903
7.568,0.0007300984621211701
7.57,0.0007536855038986
7.572,0.0007773825771274002
7.574,0.0008011881681258197
7.576,0.0008251007663477301
7.578,0.0008491188646168901
7.58,0.0008732409594057401
7.582,0.0008974655511455299
7.584,0.00092179114454246
7.586,0.00094621624887096
7.588,0.0009707393782203001
7.59,0.0009953590516836698
7.592,0.00102007379349551
7.594,0.0010448821331369299
7.596,0.0010697826054369398
7.598,0.00109477375069584
7.6,0.00111985411484733
7.602,0.00114502224966106
7.604,0.0011702767129733401
7.606,0.00119561606892423
7.608,0.0012210388881783302
7.61,0.00124654374811371
7.612,0.00127212923297581
7.614,0.00129779393400613
7.616,0.0013235364495638399
7.618,0.0013493553852595604
7.62,0.0013752493541137898
7.622,0.0014012169767392002
7.624,0.00142725688153394
7.626,0.00145336770486375
7.628,0.0014795480912110199
7.63,0.0015057966932772201
7.632,0.00153211217204061
7.634,0.00155849319678686
7.636,0.0015849384451409902
7.638,0.0016114466031302197
7.64,0.0016380163652967902
7.642,0.00166464643486177
7.644,0.0016913355239207102
7.646,0.0017180823536369501
7.648,0.0017448856543955302
7.65,0.0017717441658902803
7.652,0.0017986566371372102
7.654,0.0018256218264315399
7.656,0.0018526385012838298
7.658,0.00187970543837867
7.66,0.0019068214235907397
7.662,0.0019339852520739
7.664,0.00196119572841318
7.666,0.0019884516668077896
7.668,0.0020157518912419796
7.67,0.0020430952356034803
7.672,0.00207048054372487
7.674,0.00209790666934577
7.676,0.00212537247601536
7.678,0.00215287683696892
7.68,0.0021804186350152296
7.682,0.0022079967624632603
7.684,0.0022356101211021802
7.686,0.0022632576222315504
7.688,0.00229093818672628
7.69,0.0023186507451141997
7.692,0.00234639423764521
7.694,0.00237416761433646
7.696,0.0024019698349864
7.698,0.0024297998691572096
7.7,0.0024576566961298702
7.702,0.00248553930483726
7.704,0.0025134466937807303
7.706,0.0025413778709336902
7.708,0.00256933185363595
7.71,0.0025973076684831695
7.712,0.00262530435121735
7.714,0.0026533209466270695
7.716,0.0026813565084655598
7.718,0.0027094100993938297
7.72,0.0027374807909505898
7.722,0.0027655676635437803
7.724,0.0027936698064512204
7.726,0.0028217863178122697
7.728,0.00284991630459148
7.73,0.0028780588824999296
7.732,0.0029062131758703603
7.734,0.0029343783174939696
7.736,0.00296255344843885
7.738,0.00299073771787506
7.74,0.00301893028292847
7.742,0.00304713030857494
7.744,0.00307533696757054
7.746,0.0031035494403983304
7.748,0.00313176691520469
7.75,0.00315998858769982
7.752,0.0031882136610098004
7.754,0.00321644134548677
7.756,0.00324467085850117
7.758,0.00327290142425014
7.76,0.00330113227361317
7.762,0.0033293626440706004
7.764,0.0033575917796779004
7.766,0.0033858189310664003
7.768,0.00341404335542839
7.77,0.00344226431644611
7.772,0.00347048108413992
7.774,0.0034986929346364003
7.776,0.0035268991498824
7.778,0.00355509901734843
7.78,0.0035832918297671506
7.782,0.00361147688494032
7.784,0.00363965348562458
7.786,0.00366782093948125
7.788,0.0036959785590562604
7.79,0.0037241256617501998
7.792,0.0037522615697457894
7.794,0.00378038560987803
7.796,0.0038084971134529095
7.798,0.0038365954160376097
7.8,0.0038646798572505698
7.802,0.00389274978057505
7.804,0.00392080453320499
7.806,0.00394884346591597
7.808,0.00397686593294184
7.81,0.00400487129183524
7.812,0.00403285890329838
7.814,0.00406082813098585
7.816,0.00408877834129699
7.818,0.0041167089031858995
7.82,0.00414461918801548
7.822,0.004172508569469911
7.824,0.00420037642352038
