folder,tau_x_drude,tau_z_coh,tau_z_norm_coh,tau_autocorr_iters_coh,tau_autocorr_1_e,tau_autocorr_1_e_3,spectrum_width,normalized_fid_spectrum_width
c333_s0.00_r18_k16_a1_i804_t9_p4d10_6d11_load_№856_amorphous_0.992_2eV,5.816438718480478,2.658846529469566,3.9170139979460123,3.1031662901194794,3.042,2.889333333333333,1.3805247116692079,1.0858846387125674
c333_s0.00_r18_k16_a1_i804_t9_p4d10_6d11_load_№1162_amorphous_0.976_2eV,4.045256460775503,2.788366547965988,5.233555015145714,3.5256546293591344,1.9459999999999997,2.5966666666666662,1.2718236774350533,1.1251615997691737
c333_s0.00_r18_k16_a1_i804_t9_p4d10_6d11_load_№941_amorphous_0.961_2eV,2.053405756271524,1.3012586583532584,3.778269514728837,4.529034032600273,1.2880000000000003,1.4633333333333336,1.5486538033072745,1.3861174716096443
c333_s0.00_r18_k16_a1_i804_t9_p4d10_6d11_load_№1142_amorphous_0.950_2eV,1.6388148647751177,0.8545747775825256,1.6656701336143178,4.875557381947509,0.6399999999999988,1.3619999999999994,1.844402538038589,1.95382737520008
c333_s0.00_r18_k16_a1_i804_t9_p4d10_6d11_load_№854_amorphous_0.940_2eV,1.2969773226420982,0.742326537391795,2.8661562105600717,4.870784846034253,0.6020000000000003,1.1779999999999997,1.9221853618028923,1.4261613241263018
c333_s0.00_r18_k16_a1_i804_t9_p4d10_6d11_load_№889_amorphous_0.930_2eV,0.789241093897529,0.684626015319614,2.900490729971296,4.952487692671818,0.6539999999999999,0.7799999999999999,2.087677762875942,1.5539044859404862
c333_s0.00_r18_k16_a1_i804_t9_p4d10_6d11_load_№852_amorphous_0.920_2eV,0.7117084496377443,0.6692239174557767,3.3831207987205145,3.768497550866495,0.6099999999999994,0.8519999999999998,1.5543779467506433,1.6037854280562798
