# Concentration of excited electrons in the conduction band [1/Å^3] 
folder,both_n_ex,pump_n_ex,probe_n_ex
c333_s0.025_r18_k16_a1_i804_t9_p4d10_5d11_1.5eV,0.0006602074063717179,0.0006563441897058464,1.6628248512467746e-06
c333_s0.050_r18_k16_a1_i804_t9_p4d10_5d11_1.5eV,0.0007998931107698198,0.000793366079921722,5.506473010967964e-06
c333_s0.075_r18_k16_a1_i804_t9_p4d10_5d11_1.5eV,0.0010228545481949331,0.0010047592214044957,1.8583597981274877e-05
c333_s0.100_r18_k16_a1_i804_t9_p4d10_5d11_1.5eV,0.0014991501901394622,0.0014390137446614072,7.102894690321418e-05
c333_s0.125_r18_k16_a1_i804_t9_p4d10_5d11_1.5eV,0.0025371466910992196,0.002282307942715213,0.00036657100729817443
c333_s0.150_r18_k16_a1_i804_t9_p4d10_5d11_1.5eV,0.003307166106230898,0.002745367702595298,0.0008140723860855476
c333_s0.175_r18_k16_a1_i804_t9_p4d10_5d11_1.5eV,0.005087384588408554,0.0036462412016986553,0.002221593392207887
c333_s0.200_r18_k16_a1_i804_t9_p4d10_5d11_1.5eV,0.006568769957973347,0.00438494153787283,0.0032760713661533197
